Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TargetedReadCheckdownPercentage,PasserRating,AttemptsCatchablePercentage
Jacoby Brissett,NE,QB,5,5,5,1,-0.6023,5,-9,74,1,No,No,1,0.2,2.126,-0.2252,No,1,2,0.4,0.2,0.8,3.04,3.2,14.8,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,8,,,,
Joe Burrow,CIN,QB,15,15,15,3,-0.6492,15,-9,191,3,No,No,3,0.2,5.1532,-0.1435,No,1,4,0.2667,0.4,0.7333,2.5667,2.5,12.7333,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,17,0.0667,,,
Russell Wilson,PIT,QB,13,13,13,3,-0.5452,13,-6.9231,292,2,No,No,6,0.4615,4.9894,0.0777,No,1,8,0.6154,0.2308,0.6154,2.8,2.3,22.4615,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,11,,0.0769,,
Anthony Richardson,IND,QB,11,11,11,1,-0.5933,11,-20.4545,174,5,Yes,Yes,5,0.4545,3.8768,0.1021,No,1,2,0.1818,0.6364,0.9091,2.6182,2.72,15.8182,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,11,,,,
Mac Jones,JAX,QB,10,10,10,,-0.7635,10,-9,66,2,No,No,1,0.1,3.6482,-0.2648,No,1,1,0.1,0.4,0.9,2.69,2.3,6.6,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,10,,0.1,,
Kirk Cousins,ATL,QB,19,19,19,1,-0.6844,19,-18.9474,197,8,No,No,3,0.1579,6.8609,-0.2032,Yes,1,,,0.5789,0.5263,2.6684,2.6,10.3684,No,No,-8,-8,-8,-8,-8,-8,-8,-16,-16,-16,-16,-8,-16,14,,,,
Joshua Dobbs,SF,QB,2,2,2,1,-0.7553,2,,12,,No,Yes,,,0.2846,-0.1423,Yes,1,,,0.5,0.5,1.4,,6,Yes,No,,,,,,,,,,,,,,2,,,39.6,
Jimmy Garoppolo,LA,QB,2,2,2,,-0.6453,2,-22.5,24,1,Yes,Yes,1,0.5,0.5951,0.2025,Yes,1,,,0.5,1,2.3,2.4,12,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,,,,
Andy Dalton,CAR,QB,7,7,7,,-0.7319,7,-12.8571,54,2,No,No,1,0.1429,1.9793,-0.1399,No,1,,,0.5714,0.7143,2.2143,3,7.7143,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,6,,0.1429,,
Sam Darnold,MIN,QB,15,15,15,2,-0.5896,15,-21,228,7,No,Yes,4,0.2667,7.4303,-0.2287,Yes,1,4,0.2667,0.6,0.6667,3.4467,2.525,15.2,No,No,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,17,,,,
Jayden Daniels,WAS,QB,10,10,10,1,-0.6428,10,-22.5,125,5,No,No,2,0.2,3.0962,-0.1096,No,1,1,0.1,0.5,0.8,2.37,2.85,12.5,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,17,,,,
Brandon Allen,SF,QB,2,2,2,,-0.7261,2,,17,,No,No,,,0.4743,-0.2372,No,1,,,0.5,1,1.95,,8.5,No,No,,,,,,,,,,,,,,3,,,39.6,
Bo Nix,DEN,QB,15,15,15,1,-0.5777,15,-18,275,6,No,No,5,0.3333,6.1883,-0.0792,No,1,4,0.2667,0.6,0.6667,2.9667,2.58,18.3333,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,17,0.0667,,,
Trevor Lawrence,JAX,QB,9,9,9,1,-0.536,9,-5,196,1,No,No,4,0.4444,3.8337,0.0185,No,1,3,0.3333,0.3333,0.8889,3.0444,2.325,21.7778,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,10,,,,0.1111
Bailey Zappe,CLV,QB,2,2,2,,-0.8045,2,-22.5,10,1,No,No,,,0.5261,-0.2631,Yes,1,,,1,1,2.1,,5,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,,,,
Lamar Jackson,BLT,QB,12,12,12,2,-0.4847,12,,270,,No,No,6,0.5,7.2621,-0.1052,No,1,8,0.6667,0.25,0.4167,4.0833,2.7833,22.5,No,No,,,,,,,,,,,,,,17,,,39.6,
Dorian Thompson-Robinson,CLV,QB,6,6,6,1,-0.6486,6,-7.5,76,1,No,No,,,1.9233,-0.3206,No,1,3,0.5,0.3333,1,2.4333,,12.6667,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,7,,,,
Mike White,BUF,QB,3,3,3,,-0.6037,3,,42,,No,No,1,0.3333,1.3411,-0.1137,No,1,,,,0.6667,3.1667,3.2,14,No,No,,,,,,,,,,,,,,1,,,39.6,
Kenny Pickett,PHI,QB,2,2,2,,-0.7638,2,-22.5,13,1,Yes,No,,,0.4053,-0.2027,Yes,1,,,0.5,1,1.75,,6.5,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,5,,,,
Desmond Ridder,LV,QB,5,5,5,2,-0.443,5,-9,141,1,No,No,,,2.5055,-0.5011,No,1,4,0.8,,0.8,3.48,,28.2,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,5,,,,
Trey Lance,DAL,QB,1,1,1,,-0.2943,1,-45,32,1,No,No,1,1,0.3493,0.6507,No,1,1,1,1,1,2.6,2.5,32,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,,,,
Will Levis,TEN,QB,18,18,18,,-0.5891,18,-22.5,322,9,No,Yes,5,0.2778,6.4254,-0.0792,No,1,6,0.3333,0.7222,1,2.6444,2.72,17.8889,No,No,-9,-9,-9,-9,-9,-9,-9,-18,-18,-18,-18,-9,-18,12,,,,
Malik Willis,GB,QB,1,1,1,,-0.5836,1,,17,,Yes,No,,,0.4528,-0.4528,No,1,,,,1,3.2,,17,No,No,,,,,,,,,,,,,,7,,,39.6,
Jalen Hurts,PHI,QB,12,12,12,1,-0.7052,12,,113,,No,No,4,0.3333,4.5194,-0.0433,No,1,2,0.1667,0.25,0.75,2.7583,2,9.4167,No,No,,,,,,,,,,,,,,15,0.0833,0.0833,39.6,
