Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsInEndzoneTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,YardsAdjustedNetPercentage,InterceptionsTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Bo Nix,DEN,QB,15,15,15,1,-0.7314,15,122,No,No,3,0.2,5.0498,-0.1367,No,0.1333,1,2,0.1333,0.0667,0.7333,0.0667,2.5267,2,8.1333,39.6,No,No,17,,,,,,,,,,,,,,,
Bailey Zappe,CLV,QB,5,5,5,2,-0.6292,5,64,No,No,,,1.919,-0.3838,No,,1,,,0.2,0.8,0.2,2.8,,12.8,39.6,No,No,1,,,,,,,,,,,,,,,
Kyler Murray,ARZ,QB,15,15,15,4,-0.6619,15,182,Yes,Yes,6,0.4,6.4988,-0.0333,No,,1,3,0.2,,0.7333,0.0667,3.0867,2.4333,12.1333,39.6,No,No,17,,,,,,,,,,,,,,,
Jared Goff,DET,QB,19,19,19,2,-0.7088,19,193,No,Yes,3,0.1579,6.8678,-0.2036,Yes,,1,2,0.1053,0.1053,0.7368,0.0526,2.6705,3.2667,10.1579,17.7,No,No,17,-2.3684,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Tanner McKee,PHI,QB,3,3,3,,-0.6719,3,36,No,No,1,0.3333,1.0134,-0.0045,No,,1,,,,1,,2.5333,1.8,12,39.6,No,No,2,,,,,,,,,,,,,,,
C.J. Stroud,HST,QB,36,36,36,3,-0.6903,36,384,No,No,17,0.4722,15.0416,0.0544,No,,1,4,0.1111,0.0278,0.6389,0.0278,2.9972,2.3059,10.6667,28,No,No,17,-1.25,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Jacoby Brissett,NE,QB,7,7,7,1,-0.6716,7,87,No,No,4,0.5714,4.0493,-0.007,Yes,,1,1,0.1429,,0.4286,0.1429,3.9286,3.025,13.5714,39.6,No,No,8,,,,,,,,,,,,,,,
Daniel Jones,NYG,QB,7,7,7,,-0.639,7,101,No,No,4,0.5714,2.4969,0.2147,No,,1,2,0.2857,,0.7143,,2.6429,2.25,14.4286,39.6,No,No,10,,,,,,,,,,,,,,,
Joe Flacco,IND,QB,10,10,10,2,-0.6658,10,122,No,No,2,0.2,3.2342,-0.1234,No,,1,2,0.2,0.2,0.8,,2.45,2.25,12.2,,No,No,8,-4.5,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Brock Purdy,SF,QB,14,14,14,2,-0.6814,14,151,No,No,4,0.2857,5.2007,-0.0858,No,,1,1,0.0714,0.0714,0.8571,0.0714,2.7286,2.625,10.7857,39.6,No,No,15,,,,,,,,,,,,,,,
