Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,playerStatsFirstDownsPassing,OffTargetThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,PressuredTotal,PressuredPercentage,AverageTimeToPressure,TouchdownsTotal
Brock Purdy,SF,QB,1,1,1,1,1,1,1,0.0576,1,1,1,5,1,-4,No,No,0.1423,-0.1423,No,1,1,1,1.4,-4,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,15,,,,,,,,
Tua Tagovailoa,MIA,QB,3,3,3,1,3,1,1,0.058,3,10,3.3333,2.1,3.3333,-11,No,No,0.3579,-0.1193,No,0.3333,1,1,1.2667,-3.6667,80.6,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,11,,,,,,,,
Gardner Minshew,LV,QB,3,3,3,1,3,1,1,0.0606,3,14,4.6667,1.5714,4.6667,-8,No,No,0.2026,-0.0675,No,1,1,0.3333,0.9667,-2.6667,86.1,No,No,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,10,1,,,,,,,
Caleb Williams,CHI,QB,13,13,13,0.9231,12,0.9231,0.9231,-0.0112,13,49,3.7692,1.5102,3.7692,-28,No,No,0.9529,-0.0733,No,0.8462,1,0.3846,1,-2.1538,82.4,No,No,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.45,2.45,17,3,0.0769,,,,,,
Jared Goff,DET,QB,6,6,6,0.8333,5,0.8333,0.8333,-0.1014,6,21,3.5,1.619,3.5,-14,No,No,0.4225,-0.0704,No,0.3333,1,0.6667,0.9833,-2.3333,81.3,No,Yes,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,17,2,0.1667,,,,,,
Kyler Murray,ARZ,QB,3,3,3,1,3,1,1,0.0642,3,32,10.6667,1.25,10.6667,-8,Yes,No,0.2199,-0.0733,No,1,1,0.6667,1,-2.6667,111.1,No,Yes,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,17,1,,,,,,,
Daniel Jones,NYG,QB,5,5,5,0.8,3,0.6,0.8,-0.1364,5,18,3.6,1.5,3.6,-18,No,No,0.6943,0.0611,No,0.4,1,0.6,1.38,-3.6,67.1,No,No,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,10,1,0.2,-5,0.2,1,0.2,2.1,
Joe Flacco,IND,QB,1,1,1,1,1,1,1,0.0643,1,8,8,1.25,8,-2,No,No,0.0906,-0.0906,No,1,1,1,1.1,-2,100,No,No,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,8,,,,,,,,
C.J. Stroud,HST,QB,4,4,4,1,4,1,1,0.0595,4,-1,-0.25,-12,-0.25,-13,No,No,0.4657,-0.1164,No,1,1,0.75,1.25,-3.25,79.2,No,No,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,17,,,,,,,,
Bryce Young,CAR,QB,4,4,4,0.75,3,0.75,0.75,-0.1814,4,3,0.75,4.6667,0.75,-12,No,No,0.5347,-0.1337,No,0.25,1,0.5,1.35,-3,77.1,No,No,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,14,,0.25,,,,,,
Jordan Love,GB,QB,7,7,7,1,7,1,1,0.0728,7,35,5,1.6286,5,-22,No,No,0.8236,-0.1177,No,0.7143,1,0.8571,1.2571,-3.1429,87.5,No,No,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,15,1,,,,,,,
Tim Boyle,NYG,QB,1,1,1,1,1,1,1,0.0587,1,3,3,2,3,-3,Yes,No,0.0906,-0.0906,No,1,1,1,1.1,-3,79.2,No,Yes,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,3,,,,,,,,
Derek Carr,NO,QB,2,2,2,0.5,1,0.5,0.5,-0.418,2,,,,,-3,No,No,0.1121,-0.0561,No,1,1,0.5,0.9,-1.5,56.3,No,No,,,,,,,,,,,,,,10,,0.5,,,,,,
Mitchell Trubisky,BUF,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,Yes,No,0.1078,-0.1078,No,1,1,1,1.2,-3,87.5,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,9,1,,,,,,,
Mason Rudolph,TEN,QB,3,3,3,1,3,1,1,0.0602,3,8,2.6667,2.125,2.6667,-9,No,No,0.4442,-0.1481,No,0.6667,1,1,1.4333,-3,79.2,No,No,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,8,1,,,,,,,
Aaron Rodgers,NYJ,QB,10,10,10,1,9,0.9,1,0.0654,10,47,4.7,1.4255,6.7,-21,No,No,0.7503,-0.075,No,1,1,0.6,1.01,-2.1,119.6,No,No,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,6.35,6.35,17,4,,-1,0.1,,,,1
Baker Mayfield,TB,QB,6,6,6,1,5,0.8333,1,0.0609,6,18,3,2.0556,3,-24,No,No,0.5261,-0.0877,No,0.1667,1,0.6667,1.0833,-4,79.2,No,No,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,17,,,-5,0.1667,,,,
Dak Prescott,DAL,QB,3,3,3,1,3,1,1,0.0704,3,11,3.6667,1.4545,3.6667,-5,Yes,No,0.3751,-0.125,No,0.3333,1,1,1.3,-1.6667,81.9,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,8,,,,,,,,
Spencer Rattler,NO,QB,1,1,1,1,,,1,0.0643,1,,,,,-2,Yes,No,0.0561,-0.0561,No,1,1,,0.9,-2,39.6,No,Yes,,,,,,,,,,,,,,7,,,-2,1,,,,
Tyler Huntley,MIA,QB,1,1,1,1,1,1,1,0.0576,1,4,4,2,4,-4,No,No,0.2458,-0.2458,No,,1,,2,-4,83.3,No,No,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,5,,,,,,,,
Justin Herbert,LAC,QB,2,2,2,1,2,1,1,0.0587,2,14,7,1.4286,7,-6,No,No,0.1121,-0.0561,No,,1,1,0.9,-3,95.8,No,Yes,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,17,1,,,,,,,
Geno Smith,SEA,QB,11,11,11,1,11,1,1,0.062,11,36,3.2727,1.9444,3.2727,-34,Yes,No,1.2721,-0.1156,No,0.4545,1,0.8182,1.2455,-3.0909,80.3,No,Yes,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.8,1.8,17,1,,,,,,,
Drake Maye,NE,QB,7,7,7,1,7,1,1,0.0591,7,30,4.2857,1.8,4.2857,-24,No,No,0.7201,-0.1029,No,0.8571,1,0.7143,1.1714,-3.4286,84.5,No,No,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,13,1,,,,,,,
Aidan O'Connell,LV,QB,2,2,2,1,2,1,1,0.0609,2,5,2.5,2.2,2.5,-6,No,No,0.2156,-0.1078,No,1,1,1,1.2,-3,79.2,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,9,,,,,,,,
Matthew Stafford,LA,QB,11,11,11,1,11,1,1,0.065,11,87,7.9091,1.2759,9.7273,-24,Yes,No,0.7373,-0.067,Yes,0.5455,1,0.7273,0.9636,-2.1818,129.9,No,Yes,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,8.35,8.35,16,3,,,,,,,1
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,Yes,No,0.1595,-0.1595,No,1,1,1,1.5,-3,87.5,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,
Patrick Mahomes,KC,QB,18,18,18,1,18,1,1,0.064,18,98,5.4444,1.4898,5.4444,-48,Yes,No,1.0736,-0.0596,Yes,0.9444,1,0.7222,0.9167,-2.6667,89.4,No,Yes,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.9,4.9,16,5,,,,,,,
Will Levis,TEN,QB,3,3,3,1,3,1,1,0.0624,3,13,4.3333,1.5385,4.3333,-7,No,No,0.3407,-0.1135,No,0.6667,1,0.3333,1.2333,-2.3333,84.7,No,No,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,12,,,,,,,,
Jalen Hurts,PHI,QB,12,12,12,1,12,1,1,0.0633,12,30,2.5,2.1,2.5,-33,No,No,1.6559,-0.138,No,0.9167,1,0.75,1.375,-2.75,79.2,No,No,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,15,2,,,,,,,
Cooper Rush,DAL,QB,5,5,5,1,4,0.8,1,0.0725,5,58,11.6,1.1034,11.6,-8,Yes,No,0.5563,-0.1113,No,0.8,1,0.4,1.22,-1.6,115,No,Yes,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,12,2,,-2,0.2,,,,
Davis Mills,HST,QB,1,1,1,1,1,1,1,0.0643,1,2,2,2,2,-2,Yes,No,0.1078,-0.1078,No,1,1,,1.2,-2,79.2,No,Yes,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,4,,,,,,,,
Josh Allen,BUF,QB,11,11,11,1,11,1,1,0.0588,11,52,4.7273,1.6923,4.7273,-36,No,No,0.8753,-0.0796,No,0.8182,1,1,1.0364,-3.2727,86.4,No,No,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.6,2.6,17,1,,,,,,,
Drew Lock,NYG,QB,3,3,3,1,3,1,1,0.0597,3,12,4,2,4,-12,Yes,No,0.3407,-0.1135,No,0.3333,1,1,1.2333,-4,83.3,No,Yes,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,7,2,,,,,,,
Jameis Winston,CLV,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,No,No,0.3148,-0.3148,No,1,1,1,2.4,-3,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,12,1,,,,,,,
Kirk Cousins,ATL,QB,4,4,4,1,4,1,1,0.0601,4,4,1,3.75,1,-11,No,No,0.3622,-0.0906,No,0.75,1,0.5,1.1,-2.75,79.2,No,No,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,14,1,,,,,,,
Mac Jones,JAX,QB,6,6,6,1,6,1,1,0.06,6,15,2.5,2.2667,2.5,-19,No,No,0.7158,-0.1193,No,0.8333,1,0.8333,1.2667,-3.1667,79.2,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,10,1,,,,,,,
Jimmy Garoppolo,LA,QB,2,2,2,1,2,1,1,0.0615,2,3,1.5,2.6667,1.5,-5,Yes,No,0.3019,-0.1509,No,1,1,0.5,1.45,-2.5,79.2,No,Yes,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,1,,,,,,,,
Joe Burrow,CIN,QB,5,5,5,1,5,1,1,0.0621,5,40,8,1.3,8,-12,No,No,0.4873,-0.0975,No,0.2,1,0.8,1.14,-2.4,100,No,No,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,2,17,3,,,,,,,
