Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,TouchdownsTotal,OffTargetThrowAttemptsPercentage,AttemptsInEndzoneTotal
Jacoby Brissett,NE,QB,1,1,1,1,1,1,1,0.0587,1,2,2,2.5,2,-3,No,No,0.1595,-0.1595,No,1,1,1.5,-3,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,8,,,,,,,,,
C.J. Stroud,HST,QB,1,1,1,1,1,1,1,0.0762,1,2,2,1.5,2,-1,No,No,0.125,-0.125,No,1,1,1.3,-1,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,17,,,,,,,,,
Kyler Murray,ARZ,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,No,No,0.125,-0.125,No,1,1,1.3,-3,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,17,,,,,,,,,
Gardner Minshew,LV,QB,2,2,2,1,2,1,1,0.1398,2,7,3.5,0.4286,3.5,4,No,No,0.7331,0.6334,No,,1,2.7,2,81.3,No,No,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,10,2,1,0.5,0.5,1.9,1,,,
Tua Tagovailoa,MIA,QB,1,1,1,1,1,1,1,0.0643,1,2,2,2,2,-2,No,No,0.125,-0.125,No,1,,1.3,-2,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,11,,,,,,,,,
Justin Fields,PIT,QB,1,1,1,1,1,1,1,0.1052,1,6,6,1,26,,No,No,0.1423,-0.1423,No,1,1,1.4,,131.3,No,No,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.3,4.3,10,,,,,,1,1,,
Justin Herbert,LAC,QB,2,2,2,1,2,1,1,0.0907,2,39,19.5,1.0256,29.5,-1,No,No,0.8711,-0.4355,No,,1,3.1,-0.5,158.3,No,No,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.95,5.95,17,,,,0.5,,1,1,,
Matthew Stafford,LA,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.1909,3,11,3.6667,0.7273,3.6667,8,Yes,Yes,1.8931,0.369,No,,0.6667,4.2333,2.6667,72.9,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,16,3,1,,0.6667,2.5667,,,0.3333,
Patrick Mahomes,KC,QB,3,3,3,1,3,1,1,0.0704,3,10,3.3333,1.5,3.3333,-5,No,No,0.4959,-0.1653,No,1,1,1.5333,-1.6667,80.6,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,16,,,0.3333,,,,,,
Drake Maye,NE,QB,2,2,2,1,2,1,1,0.1398,2,17,8.5,0.9412,18.5,4,No,No,1.0609,-0.0304,No,0.5,1,3.65,2,141.7,No,No,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.85,4.85,13,1,0.5,,,2.2,2,1,,1
Baker Mayfield,TB,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,No,No,0.8151,0.1849,No,,1,5.3,-3,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,17,1,1,,1,2.1,,,,
Dak Prescott,DAL,QB,1,1,1,1,1,1,1,0.0576,1,6,6,1.6667,6,-4,No,No,0.5908,0.4092,No,,,4,-4,91.7,No,No,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,8,1,1,,,2.9,1,,,
Spencer Rattler,NO,QB,1,1,1,1,1,1,1,0.2154,1,8,8,0.25,8,6,Yes,No,0.3665,-0.3665,No,,1,2.7,6,100,No,Yes,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,7,,,,,,,,,
Bryce Young,CAR,QB,1,1,1,1,1,1,1,0.2154,1,10,10,0.4,10,6,No,Yes,1.3153,-0.3153,No,,1,8.2,6,108.3,No,Yes,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,14,1,1,,,3.6,1,,,
Desmond Ridder,LV,QB,1,1,1,1,1,1,1,0.181,1,10,10,0.5,10,5,No,No,0.8323,0.1677,No,,1,5.4,5,108.3,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,5,1,1,,,3.1,1,,,
Lamar Jackson,BLT,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,No,No,0.0388,-0.0388,No,1,1,0.8,-3,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,17,,,,,,,,,
Sam Darnold,MIN,QB,1,1,1,,,,,,1,,,,,,No,No,0.4701,0.5299,No,,,3.3,,39.6,No,No,,,,,,,,,,,,,,17,1,1,,1,1.9,,,1,
