Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Deuce Vaughn,DAL,RB,4,No,No,Yes,2,Yes,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,14,No,No,No,11,No,Yes,,8,0.2727,0.6364,0.0909,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,16,No,No,No,13,No,Yes,0.5385,9,,0.2308,0.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,6,Yes,Yes,Yes,5,No,No,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,4,No,No,No,4,No,No,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,35,No,No,Yes,34,Yes,Yes,,16,,0.2059,0.7941,5.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,8,2,7,0.875,3,0.2353,3,0.375,55,7,2,116,2,5,14.5,62,1.6176,6.875,-3.0393,0.25,18.3333,2.3333,0.6667,2,20.4968,20.4968,0.2286,3,,,,,,,,
Garrett Wilson,NYJ,WR,119,No,No,No,119,No,Yes,0.0084,17,,0.2941,0.6975,47.3,63.3,55.3,63.3,63.3,66.3,58.3,63.3,63.3,63.3,55.3,63.3,63.3,39,8,22,0.5641,7,0.3277,16,0.4103,293,80,20,564,2,31,14.4615,71.8,2.4622,7.5128,-2.3609,0.0513,18.3125,5,1.25,16,85.1211,85.1211,0.3277,8,5,4,3,2,,,,
Blake Whiteheart,CLV,TE,16,No,No,No,15,No,No,,11,0.6667,0.2667,0.0667,,,,,,,,,,,,,,1,,,,,0.0667,,,,,,16,,1,16,,,,-10.191,,,,,,1.935,1.935,0.0625,,,,,,,,,
Chris Manhertz,NYG,TE,24,Yes,No,No,6,No,Yes,,17,1,,,6.2,7.2,6.7,7.2,7.7,7.2,6.7,7.2,7.2,7.2,6.7,7.7,7.2,1,1,1,1,1,0.1667,1,1,2,,,10,,1,10,118.8,0.3333,2,-5.7685,,2,,,1,3.6857,3.6857,0.0417,1,1,,1,1,,,,
Johnny Wilson,PHI,WR,30,Yes,No,No,29,No,Yes,0.0345,16,,0.3448,0.6207,6.5,7.5,7,7.5,7.5,7.5,7,7.5,7.5,7.5,7,7.5,7.5,7,2,3,0.4286,3,0.2414,1,0.1429,5,,,97,1,4,13.8571,79.2,0.1724,0.7143,-8.865,0.1429,5,,,1,22.5965,22.5965,0.2333,3,,,1,1,,,,
Erik Ezukanma,MIA,WR,4,No,No,Yes,4,No,Yes,,2,,0.25,0.75,,,,,,,,,,,,,,1,,,,,0.25,,,,,,16,,1,16,39.6,,,-10.0952,,,,,,1.269,1.269,0.25,,,,,,,,,
Emanuel Wilson,GB,RB,26,No,No,No,19,No,Yes,0.7895,17,,0.0526,0.1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
