Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Jared Wiley,KC,TE,9,No,No,No,9,1,Yes,Yes,1,1,0.1111,1,1,7,3,2,4,0.5556,0.3333,0.1111,1,4,95.8,0.7778,7,0.9333,7,3,2,1.4343,1.4343,0.1111,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,210,Yes,No,No,209,51,No,Yes,43,0.8431,0.244,40,0.7843,395,195,55,278,,0.3206,0.6794,41,5.451,98.9,1.89,7.7451,1.2044,9.875,4.875,1.375,83.8978,83.8978,0.2429,39.5,79.5,59.5,79.5,79.5,82.5,62.5,79.5,79.5,79.5,59.5,79.5,79.5,17,4,3,2,9,0.225,3,0.0588,0.0392,20,4,,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,91,No,No,Yes,77,7,No,Yes,7,1,0.0909,7,1,57,36,20,21,0.013,0.0649,0.1299,,3,100.6,0.7403,8.1429,1.8359,8.1429,5.1429,2.8571,9.8176,9.8176,0.0769,5.7,12.7,9.2,16.2,12.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,17,,,,2,0.2857,,,,2,,0.7922,,,,
Josh Oliver,MIN,TE,75,No,No,No,68,19,Yes,Yes,16,0.8421,0.2794,16,0.8421,167,104,27,85,0.8971,0.0735,0.0294,10,4.4737,138.4,2.4559,8.7895,2.1446,10.4375,6.5,1.6875,34.1476,34.1476,0.2533,28.7,44.7,36.7,44.7,52.7,47.7,39.7,44.7,44.7,44.7,36.7,52.7,44.7,15,,,,,,,,,10,2,,2,2,,
Nick Chubb,CLV,RB,47,No,No,No,31,6,No,Yes,5,0.8333,0.1935,3,0.5,16,8,3,17,,0.0645,,3,2.8333,56.3,0.5161,2.6667,-3.8205,5.3333,2.6667,1,10.279,10.279,0.1277,7.6,10.6,9.1,12.1,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,8,,,1,,,,,0.1667,2,1,0.9355,,1,,
Michael Carter,ARZ,RB,29,No,Yes,No,24,4,No,No,4,1,0.1667,4,1,37,32,24,5,,0.0417,0.0417,,1.25,105.2,1.5417,9.25,3.3543,9.25,8,6,6.0223,6.0223,0.1379,3.7,7.7,5.7,9.7,7.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,3,,,,2,0.5,,,,2,1,0.9167,,,,
Tyjae Spears,TEN,RB,71,No,Yes,No,60,16,No,Yes,14,0.875,0.2667,14,0.875,77,55,31,29,0.0167,0.0667,0.05,6,1.8125,107.6,1.2833,4.8125,-1.2724,5.5,3.9286,2.2143,23.8497,23.8497,0.2254,13.7,27.7,20.7,34.7,27.7,27.7,20.7,27.7,27.7,27.7,20.7,27.7,27.7,12,,,,4,0.2857,,,,3,3,0.8667,,1,,
Laviska Shenault,LAC,WR,7,No,No,No,5,1,No,Yes,1,1,0.2,1,1,10,7,3,3,,0.8,0.2,1,3,108.3,2,10,4.5501,10,7,3,1.392,1.392,0.1429,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,12,,,,,,,,,1,,,,,,
Isaiah Davis,NYJ,RB,21,No,No,Yes,16,6,No,Yes,5,0.8333,0.375,4,0.6667,59,41,21,28,,0.125,0.1875,1,4.6667,98.6,3.6875,9.8333,3.1132,14.75,10.25,5.25,8.7212,8.7212,0.2857,5.9,9.9,7.9,11.9,9.9,9.9,7.9,9.9,9.9,9.9,7.9,9.9,9.9,13,1,,,,,,,,3,1,0.6875,,,,
