Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Jordan Akins,CLV,TE,6,No,No,No,4,No,No,1,1.3977,1.3977,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,5,No,No,No,3,No,No,,1.546,1.546,17,1,1,1,0.3333,1,1,11,9,1,2,0.6667,0.3333,1,2,112.5,3.6667,11,5.6656,11,9,1,1,0.3333,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,16,Yes,No,No,15,No,Yes,1,11.5157,11.5157,17,7,5,0.7143,0.4667,5,0.7143,62,40,20,42,,,7,6,138.1,4.1333,8.8571,1.5607,12.4,8,4,2,0.4667,12.2,17.2,14.7,17.2,19.7,17.2,14.7,17.2,17.2,17.2,14.7,19.7,17.2,1,1,1,1,0.2,1,3,,,,,,,,
Tyjae Spears,TEN,RB,1,Yes,No,Yes,1,No,Yes,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Josh Oliver,MIN,TE,6,Yes,No,No,6,No,Yes,1,3.8961,3.8961,15,2,2,1,0.3333,2,1,22,6,3,16,,,2,8,152.1,3.6667,11,2.6741,11,3,1.5,1,0.3333,8.2,10.2,9.2,10.2,11.2,10.2,9.2,10.2,10.2,10.2,9.2,11.2,10.2,1,1,1,,,,1,,,,,,,,
Nick Chubb,CLV,RB,7,Yes,Yes,No,1,No,Yes,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Michael Carter,ARZ,RB,3,No,No,No,1,No,No,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
D.J. Moore,CHI,WR,5,No,No,No,5,No,No,,3.2674,3.2674,17,1,1,1,0.2,1,1,1,4,,-3,0.2,0.8,1,-3,79.2,0.2,1,-3.9408,1,4,,,0.3333,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,1,1,,,,,
Devin Singletary,NYG,RB,3,No,No,No,1,No,Yes,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Foster Moreau,NO,TE,14,Yes,No,Yes,12,No,No,0.9167,10.9068,10.9068,17,4,3,0.75,0.3333,3,0.75,103,31,10,85,0.0833,,4,21.25,156.3,8.5833,25.75,15.6274,34.3333,10.3333,3.3333,3,0.3636,16.3,19.3,17.8,19.3,20.8,22.3,20.8,19.3,19.3,19.3,17.8,20.8,19.3,1,1,1,,,3,1,,,,,,,,
Devaughn Vele,DEN,WR,4,Yes,No,No,4,No,Yes,,2.1046,2.1046,13,1,1,1,0.25,1,1,6,,,11,0.75,0.25,1,11,131.3,1.5,6,-2.3152,6,,,1,0.25,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,1,1,1,,,,1,,,,,,,,
Josh Downs,IND,WR,2,No,No,No,2,No,No,,1.3069,1.3069,14,1,,,0.5,,,,,,,0.5,0.5,1,,39.6,,,-6.0386,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,3,No,No,No,1,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,5,No,No,No,2,No,No,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mack Hollins,BUF,WR,2,Yes,Yes,No,2,No,Yes,,,,17,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,NE,WR,3,Yes,Yes,No,3,No,Yes,,,,12,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,9,Yes,No,Yes,9,No,No,0.7778,,,17,,,,,,,,,,,0.1111,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,DET,RB,4,Yes,No,No,1,No,Yes,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Tyler Boyd,TEN,WR,3,Yes,No,Yes,3,No,Yes,,1.4517,1.4517,16,1,1,1,0.3333,1,1,19,7,1,12,,1,1,12,118.8,6.3333,19,9.9539,19,7,1,1,0.3333,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,6,Yes,No,No,6,No,Yes,1,5.0618,5.0618,16,3,2,0.6667,0.5,2,0.6667,4,7,,1,,,1,0.3333,70.1,0.6667,1.3333,-3.9397,2,3.5,,,0.6,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,,,,,,,1,,,,,,,,
Teagan Quitoriano,HST,TE,3,Yes,Yes,No,2,No,Yes,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,No,No,3,No,No,,1.5724,1.5724,15,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,11,No,No,No,11,No,No,,8.1336,8.1336,15,4,4,1,0.3636,4,1,61,8,3,53,0.4545,0.5455,4,13.25,158.3,5.5455,15.25,7.3099,15.25,2,0.75,3,0.3636,12.1,16.1,14.1,16.1,16.1,16.1,14.1,16.1,16.1,16.1,14.1,16.1,16.1,,1,,,,1,1,,,,1,1,,,
Marquise Brown,KC,WR,1,Yes,No,No,1,No,Yes,,1.5947,1.5947,2,1,1,1,1,1,1,3,-2,-1,5,,1,1,5,79.2,3,3,-3.3628,3,-2,-1,,1,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,4,Yes,No,No,4,No,Yes,,1.4528,1.4528,17,1,,,0.25,,,,,,7,0.5,0.5,1,7,39.6,,,-7.0645,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie,HST,WR,4,Yes,No,No,3,No,No,,,,13,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,2,No,No,No,2,No,Yes,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Tyler Badie,DEN,RB,1,Yes,Yes,No,1,No,No,,1.7831,1.7831,3,1,1,1,1,1,1,-1,1,,-2,,,,-2,79.2,-1,-1,-7.198,-1,1,,,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,,,,1,,,,,,,
Jalen Brooks,DAL,WR,7,No,No,No,7,No,No,,1.9732,1.9732,14,1,1,1,0.1429,1,1,18,10,4,8,0.1429,0.8571,,8,118.8,2.5714,18,10.4894,18,10,4,1,0.1667,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,,,1,1,,,,,,,,,,
Kevin Austin,NO,WR,3,Yes,No,Yes,1,No,No,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,1,No,No,No,1,No,No,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Josh Whyle,TEN,TE,3,Yes,No,No,2,No,No,1,2.7766,2.7766,17,2,2,1,1,2,1,23,24,2,-1,,,2,-0.5,114.6,11.5,11.5,6.4048,11.5,12,1,2,0.6667,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,4,No,No,No,1,No,No,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jordan Whittington,LA,WR,5,Yes,No,No,5,No,Yes,,1.6116,1.6116,15,1,1,1,0.2,1,1,7,12,7,-5,0.4,0.4,1,-5,95.8,1.4,7,2.8404,7,12,7,1,0.25,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,2,2,,,0.2,,,,,,,
Ronnie Rivers,LA,RB,3,Yes,No,No,1,No,Yes,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Amari Cooper,BUF,WR,4,No,No,No,4,No,No,,,,14,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,6,No,No,No,5,No,Yes,,1.716,1.716,16,1,,,0.2,,,,,,15,,1,1,15,39.6,,,-10.4097,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,7,No,No,No,5,No,No,1,2.7202,2.7202,14,2,1,0.5,0.4,1,0.5,27,28,21,,,,2,,95.8,5.4,13.5,8.1616,27,28,21,1,0.3333,2.7,3.7,3.2,3.7,4.2,3.7,3.2,3.7,3.7,3.7,3.2,4.2,3.7,,,,1,1,,,,,,,,,,
Davante Adams,NYJ,WR,9,Yes,No,Yes,9,No,No,,7.597,7.597,14,4,3,0.75,0.4444,2,0.5,19,,,21,0.1111,0.8889,3,5.25,63.5,2.1111,4.75,-2.0788,9.5,,,1,0.4444,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,1,,,,,,1,,1,0.25,1,,,,
Jerry Jeudy,CLV,WR,12,No,No,No,12,No,No,0.0833,1.4283,1.4283,17,1,1,1,0.0833,1,1,9,8,,1,0.4167,0.5,1,1,104.2,0.75,9,3.8789,9,8,,,0.125,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,,,,,,,
Nico Collins,HST,WR,7,Yes,No,No,7,No,No,,1.8762,1.8762,12,1,,,0.1429,,,,,,17,0.1429,0.8571,1,17,39.6,,,-11.6653,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,5,Yes,No,Yes,5,No,No,,1.6348,1.6348,14,1,1,1,0.2,1,1,71,63,,8,0.2,0.8,1,8,158.3,14.2,71,63.4894,71,63,,1,0.3333,13.1,14.1,13.6,14.1,14.1,14.1,13.6,14.1,14.1,14.1,13.6,14.1,14.1,,1,,,,,,,,,,,,,
Tyler Higbee,LA,TE,1,Yes,No,No,1,No,Yes,1,1.2489,1.2489,3,1,1,1,1,1,1,4,4,2,,,,1,,83.3,4,4,-1.289,4,4,2,,1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,2,Yes,No,No,2,No,Yes,,,,17,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,8,Yes,No,No,8,No,No,,,,17,,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,2,Yes,No,No,1,No,Yes,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jamari Thrash,CLV,WR,3,No,No,No,3,No,No,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,6,Yes,No,No,3,No,No,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Evan Engram,JAX,TE,4,Yes,No,No,3,No,Yes,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,4,Yes,No,No,2,No,Yes,,2.5822,2.5822,11,2,2,1,1,2,1,18,6,5,12,,,2,6,104.2,9,9,0.8817,9,3,2.5,1,0.5,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,,,1,0.5,,,1,,,,,,,
KhaDarel Hodge,ATL,WR,2,Yes,No,No,2,No,Yes,,,,16,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,1,No,No,No,1,No,No,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,7,Yes,No,No,6,No,Yes,0.8333,1.5754,1.5754,12,1,1,1,0.1667,1,1,12,11,5,1,0.1667,,1,1,116.7,2,12,6.2246,12,11,5,1,0.1667,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,6,No,No,No,6,No,No,0.1667,3.5161,3.5161,17,2,2,1,0.3333,1,0.5,8,,,23,0.3333,0.5,2,11.5,60.4,1.3333,4,-4.9602,8,,,,0.3333,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,1,1,1,0.5,
Cooper Kupp,LA,WR,9,Yes,No,No,8,Yes,Yes,,2.7819,2.7819,12,2,2,1,0.25,1,0.5,7,7,2,3,1,,2,1.5,58.3,0.875,3.5,-2.2442,7,7,2,,0.2222,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,,1,,1,0.5,
D'Andre Swift,CHI,RB,5,No,No,No,2,No,No,,1.2596,1.2596,17,1,1,1,0.5,1,1,10,15,5,-5,0.5,,1,-5,108.3,5,10,4.1289,10,15,5,,0.25,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,0.5,1,1,,,,,
Adam Trautman,DEN,TE,9,Yes,No,No,6,No,Yes,0.8333,2.8044,2.8044,17,2,2,1,0.3333,2,1,22,17,2,5,0.1667,,1,2.5,112.5,3.6667,11,5.0789,11,8.5,1,1,0.25,2.2,4.2,3.2,4.2,5.2,4.2,3.2,4.2,4.2,4.2,3.2,5.2,4.2,,,,,,,1,,,,,,,,
Ja'Marr Chase,CIN,WR,9,No,No,No,9,No,No,,,,17,,,,,,,,,,,0.1111,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,No,No,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sims,GB,TE,5,No,No,No,2,No,No,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,1,Yes,Yes,Yes,1,No,No,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Long,LA,TE,6,Yes,No,No,5,No,Yes,1,1.4355,1.4355,17,1,1,1,0.2,1,1,18,8,4,10,,,,10,118.8,3.6,18,10.2315,18,8,4,1,0.2,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,,,,,,,,,,,,,,,
