Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Rome Odunze,CHI,WR,20,Yes,No,No,18,5,No,Yes,2,0.4,0.2778,2,0.4,14,15,1,75,0.5556,0.4444,3,15,2,47.9,0.7778,2.8,-6.3024,7,7.5,0.5,1,10.8679,10.8679,0.4545,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,17,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,3,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,5,Yes,Yes,Yes,2,,Yes,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,0.5,,,,,,,,,,,,,
Colby Parkinson,LA,TE,15,No,No,Yes,14,3,No,No,3,1,0.2143,3,1,29,26,6,3,0.0714,,2,1,,106.9,2.0714,9.6667,4.0334,9.6667,8.6667,2,2,4.099,4.099,0.2143,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,17,0.9286,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,21,Yes,Yes,No,19,8,No,No,8,1,0.4211,8,1,102,65,17,37,,,4,4.625,,118.8,5.3684,12.75,6.058,12.75,8.125,2.125,6,11.5888,11.5888,0.4706,10.2,18.2,14.2,18.2,22.2,21.2,17.2,18.2,18.2,18.2,14.2,22.2,18.2,15,1,,,,,,,,,,,,,,
Nick Chubb,CLV,RB,4,No,No,No,1,1,No,Yes,,,1,,,,,,2,,,1,2,,39.6,,,-6.3947,,,,,1.3043,1.3043,0.3333,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,
Michael Carter,ARZ,RB,5,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,7,Yes,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,1,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,2,6,2,-4,1,,1,-4,,79.2,2,2,-2.4851,2,6,2,,1.7181,1.7181,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,,,,,,,,,,,,,
