Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Sione Vaki,DET,RB,6,No,No,No,5,1,No,No,1,1,0.2,1,1,12,14,4,-2,0.8,0.2,-2,116.7,2.4,12,5.802,12,14,4,1,1.2747,1.2747,0.1667,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,11,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,142,No,Yes,No,133,30,No,No,26,0.8667,0.2256,26,0.8667,188,158,51,60,0.0226,0.1955,2,92.8,1.4135,6.2667,0.464,7.2308,6.0769,1.9615,10,48.1966,48.1966,0.2239,18.8,44.8,31.8,44.8,44.8,47.8,34.8,44.8,44.8,44.8,31.8,44.8,44.8,17,1,0.0385,0.782,24,9,0.3,1,,,,,,,,,,
Tank Dell,HST,WR,136,Yes,No,No,123,27,No,Yes,20,0.7407,0.2195,17,0.6296,132,53,13,205,,0.7805,7.5926,99.6,1.0732,4.8889,-2.6641,7.7647,3.1176,0.7647,9,55.4634,55.4634,0.2177,25.2,42.2,33.7,42.2,42.2,45.2,36.7,42.2,42.2,42.2,33.7,42.2,42.2,14,,,0.2195,18,2,0.0741,7,4,4,2,2,2,2,0.0741,,,
Garrett Wilson,NYJ,WR,197,No,No,Yes,184,43,No,Yes,34,0.7907,0.2337,29,0.6744,251,173,69,201,0.0054,0.6848,4.6744,78.7,1.3641,5.8372,-0.7786,8.6552,5.9655,2.3793,13,84.5033,84.5033,0.2389,37.1,66.1,51.6,66.1,66.1,69.1,54.6,66.1,66.1,66.1,51.6,66.1,66.1,17,8,0.2759,0.3098,36,6,0.1395,11,7,4,5,2,2,2,0.0465,1,,
Xavier Weaver,ARZ,WR,9,No,No,No,9,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Deuce Vaughn,DAL,RB,12,No,No,Yes,6,1,Yes,Yes,,,0.1667,,,,,,-4,1,,-4,39.6,,,-5.5699,,,,,3.4945,3.4945,0.1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,11,No,No,Yes,7,,No,Yes,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.1429,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,8,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,5,2,,3,0.8,0.2,3,87.5,1,5,-1.5094,5,2,,,1.4333,1.4333,0.1429,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,,,1,,,,,,,,,,,,,
Kameron Johnson,TB,WR,6,No,Yes,No,6,,No,No,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0.1667,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,35,No,No,Yes,24,6,No,Yes,6,1,0.25,6,1,25,51,14,-26,0.8333,0.0417,-4.3333,84,1.0417,4.1667,-1.4377,4.1667,8.5,2.3333,2,12.2917,12.2917,0.1818,2.5,8.5,5.5,11.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,17,1,0.1667,0.0833,4,4,0.6667,1,,,,,,,,,0.0417,
Quentin Johnston,LAC,WR,114,No,No,No,106,26,No,Yes,25,0.9615,0.2453,20,0.7692,158,105,51,120,,0.8585,4.6154,130,1.4906,6.0769,-0.4711,7.9,5.25,2.55,10,41.2658,41.2658,0.243,33.8,53.8,43.8,53.8,53.8,56.8,46.8,53.8,53.8,53.8,43.8,53.8,53.8,15,5,0.25,0.1415,18,3,0.1154,4,1,2,,3,2,5,0.1923,,,
Dyami Brown,WAS,WR,81,No,No,Yes,68,19,Yes,Yes,19,1,0.2794,17,0.8947,112,118,54,17,,0.8088,0.8947,91.2,1.6471,5.8947,-0.0358,6.5882,6.9412,3.1765,6,30.1617,30.1617,0.25,10.2,27.2,18.7,27.2,27.2,30.2,20.7,26.2,26.2,26.2,17.7,27.2,26.2,16,6,0.3529,0.1912,15,12,0.6316,2,1,1,,,,1,0.0526,,,
