Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Jonathan Taylor,IND,RB,107,No,Yes,No,84,11,Yes,Yes,4,0.3636,0.131,-3,2,0.9524,0.0119,0.0357,5,2,0.1818,-0.2727,39.6,-5.9808,0.1818,15.7881,15.7881,0.1236,1,14,,,,
Troy Franklin,DEN,WR,80,No,No,No,77,20,No,Yes,4,0.2,0.2597,570,3,,0.3247,0.6753,17,1,0.05,28.5,39.6,-11.6599,0.15,44.2799,44.2799,0.3226,3,16,1,4,15,
Javon Baker,NE,WR,13,No,Yes,No,13,3,No,No,,,0.2308,41,,,0.0769,0.9231,3,,,13.6667,39.6,-9.8378,,5.0181,5.0181,0.2727,,10,,,,
Laquon Treadwell,IND,WR,2,No,No,No,2,,No,No,,,,,,,0.5,0.5,,,,,,,,,,,,2,,,,
Dante Pettis,NO,WR,43,No,Yes,Yes,43,12,No,Yes,2,0.1667,0.2791,157,1,,0.4651,0.5349,10,1,0.0833,13.0833,39.6,-8.6653,0.0833,20.9497,20.9497,0.3636,2,8,,2,4,
Tyler Goodson,IND,RB,30,No,Yes,No,25,3,Yes,Yes,1,0.3333,0.12,20,1,0.84,,0.16,3,1,0.3333,6.6667,39.6,-7.9224,0.3333,5.4859,5.4859,0.1429,,16,,,1,
Jordan Mason,SF,RB,55,No,No,No,44,3,No,Yes,,,0.0682,22,,0.6591,0.1591,0.1818,,,,7.3333,39.6,-7.2337,,5.394,5.394,0.0682,1,12,,,,
Grant DuBose,MIA,WR,9,No,Yes,No,7,1,No,Yes,,,0.1429,16,,,0.7143,0.2857,1,,,16,39.6,-10.0952,,3.6503,3.6503,0.1111,,3,,,,
Feleipe Franks,CAR,TE,6,No,No,No,4,2,Yes,Yes,1,0.5,0.5,33,,0.25,0.5,,2,,,16.5,39.6,-11.8062,,3.5837,3.5837,0.5,,15,1,,,0.25
Tre Tucker,LV,WR,197,No,No,Yes,184,32,No,No,8,0.25,0.1739,630,2,,0.2337,0.7663,25,1,0.0312,19.6875,39.6,-10.232,0.0625,65.2527,65.2527,0.2238,,17,6,1,14,
Tim Jones,JAX,WR,18,No,Yes,No,18,2,Yes,Yes,,,0.1111,14,,,0.3333,0.6111,2,,,7,39.6,-7.2299,,2.501,2.501,0.1429,,16,,,,0.0556
Michael Pittman,IND,WR,178,No,Yes,No,170,35,Yes,Yes,15,0.4286,0.2059,541,3,,0.3059,0.6941,30,1,0.0286,15.4571,39.6,-9.5701,0.0857,68.1658,68.1658,0.2381,6,16,11,4,9,
Malik Washington,MIA,WR,67,No,Yes,No,59,10,No,No,4,0.4,0.1695,97,2,,0.5085,0.4746,9,1,0.1,9.7,39.6,-7.8335,0.2,18.4756,18.4756,0.2041,,14,3,1,2,0.0169
Greg Dortch,ARZ,WR,80,No,Yes,No,78,11,No,No,5,0.4545,0.141,149,2,0.0256,0.5769,0.3974,6,,,13.5455,39.6,-8.8243,0.1818,18.7018,18.7018,0.1618,,17,4,,4,
Terrell Jennings,NE,RB,6,No,Yes,No,5,2,No,No,,,0.4,22,,1,,,1,1,0.5,11,39.6,-6.5447,,5.0535,5.0535,0.5,,2,,,1,
Tip Reiman,ARZ,TE,39,No,Yes,No,19,1,No,No,,,0.0526,4,,,0.1053,0.1053,,,,4,39.6,-6.0667,,2.9117,2.9117,0.037,,17,,,,0.7895
Tyrell Shavers,BUF,WR,6,No,Yes,No,6,,No,Yes,,,,,,,0.8333,0.1667,,,,,,,,,,,,3,,,,
Javonte Williams,DEN,RB,125,No,No,No,81,14,No,Yes,6,0.4286,0.1728,35,4,0.9506,0.0123,0.0123,3,1,0.0714,2.5,39.6,-6.2477,0.2857,26.8026,26.8026,0.1414,3,17,,,,0.0247
Cam Akers,MIN,RB,40,No,Yes,Yes,27,2,No,No,,,0.0741,-5,,0.9259,,0.037,2,1,0.5,-2.5,39.6,-5.6945,,2.933,2.933,0.0769,1,16,,,,0.037
JaMycal Hasty,NE,RB,21,Yes,No,No,17,2,No,Yes,,,0.1176,4,,0.5882,,0.2941,1,,,2,39.6,-6.2445,,3.0993,3.0993,0.1538,,13,,,,0.1176
Courtland Sutton,DEN,WR,158,No,No,No,147,45,No,Yes,17,0.3778,0.3061,759,8,,0.1973,0.8027,36,,,16.8667,39.6,-9.8318,0.1778,99.7722,99.7722,0.3659,8,17,8,8,12,
DJ Chark,LAC,WR,15,No,No,Yes,15,5,No,No,,,0.3333,84,,,0.2,0.8,3,,,16.8,39.6,-10.0673,,10.9781,10.9781,0.3846,1,7,,1,1,
Audric Estime,DEN,RB,6,No,No,No,1,,No,Yes,,,,,,1,,,,,,,,,,,,,,13,,,,
Charlie Kolar,BLT,TE,14,No,No,Yes,8,2,No,No,1,0.5,0.25,11,,,0.25,,1,,,5.5,39.6,-6.6873,,2.866,2.866,0.1667,,13,1,,,0.75
Darnell Washington,PIT,TE,68,No,No,No,41,3,No,Yes,1,0.3333,0.0732,27,,,0.0732,0.122,3,1,0.3333,9,39.6,-8.5854,,7.7311,7.7311,0.0667,,17,,,1,0.8049
Zach Ertz,WAS,TE,116,No,No,No,110,19,No,No,6,0.3158,0.1727,198,3,0.0091,0.5273,0.1364,13,,,10.4211,39.6,-8.3379,0.1579,41.0826,41.0826,0.2088,5,17,4,3,3,0.3273
Davis Allen,LA,TE,46,No,No,No,40,7,No,No,1,0.1429,0.175,43,,0.025,0.15,0.175,5,1,0.1429,6.1429,39.6,-7.2811,,13.6578,13.6578,0.1944,4,14,,2,1,0.65
Brady Russell,SEA,TE,1,No,No,No,1,,No,No,,,,,,1,,,,,,,,,,,,,,11,,,,
John Samuel Shenker,LV,TE,11,No,No,No,4,,No,No,,,,,,,0.25,,,,,,,,,,,,,7,,,,0.75
Hunter Henry,NE,TE,142,Yes,No,No,127,20,No,Yes,7,0.35,0.1575,230,1,,0.5748,0.0551,14,1,0.05,11.5,39.6,-8.225,0.05,40.456,40.456,0.1923,5,16,7,5,4,0.3701
Dalton Kincaid,BUF,TE,97,No,Yes,No,91,27,No,Yes,5,0.1852,0.2967,414,3,0.022,0.6264,0.1538,14,,,15.3333,39.6,-8.9968,0.1111,57.1011,57.1011,0.3506,4,13,3,3,7,0.1978
Nelson Agholor,BLT,WR,68,No,No,No,64,13,No,No,8,0.6154,0.2031,228,1,,0.5312,0.4375,8,,,17.5385,39.6,-9.5897,0.0769,21.1616,21.1616,0.25,,14,5,,7,0.0312
Jakobi Meyers,LV,WR,171,No,No,Yes,158,34,No,No,7,0.2059,0.2152,465,2,,0.3038,0.6962,25,,,13.6765,39.6,-9.2177,0.0588,71.7183,71.7183,0.2656,7,15,5,6,8,
Jahmyr Gibbs,DET,RB,90,No,Yes,Yes,73,9,No,No,2,0.2222,0.1233,41,1,0.8904,0.0548,0.0548,3,1,0.1111,4.5556,39.6,-7.0811,0.1111,16.3466,16.3466,0.1364,3,17,1,,1,
D.J. Turner,LV,WR,81,No,No,No,79,9,No,No,1,0.1111,0.1139,132,,0.0253,0.6835,0.2911,4,,,14.6667,39.6,-9.016,,16.0622,16.0622,0.1837,2,12,,,4,
Gabe Davis,JAX,WR,79,No,Yes,Yes,72,20,Yes,Yes,7,0.35,0.2778,349,2,,0.1944,0.8056,15,,,17.45,39.6,-10.2711,0.1,46.0794,46.0794,0.2899,6,10,3,6,5,
Ian Thomas,CAR,TE,10,No,Yes,Yes,4,1,No,No,1,1,0.25,4,1,,,,1,,,4,39.6,-6.0667,1,1.4953,1.4953,0.125,,5,,,,1
Zay Flowers,BLT,WR,133,No,No,Yes,129,41,No,No,9,0.2195,0.3178,633,6,,0.4574,0.5426,25,3,0.0732,15.439,39.6,-9.2045,0.1463,89.1747,89.1747,0.3981,4,17,4,5,13,
Odell Beckham,MIA,WR,26,No,Yes,No,26,9,No,No,2,0.2222,0.3462,126,2,,0.5,0.5,8,,,14,39.6,-9.5105,0.2222,19.4022,19.4022,0.4091,3,9,,3,1,
Michael Wilson,ARZ,WR,134,Yes,No,No,128,19,No,No,5,0.2632,0.1484,319,2,,0.3359,0.6641,17,,,16.7895,39.6,-9.3954,0.1053,43.9547,43.9547,0.1827,2,16,5,4,6,
Cody White,SEA,WR,8,No,Yes,No,7,1,No,No,,,0.1429,9,,,,1,1,,,9,39.6,-7.4539,,3.3651,3.3651,0.2,,4,,,,
River Cracraft,MIA,WR,21,No,Yes,No,17,1,No,No,1,1,0.0588,14,1,0.0588,0.3529,0.5882,1,,,14,39.6,-9.8134,1,1.7719,1.7719,0.0909,,8,,,,
Eric Tomlinson,LAC,TE,17,No,Yes,Yes,9,2,No,No,2,1,0.2222,9,1,,,0.1111,1,,,4.5,39.6,-6.2734,0.5,3.6046,3.6046,0.1667,1,9,1,,,0.8889
