Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,playerStatsXfpPprTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Garrett Wilson,NYJ,WR,18,No,Yes,Yes,18,No,No,0.2778,0.7222,17,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,30,No,Yes,No,28,No,No,0.3214,0.2857,14,0.3929,,,,,,,,,,,,,,,
James Mitchell,DET,TE,1,Yes,Yes,No,1,No,No,,,1,1,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,35,No,Yes,No,34,No,No,0.9118,0.0882,17,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,5,No,No,No,5,No,No,,1,2,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,5,No,Yes,Yes,1,No,No,1,,9,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,2,No,Yes,No,2,No,No,0.5,0.5,4,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,26,No,Yes,Yes,26,No,No,0.2692,0.7308,16,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,5,No,Yes,No,3,No,No,0.3333,,17,,0.6667,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,23,Yes,No,No,22,No,No,0.0909,0.9091,15,,,,,,,,,,,,,,,,
Johnny Wilson,PHI,WR,7,No,No,No,6,No,No,0.3333,0.6667,16,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,3,No,No,No,1,No,No,1,,17,,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,6,No,Yes,No,4,No,No,,0.25,11,0.75,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,7,No,Yes,Yes,6,No,No,0.1667,,17,,0.8333,,,,,,,,,,,,,,
