Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage
Jonathon Brooks,CAR,RB,1,Yes,Yes,Yes,1,No,No,1,3,,,
Chris Brooks,GB,RB,4,No,Yes,No,3,No,No,1,13,,,
Christian Watson,GB,WR,10,No,Yes,No,9,No,No,,15,0.3333,0.6667,
James Conner,ARZ,RB,12,No,Yes,Yes,9,No,No,0.8889,16,,0.1111,
K.J. Osborn,WAS,WR,14,No,Yes,No,14,No,No,,9,0.1429,0.8571,
Tyler Conklin,NYJ,TE,34,No,Yes,No,30,No,No,,16,0.6,0.1333,0.2667
Justice Hill,BLT,RB,15,No,Yes,No,10,No,No,0.9,16,,,0.1
Anthony Firkser,KC,TE,1,No,Yes,Yes,1,No,No,,6,1,,
Adam Trautman,DEN,TE,15,No,Yes,No,12,No,No,,17,0.1667,0.1667,0.6667
D'Andre Swift,CHI,RB,37,No,Yes,No,26,No,No,0.8077,17,0.0385,0.1538,
Ja'Marr Chase,CIN,WR,47,No,Yes,No,47,No,No,0.0213,17,0.3617,0.617,
Steven Sims,BLT,WR,1,No,Yes,Yes,1,No,No,,9,,1,
Tommy Tremble,CAR,TE,14,No,Yes,No,11,No,No,,12,0.3636,0.0909,0.5455
Jonathan Mingo,DAL,WR,8,No,Yes,Yes,8,No,No,,17,0.75,0.25,
Cooper Kupp,LA,WR,16,No,Yes,Yes,16,No,No,,12,0.875,0.125,
Hunter Long,LA,TE,2,No,Yes,No,1,No,No,,17,,,1
Kayshon Boutte,NE,WR,37,No,No,No,36,No,No,,15,0.1667,0.8333,
DeAndre Carter,CHI,WR,9,No,Yes,Yes,8,No,No,,13,0.75,0.25,
Jake Bobo,SEA,WR,6,No,Yes,No,6,No,No,,17,0.1667,0.8333,
Brevyn Spann-Ford,DAL,TE,5,No,Yes,Yes,4,No,No,,17,0.75,0.25,
Tyler Higbee,LA,TE,1,No,Yes,No,1,No,No,,3,,1,
Connor Heyward,PIT,TE,5,Yes,Yes,No,5,No,No,,16,0.2,,0.8
Parris Campbell,PHI,WR,8,Yes,Yes,No,8,No,No,,5,0.5,0.5,
Adonai Mitchell,IND,WR,9,No,Yes,Yes,9,No,No,,17,0.4444,0.5556,
Nick Westbrook-Ikhine,TEN,WR,36,No,Yes,No,35,No,No,,17,0.3143,0.6857,
Marquez Valdes-Scantling,NO,WR,10,Yes,Yes,Yes,10,No,No,,14,0.3,0.7,
Miles Sanders,CAR,RB,6,No,Yes,No,4,No,No,0.5,11,0.25,0.25,
Charlie Jones,CIN,WR,1,No,Yes,No,1,No,No,,8,,1,
Rasheen Ali,BLT,RB,1,No,Yes,Yes,1,No,No,1,5,,,
Will Dissly,LAC,TE,23,Yes,Yes,No,17,No,No,,15,0.4118,0.1765,0.4118
KhaDarel Hodge,ATL,WR,9,No,Yes,No,9,No,No,,16,0.3333,0.6667,
Jamari Thrash,CLV,WR,8,No,Yes,Yes,8,No,No,,9,0.5,0.5,
Saquon Barkley,PHI,RB,24,Yes,Yes,Yes,17,No,No,1,16,,,
Evan Engram,JAX,TE,12,No,Yes,Yes,12,No,No,,9,0.5833,0.0833,0.3333
Samaje Perine,KC,RB,25,No,Yes,No,18,No,No,0.8889,17,0.0556,0.0556,
Jordan Whittington,LA,WR,8,No,Yes,No,8,No,No,,15,0.5,0.5,
Josh Whyle,TEN,TE,13,No,Yes,No,12,No,No,,17,0.4167,0.25,0.3333
Travis Etienne,JAX,RB,13,No,Yes,Yes,5,No,No,0.8,15,,0.2,
J.K. Dobbins,LAC,RB,19,Yes,Yes,No,12,No,No,0.8333,13,0.0833,0.0833,
Emari Demercado,ARZ,RB,8,No,Yes,Yes,5,No,No,0.8,13,,0.2,
Equanimeous St. Brown,NO,WR,3,No,Yes,Yes,3,No,No,,2,0.6667,0.3333,
Jake Ferguson,DAL,TE,25,No,Yes,Yes,23,No,No,,14,0.6522,0.1304,0.2174
Davante Adams,NYJ,WR,36,No,Yes,No,36,No,No,,14,0.6111,0.3889,
Dare Ogunbowale,HST,RB,30,No,Yes,No,23,No,No,0.6957,17,0.1739,0.1304,
Nico Collins,HST,WR,28,No,Yes,No,28,No,No,,12,0.2857,0.7143,
Jerry Jeudy,CLV,WR,63,No,Yes,Yes,60,No,No,,17,0.4667,0.5333,
Ronnie Rivers,LA,RB,4,No,Yes,No,3,No,No,1,6,,,
Amari Cooper,BUF,WR,29,No,Yes,No,27,No,No,,14,0.2222,0.7778,
Darius Slayton,NYG,WR,39,No,Yes,Yes,38,No,No,,16,0.1842,0.8158,
Jalen Nailor,MIN,WR,34,Yes,Yes,No,33,No,No,,17,0.4242,0.5758,
John Metchie,HST,WR,24,No,Yes,No,23,No,No,,13,0.5652,0.4348,
Jamison Crowder,WAS,WR,11,No,Yes,Yes,11,No,No,,6,0.8182,0.1818,
KaVontae Turpin,DAL,WR,13,No,Yes,Yes,13,No,No,,17,0.4615,0.5385,
Jordan Mims,NO,RB,5,Yes,Yes,Yes,4,No,No,0.75,9,,0.25,
Jalen Brooks,DAL,WR,12,No,Yes,Yes,12,No,No,,14,0.25,0.75,
Kevin Austin,NO,WR,10,Yes,Yes,Yes,9,No,No,,8,,1,
Kenneth Gainwell,PHI,RB,18,No,Yes,Yes,10,No,No,0.9,17,,0.1,
Juwan Johnson,NO,TE,26,Yes,Yes,Yes,25,No,No,,17,0.52,0.24,0.24
David Montgomery,DET,RB,13,No,Yes,Yes,8,No,No,0.875,14,0.125,,
Mack Hollins,BUF,WR,11,No,No,No,11,No,No,,17,0.4545,0.5455,
Tyler Boyd,TEN,WR,40,No,Yes,No,38,No,No,,16,0.7895,0.2105,
Dareke Young,SEA,WR,2,No,Yes,No,2,No,No,,12,,1,
Hassan Haskins,LAC,RB,5,Yes,Yes,No,3,No,No,1,15,,,
Andrew Ogletree,IND,TE,6,No,Yes,Yes,4,No,No,,17,0.5,0.25,0.25
Jaylen Warren,PIT,RB,20,No,Yes,No,15,No,No,0.8,15,,,0.2
Kendrick Bourne,NE,WR,19,No,No,No,19,No,No,,12,0.2105,0.7895,
Ashton Dulin,IND,WR,4,No,Yes,Yes,4,No,No,,15,0.5,0.5,
Jauan Jennings,SF,WR,23,Yes,Yes,No,22,No,No,,15,0.4091,0.5909,
Ja'Tavion Sanders,CAR,TE,23,No,Yes,No,20,No,No,0.05,16,0.4,0.3,0.25
Tanner Conner,MIA,TE,2,No,Yes,No,2,No,No,,7,,1,
Devin Singletary,NYG,RB,16,No,Yes,Yes,12,No,No,0.9167,15,,0.0833,
Isaiah Hodgins,NYG,WR,3,No,Yes,Yes,3,No,No,,3,,0.6667,0.3333
Zamir White,LV,RB,6,Yes,Yes,No,5,No,No,0.8,8,,0.2,
Ameer Abdullah,LV,RB,25,No,Yes,No,20,No,No,0.75,16,0.2,0.05,
Devaughn Vele,DEN,WR,11,No,Yes,No,11,No,No,,13,0.5455,0.3636,0.0909
Khalil Herbert,CIN,RB,6,No,Yes,No,5,No,No,1,13,,,
Trey Sermon,IND,RB,9,No,Yes,Yes,6,No,No,1,17,,,
Josh Downs,IND,WR,23,No,Yes,Yes,22,No,No,0.0455,14,0.9091,0.0455,
Foster Moreau,NO,TE,24,Yes,Yes,Yes,18,No,No,,17,0.2222,0.0556,0.7222
Tyler Allgeier,ATL,RB,3,No,Yes,No,1,No,No,1,17,,,
Isaiah Davis,NYJ,RB,7,No,Yes,No,7,No,No,0.8571,13,,0.1429,
Colby Parkinson,LA,TE,19,No,Yes,No,16,No,No,,17,0.25,0.125,0.625
Rome Odunze,CHI,WR,63,No,Yes,No,61,No,No,,17,0.2295,0.7705,
Bucky Irving,TB,RB,17,Yes,Yes,Yes,11,No,No,0.7273,17,0.0909,0.1818,
D.J. Moore,CHI,WR,67,No,Yes,No,67,No,No,0.0149,17,0.2388,0.7463,
Tyjae Spears,TEN,RB,19,No,Yes,No,14,No,No,0.7143,12,0.1429,,0.1429
Laviska Shenault,LAC,WR,2,No,Yes,Yes,2,No,No,,12,1,,
Josh Oliver,MIN,TE,17,Yes,Yes,No,15,No,No,,15,,0.0667,0.9333
Nick Chubb,CLV,RB,9,No,Yes,Yes,7,No,No,0.8571,8,,,0.1429
Michael Carter,ARZ,RB,2,Yes,Yes,No,2,No,No,1,3,,,
Breece Hall,NYJ,RB,31,No,Yes,No,20,No,No,0.85,16,,0.15,
Trent Sherfield,MIN,WR,3,Yes,Yes,No,2,No,No,,17,0.5,0.5,
Jha'Quan Jackson,TEN,WR,1,No,Yes,No,1,No,No,,12,1,,
Tyquan Thornton,NE,WR,4,No,Yes,Yes,4,No,No,,5,0.5,0.5,
Rakim Jarrett,TB,WR,9,Yes,Yes,Yes,9,No,No,,10,0.4444,0.5556,
