Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage
James Mitchell,DET,TE,1,No,Yes,Yes,1,Yes,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,187,No,Yes,No,182,No,No,,17,21,2,12,0.5714,3,0.1154,11,2,2,0.5238,179,60,12,346,2,1,3,0.2727,0.011,0.3297,0.6593,13,16.4762,5,113,0.9835,8.5238,-1.2464,16.2727,5.4545,1.0909,9,47.8328,47.8328,0.1842,29.9,40.9,35.4,40.9,40.9,43.9,38.4,40.9,40.9,40.9,35.4,40.9,40.9,3,,,,
Demario Douglas,NE,WR,188,No,Yes,No,182,No,No,,17,19,,16,0.8421,2,0.1044,16,,1,0.8421,217,76,21,169,2,2,,,0.011,0.7967,0.1923,12,8.8947,1,149.3,1.1923,11.4211,3.8543,13.5625,4.75,1.3125,12,43.2875,43.2875,0.2135,33.7,49.7,41.7,49.7,49.7,52.7,44.7,49.7,49.7,49.7,41.7,49.7,49.7,1,,,,
Xavier Weaver,ARZ,WR,8,No,Yes,No,8,No,No,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deuce Vaughn,DAL,RB,4,No,Yes,Yes,2,No,No,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,21,No,Yes,No,13,No,No,,9,1,,1,1,,0.0769,1,,,1,7,6,1,1,,,,,0.6154,0.2308,0.1538,,1,,95.8,0.5385,7,1.2706,7,6,1,,1.6235,1.6235,0.0714,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,
Kenny McIntosh,SEA,RB,9,Yes,Yes,Yes,6,No,No,,11,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,3,No,Yes,No,3,No,No,,4,,,,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,81,No,Yes,Yes,79,No,No,,16,3,1,2,0.6667,2,0.038,1,,,0.3333,12,,,41,,,,,,0.2785,0.7215,1,13.6667,,46.5,0.1519,4,-5.4201,12,,,,7.1197,7.1197,0.12,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2,,,,
Emanuel Wilson,GB,RB,31,No,Yes,Yes,21,No,No,,17,1,,,,,0.0476,,,,,,,,-2,,,,,0.8571,0.0952,0.0476,,-2,,39.6,,,-6.198,,,,,2.2626,2.2626,0.0556,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,100,No,Yes,No,97,No,Yes,,15,9,,4,0.4444,1,0.0928,4,,,0.4444,88,39,2,160,1,,,,,0.1649,0.8351,4,17.7778,4,77.3,0.9072,9.7778,0.3504,22,9.75,0.5,4,17.599,17.599,0.1731,14.8,18.8,16.8,18.8,18.8,18.8,16.8,18.8,18.8,18.8,16.8,18.8,18.8,,,,,
