Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
Marvin Harrison,ARZ,WR,45,No,No,No,17,No,Yes,0.2353,0.7647,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,28,No,No,No,19,No,Yes,0.2105,0.3158,12,13,13,1,0.6842,13,1,120,180,48,-60,3,0.2308,0.4737,13,13,1,-4.6154,105.1,6.3158,9.2308,3.7585,9.2308,13.8462,3.6923,4,17.9244,17.9244,0.4643,12,25,18.5,31.5,25,28,21.5,25,25,25,18.5,25,25,,,,,,,,
Jaheim Bell,NE,TE,7,Yes,No,No,2,No,Yes,,1,13,1,1,1,0.5,1,1,1,3,1,-2,,,,1,1,1,-2,79.2,0.5,1,-3.8511,1,3,1,,1.7831,1.7831,0.1429,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,,,,,
Devontez Walker,BLT,WR,5,No,No,Yes,2,No,Yes,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,23,Yes,No,No,1,No,Yes,,,17,1,1,1,1,1,1,,1,1,-1,,,,1,1,1,-1,79.2,,,-4.9014,,1,1,,1.4882,1.4882,0.0435,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,1,,,,,,,
Daniel Bellinger,NYG,TE,17,Yes,No,No,2,No,Yes,0.5,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Chase Brown,CIN,RB,27,Yes,No,Yes,14,No,Yes,0.1429,0.2857,16,10,10,1,0.7143,9,0.9,48,79,23,-34,4,0.4444,0.5,10,10,1,-3.4,120,3.4286,4.8,-0.9278,5.3333,8.7778,2.5556,3,16.7891,16.7891,0.3704,10.8,19.8,15.3,24.3,19.8,19.8,15.3,19.8,19.8,19.8,15.3,19.8,19.8,0.0714,1,1,1,,,,
Najee Harris,PIT,RB,19,Yes,No,No,14,No,Yes,,,17,11,10,0.9091,0.7857,9,0.8182,105,157,21,-63,4,0.4444,1,11,11,1,-5.7273,106.4,7.5,9.5455,4.2228,11.6667,17.4444,2.3333,4,14.4808,14.4808,0.5789,10.5,19.5,15,24,19.5,22.5,18,19.5,19.5,19.5,15,19.5,19.5,,,,2,1,0.0909,,
Curtis Samuel,BUF,WR,23,Yes,No,No,14,No,Yes,0.7857,0.1429,14,12,12,1,0.8571,12,1,59,94,19,-35,3,0.25,0.0714,12,12,1,-2.9167,87.2,4.2143,4.9167,-0.0661,4.9167,7.8333,1.5833,1,18.8378,18.8378,0.5217,5.9,17.9,11.9,17.9,17.9,17.9,11.9,17.9,17.9,17.9,11.9,17.9,17.9,,1,,,,,1,
Jeremy Ruckert,NYJ,TE,22,Yes,No,No,4,No,Yes,0.75,,17,1,1,1,0.25,1,1,-1,1,,-2,,,,1,1,1,-2,79.2,-0.25,-1,-5.8511,-1,1,,,1.4553,1.4553,0.0455,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,0.25,,,,,,,
Kalif Raymond,DET,WR,12,No,No,No,5,No,Yes,0.6,0.4,12,5,5,1,1,5,1,38,57,9,-19,1,0.2,,5,5,1,-3.8,98.3,7.6,7.6,3.0238,7.6,11.4,1.8,1,7.5077,7.5077,0.4167,3.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,,,,1,,,,
Darnell Mooney,ATL,WR,43,Yes,No,No,12,No,Yes,0.5,0.25,16,6,6,1,0.5,6,1,3,24,3,-21,,,0.25,6,6,1,-3.5,79.2,0.25,0.5,-4.2517,0.5,4,0.5,1,10.8128,10.8128,0.1395,0.3,6.3,3.3,6.3,6.3,6.3,3.3,6.3,6.3,6.3,3.3,6.3,6.3,,,,,,,,
Brandon Aiyuk,SF,WR,9,No,No,Yes,3,No,Yes,0.6667,0.3333,7,1,1,1,0.3333,1,1,2,6,1,-4,,,,1,1,1,-4,79.2,0.6667,2,-2.4851,2,6,1,,1.7271,1.7271,0.1111,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,
Allen Lazard,NYJ,WR,48,Yes,No,No,10,No,Yes,0.4,0.6,12,4,3,0.75,0.4,2,0.5,17,20,7,-5,1,0.5,,4,4,1,-1.25,101,1.7,4.25,-1.7522,8.5,10,3.5,1,7.3297,7.3297,0.0833,7.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,,,1,2,1,0.25,,
Andrei Iosivas,CIN,WR,32,Yes,No,No,6,No,Yes,0.6667,0.3333,17,1,1,1,0.1667,1,1,1,4,,-3,,,,1,1,1,-3,79.2,0.1667,1,-3.9408,1,4,,,1.5095,1.5095,0.0312,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,
Zay Jones,ARZ,WR,18,No,No,No,5,No,Yes,0.4,0.6,11,1,1,1,0.2,1,1,3,5,2,-2,,,,1,1,1,-2,79.2,0.6,3,-2.4991,3,5,2,1,1.4828,1.4828,0.0556,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Ben Sinnott,WAS,TE,15,No,No,No,3,No,Yes,0.3333,0.3333,17,1,1,1,0.3333,1,1,3,5,3,-2,,,,1,1,1,-2,79.2,1,3,-1.8511,3,5,3,,1.5148,1.5148,0.0667,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,0.3333,,,,,,,
Stefon Diggs,HST,WR,24,Yes,No,Yes,8,No,Yes,0.625,0.375,8,5,5,1,0.625,5,1,20,46,16,-26,,,,5,5,1,-5.2,83.3,2.5,4,-0.1483,4,9.2,3.2,1,7.076,7.076,0.2083,2.52,7.52,5.02,7.52,7.52,7.52,5.02,7.52,7.52,7.52,5.02,7.65,7.65,,,,1,,,,
Dante Pettis,NO,WR,9,No,No,No,7,No,Yes,,1,8,3,3,1,0.4286,2,0.6667,10,18,5,-10,,,,3,3,1,-3.3333,71.5,1.4286,3.3333,-1.5332,5,9,2.5,,4.5697,4.5697,0.3333,1,3,2,3,3,3,2,3,3,3,2,3,3,,,,1,1,0.3333,,
Brevin Jordan,HST,TE,2,No,No,No,1,No,Yes,,,2,1,,,1,,,,,,-4,,,,1,1,1,-4,39.6,,,-6.3364,,,,,1.5014,1.5014,0.5,,,,,,,,,,,,,,1,,,,,,,
Jayden Reed,GB,WR,57,No,No,No,39,No,Yes,0.641,0.2821,17,25,24,0.96,0.641,19,0.76,125,196,40,-102,1,0.0526,0.0513,25,25,1,-4.08,99.6,3.2051,5,0.511,6.5789,10.3158,2.1053,4,44.2737,44.2737,0.4386,18.5,37.5,28,37.5,37.5,40.5,31,37.5,37.5,37.5,28,37.5,37.5,0.0256,,1,5,5,0.2,,
Terry McLaurin,WAS,WR,66,No,No,No,35,No,Yes,0.3143,0.6857,17,12,12,1,0.3429,11,0.9167,35,68,17,-37,1,0.0909,,12,12,1,-3.0833,79.2,1,2.9167,-2.0142,3.1818,6.1818,1.5455,2,20.4065,20.4065,0.1818,3.5,14.5,9,14.5,14.5,14.5,9,14.5,14.5,14.5,9,14.5,14.5,,,,2,1,0.0833,,
Ainias Smith,PHI,WR,3,Yes,No,No,3,No,Yes,0.3333,0.6667,7,3,3,1,1,3,1,8,17,3,-9,,,,3,3,1,-3,79.2,2.6667,2.6667,-2.3083,2.6667,5.6667,1,,4.4202,4.4202,1,0.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,3.8,2.3,3.8,3.8,,,,,,,,
Chris Godwin,TB,WR,34,Yes,No,No,15,No,Yes,0.6,0.4,7,12,12,1,0.8,12,1,154,178,76,-24,4,0.3333,,12,12,1,-2,146.5,10.2667,12.8333,7.4031,12.8333,14.8333,6.3333,4,19.6609,19.6609,0.3529,21.4,33.4,27.4,33.4,33.4,36.4,30.4,33.4,33.4,33.4,27.4,33.4,33.4,,,1,2,,,,
Marvin Mims,DEN,WR,40,Yes,No,No,32,No,Yes,0.5312,0.3438,17,24,24,1,0.75,23,0.9583,209,308,54,-102,3,0.1304,0.125,24,24,1,-4.25,142.5,6.5312,8.7083,4.2365,9.087,13.3913,2.3478,8,41.4295,41.4295,0.6,38.9,61.9,50.4,61.9,61.9,64.9,53.4,61.9,61.9,61.9,50.4,61.9,61.9,,,3,5,1,0.0417,,
Dallas Goedert,PHI,TE,13,Yes,No,No,5,No,Yes,0.4,0.2,10,5,5,1,1,5,1,15,24,6,-9,,,,5,5,1,-1.8,79.2,3,3,-2.3544,3,4.8,1.2,,9.2041,9.2041,0.3846,1.5,6.5,4,6.5,9,6.5,4,6.5,6.5,6.5,4,9,6.5,0.4,,,2,,,,
Roschon Johnson,CHI,RB,15,No,No,No,7,No,Yes,,,13,4,4,1,0.5714,4,1,21,43,24,-22,1,0.25,1,4,4,1,-5.5,88.5,3,5.25,0.0434,5.25,10.75,6,1,5.2792,5.2792,0.2667,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,,,,,,,,
Cedric Tillman,CLV,WR,19,No,No,No,8,No,Yes,0.125,0.875,11,2,2,1,0.25,2,1,3,6,1,-3,,,,2,2,1,-1.5,79.2,0.375,1.5,-4.3345,1.5,3,0.5,,3.9598,3.9598,0.1053,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,,,1,,,,
Calvin Ridley,TEN,WR,44,No,No,No,13,No,No,0.3846,0.6154,17,8,8,1,0.6154,8,1,39,60,19,-21,3,0.375,,8,8,1,-2.625,87,3,4.875,-0.3289,4.875,7.5,2.375,1,13.7591,13.7591,0.186,3.9,11.9,7.9,11.9,11.9,11.9,7.9,11.9,11.9,11.9,7.9,11.9,11.9,,,,1,,,,
Raheem Mostert,MIA,RB,24,Yes,No,No,14,No,Yes,0.2857,0.0714,13,5,5,1,0.3571,5,1,39,53,12,-14,1,0.2,0.6429,5,5,1,-2.8,99.2,2.7857,7.8,2.0069,7.8,10.6,2.4,2,7.5726,7.5726,0.2083,3.9,8.9,6.4,11.4,8.9,8.9,6.4,8.9,8.9,8.9,6.4,8.9,8.9,,,,,,,,
Jalen Coker,CAR,WR,18,No,No,No,9,No,Yes,0.5556,0.4444,11,2,2,1,0.2222,2,1,18,24,11,-6,1,0.5,,2,2,1,-3,104.2,2,9,4.0592,9,12,5.5,1,2.9779,2.9779,0.1111,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,,,,,,,
Kyren Williams,LA,RB,38,No,No,No,13,No,Yes,0.0769,,16,8,7,0.875,0.6154,6,0.75,-2,29,6,-48,,,0.9231,8,8,1,-6,77.1,-0.1538,-0.25,-5.4841,-0.3333,4.8333,1,,13.0103,13.0103,0.2105,-0.2,5.8,2.8,8.8,5.8,5.8,2.8,5.8,5.8,5.8,2.8,5.8,5.8,,,,2,1,0.125,,
Tucker Kraft,GB,TE,60,No,No,No,16,No,Yes,0.3125,,17,12,10,0.8333,0.75,10,0.8333,61,76,20,-22,1,0.1,,12,12,1,-1.8333,127.4,3.8125,5.0833,-0.507,6.1,7.6,2,4,23.596,23.596,0.2,24.1,34.1,29.1,34.1,39.1,34.1,29.1,34.1,34.1,34.1,29.1,39.1,34.1,0.6875,,3,4,,,,
Payne Durham,TB,TE,31,No,No,No,5,No,Yes,,0.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,
Trey Palmer,TB,WR,23,No,No,No,7,No,Yes,0.2857,0.7143,15,2,2,1,0.2857,2,1,12,21,4,-9,,,,2,2,1,-4.5,91.7,1.7143,6,1.6586,6,10.5,2,,2.4007,2.4007,0.087,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,
Jalen Reagor,LAC,WR,10,No,No,No,5,Yes,Yes,1,,8,1,1,1,0.2,1,1,,4,3,-4,,,,1,1,1,-4,79.2,,,-4.4851,,4,3,,2.9595,2.9595,0.1,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,
Trey McBride,ARZ,TE,40,No,No,No,20,No,Yes,0.35,0.15,16,16,16,1,0.8,15,0.9375,88,118,39,-33,4,0.2667,,16,16,1,-2.0625,110.4,4.4,5.5,0.1775,5.8667,7.8667,2.6,3,28.7136,28.7136,0.4,14.8,29.8,22.3,29.8,37.3,29.8,22.3,29.8,29.8,29.8,22.3,37.3,29.8,0.5,,1,2,1,0.0625,,
Patrick Taylor,SF,RB,10,No,No,No,6,No,Yes,,0.1667,9,,,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Steele,KC,RB,15,Yes,No,No,5,No,Yes,,,16,2,2,1,0.4,2,1,3,13,1,-10,,,1,2,2,1,-5,79.2,0.6,1.5,-4.3711,1.5,6.5,0.5,,3.6039,3.6039,0.1333,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,,,1,,,,
John Bates,WAS,TE,30,No,No,No,3,No,Yes,,,17,2,,,0.6667,,,,,,-8,,,,2,2,1,-4,39.6,,,-5.1193,,,,,3.1234,3.1234,0.0667,,,,,,,,,,,,,,1,,,,,,,
Dontayvion Wicks,GB,WR,41,No,No,No,9,No,Yes,0.2222,0.6667,17,4,4,1,0.4444,4,1,13,18,7,-5,1,0.25,,4,4,1,-1.25,80.2,1.4444,3.25,-2.5517,3.25,4.5,1.75,2,8.504,8.504,0.0976,1.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,0.1111,,,1,,,,
Dawson Knox,BUF,TE,26,No,No,Yes,5,No,Yes,0.6,0.4,16,2,2,1,0.4,2,1,9,15,3,-6,,,,2,2,1,-3,85.4,1.8,4.5,-1.0938,4.5,7.5,1.5,,4.5124,4.5124,0.0769,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,,,,,,,
Noah Brown,WAS,WR,30,Yes,No,Yes,5,No,Yes,0.4,0.6,11,3,3,1,0.6,3,1,20,26,10,-6,,,,3,3,1,-2,94.4,4,6.6667,1.3599,6.6667,8.6667,3.3333,1,4.1447,4.1447,0.1,2,5,3.5,5,5,5,3.5,5,5,5,3.5,5,5,,,,1,,,,
Erik Ezukanma,MIA,WR,2,No,No,No,1,No,Yes,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,20,No,No,No,14,No,Yes,0.1429,,17,9,9,1,0.6429,8,0.8889,41,86,38,-48,2,0.25,0.8571,9,9,1,-5.3333,122.7,2.9286,4.5556,-0.8376,5.125,10.75,4.75,2,15.6321,15.6321,0.45,10.1,18.1,14.1,22.1,18.1,18.1,14.1,18.1,18.1,18.1,14.1,18.1,18.1,,1,1,1,,,,
Quentin Johnston,LAC,WR,32,Yes,No,Yes,12,No,Yes,0.1667,0.8333,15,9,9,1,0.75,9,1,55,77,27,-22,1,0.1111,,9,9,1,-2.4444,92.1,4.5833,6.1111,1.053,6.1111,8.5556,3,2,13.0736,13.0736,0.2812,5.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,14.5,10,14.5,14.5,,,,1,,,,
Johnny Wilson,PHI,WR,13,Yes,No,No,1,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarShawn Lloyd,GB,RB,2,Yes,No,No,2,No,Yes,1,,1,1,1,1,0.5,1,1,3,7,4,-4,,,,1,1,1,-4,79.2,1.5,3,-2.5699,3,7,4,,1.7023,1.7023,0.5,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Blake Whiteheart,CLV,TE,8,No,No,Yes,1,No,Yes,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,70,Yes,No,No,40,No,Yes,0.275,0.725,17,18,18,1,0.45,18,1,74,110,23,-36,9,0.5,,18,18,1,-2,83.8,1.85,4.1111,-1.1631,4.1111,6.1111,1.2778,3,28.5655,28.5655,0.2571,5.4,23.4,14.4,23.4,23.4,23.4,12.4,21.4,21.4,21.4,12.4,23.4,21.4,,,,4,,,,
Jeff Wilson,MIA,RB,6,Yes,No,No,5,No,Yes,0.2,,9,1,1,1,0.2,1,1,6,9,1,-3,,,0.8,1,1,1,-3,91.7,1.2,6,-0.1191,6,9,1,,1.6179,1.6179,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Kenny McIntosh,SEA,RB,4,Yes,No,No,1,No,Yes,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Deuce Vaughn,DAL,RB,3,No,No,No,2,No,Yes,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,1.863,1.863,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,43,No,No,No,28,No,Yes,0.3571,0.6429,16,20,20,1,0.7143,20,1,99,165,55,-66,7,0.35,,20,20,1,-3.3,87.3,3.5357,4.95,0.0783,4.95,8.25,2.75,6,31.5786,31.5786,0.4651,8.9,28.9,18.9,28.9,28.9,28.9,17.9,27.9,27.9,27.9,17.9,28.9,27.9,,,,1,,,,
Charlie Woerner,ATL,TE,14,No,No,No,2,No,Yes,,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Josh Palmer,LAC,WR,17,Yes,No,Yes,3,No,Yes,,1,15,2,2,1,0.6667,2,1,15,14,5,1,,,,2,2,1,0.5,97.9,5,7.5,1.7479,7.5,7,2.5,1,4.1387,4.1387,0.125,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,1,,,,
Antonio Gibson,NE,RB,23,Yes,No,No,12,No,Yes,0.0833,0.0833,17,10,9,0.9,0.8333,9,0.9,48,83,20,-38,,,0.75,10,10,1,-3.8,86.7,4,4.8,-0.9236,5.3333,9.2222,2.2222,2,15.1823,15.1823,0.4348,4.8,13.8,9.3,18.3,13.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,0.0833,,,,,,,
Chris Moore,ARZ,WR,3,Yes,No,Yes,1,No,Yes,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
