Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Travis Etienne,JAX,RB,170,No,Yes,No,133,7,Yes,Yes,6,0.8571,1,0.0526,5,0.7143,51,59,25,26,1,2,0.4,0.9023,0.015,0.0827,7,3.7143,1,52.4,0.3835,7.2857,0.4966,0.1429,10.2,11.8,5,2,11.2218,11.2218,0.0412,5.1,10.1,7.6,12.6,10.1,10.1,7.6,10.1,10.1,10.1,7.6,10.1,10.1,15,,,,,,,
D'Onta Foreman,CLV,RB,56,No,No,No,33,1,No,Yes,1,1,,0.0303,1,1,5,11,1,-6,,1,1,0.8788,0.0909,0.0303,1,-6,,87.5,0.1515,5,-0.0893,,5,11,1,,1.208,1.208,0.0179,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,,,,,,
Deebo Samuel,SF,WR,207,No,No,No,206,47,No,No,37,0.7872,1,0.2282,24,0.5106,434,189,85,514,6,3,0.125,0.0437,0.3058,0.6408,47,10.9362,8,88.4,2.1068,9.234,1.1975,0.1277,18.0833,7.875,3.5417,18,80.6706,80.6706,0.2271,55.4,79.4,67.4,79.4,79.4,82.4,70.4,79.4,79.4,79.4,67.4,79.4,79.4,15,8,2,1,2,0.0097,7,
Mike Gesicki,CIN,TE,238,No,Yes,No,231,58,No,No,54,0.931,3,0.2511,49,0.8448,453,152,46,408,3,3,0.0612,0.0043,0.697,0.2251,58,7.0345,1,105,1.961,7.8103,0.4106,0.0517,9.2449,3.102,0.9388,25,100.0121,100.0121,0.2437,50.3,99.3,74.8,99.3,123.8,102.3,76.8,98.3,98.3,98.3,73.8,123.8,98.3,17,12,8,1,1,0.0736,8,
Devin Duvernay,JAX,WR,73,No,Yes,No,73,6,Yes,Yes,3,0.5,,0.0822,3,0.5,13,1,,112,,,,,0.6301,0.3699,6,18.6667,3,16.7,0.1781,2.1667,-7.1232,,4.3333,0.3333,,3,10.6747,10.6747,0.0822,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,13,,,,,,,
Ryan Flournoy,DAL,WR,46,No,No,Yes,45,9,Yes,Yes,7,0.7778,,0.2,6,0.6667,45,13,4,58,1,1,0.1667,,0.1556,0.8444,9,6.4444,,78.5,1,5,-1.8705,0.1111,7.5,2.1667,0.6667,2,13.4065,13.4065,0.1957,3.5,9.5,6.5,9.5,9.5,9.5,5.5,8.5,8.5,8.5,5.5,9.5,8.5,11,,,,,,,
Nikko Remigio,KC,WR,12,Yes,No,No,11,4,No,Yes,1,0.25,,0.3636,1,0.25,25,11,5,33,,,,,0.9091,,4,8.25,,53.1,2.2727,6.25,-1.1781,,25,11,5,1,5.6985,5.6985,0.3333,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,5,1,,,,0.0909,,
Dalvin Cook,DAL,RB,9,Yes,No,No,5,1,No,No,1,1,,0.2,1,1,10,6,1,4,,,,0.8,0.2,,1,4,,108.3,2,10,3.3381,,10,6,1,1,1.4352,1.4352,0.1111,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,2,,,,,,,
Hayden Hurst,LAC,TE,42,No,No,No,40,8,No,Yes,6,0.75,1,0.2,5,0.625,52,14,7,54,1,,,0.025,0.5,0.225,8,6.75,1,81.3,1.3,6.5,-0.9294,0.125,10.4,2.8,1.4,2,15.9102,15.9102,0.1905,5.2,10.2,7.7,10.2,12.7,10.2,7.7,10.2,10.2,10.2,7.7,12.7,10.2,9,,,,,0.25,2,
Clyde Edwards-Helaire,NO,RB,15,No,No,Yes,14,2,No,Yes,2,1,,0.1429,1,0.5,14,13,1,1,1,,,0.7143,0.2143,,2,0.5,,72.9,1,7,1.2218,0.5,14,13,1,1,2.8219,2.8219,0.1333,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,,,,,0.0714,,
