Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Travis Etienne,JAX,RB,23,No,No,No,18,7,Yes,Yes,6,0.8571,0.3889,6,0.8571,37,43,15,-4,2,0.3333,1,-0.5714,88.7,2.0556,5.2857,-0.5335,6.1667,7.1667,2.5,3,9.7793,9.7793,0.3043,3.7,9.7,6.7,12.7,9.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,1,15,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,6,No,No,No,4,1,No,Yes,1,1,0.25,1,1,10,9,2,1,,,0.75,1,108.3,2.5,10,4.2706,10,9,2,,1.3873,1.3873,0.1667,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,11,0.25,,,,,,,,,,,
Deebo Samuel,SF,WR,59,No,Yes,Yes,59,10,No,Yes,8,0.8,0.1695,7,0.7,80,46,26,51,3,0.4286,0.1525,5.1,93.8,1.3559,8,1.4881,11.4286,6.5714,3.7143,3,15.8225,15.8225,0.1695,8,15,11.5,15,15,15,11.5,15,15,15,11.5,15,15,,15,0.4576,2,0.3898,1,,,,,,,,
Mike Gesicki,CIN,TE,57,No,No,No,55,15,No,Yes,13,0.8667,0.2727,12,0.8,160,65,14,126,,,,8.4,111.1,2.9091,10.6667,2.4486,13.3333,5.4167,1.1667,10,26.8095,26.8095,0.2632,16,28,22,28,34,31,25,28,28,28,22,34,28,1,17,0.2,3,0.7273,,1,3,1,0.0727,0.0667,,,
Devin Duvernay,JAX,WR,14,No,No,No,14,3,Yes,Yes,2,0.6667,0.2143,2,0.6667,11,4,1,30,,,,10,72.9,0.7857,3.6667,-3.5724,5.5,2,0.5,1,4.6872,4.6872,0.2143,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,13,0.4286,,0.5714,1,,,,,,,,
Ryan Flournoy,DAL,WR,13,Yes,Yes,No,13,4,No,No,3,0.75,0.3077,3,0.75,44,7,,58,,,,14.5,110.4,3.3846,11,1.2423,14.6667,2.3333,,2,8.6503,8.6503,0.3077,4.4,7.4,5.9,7.4,7.4,7.4,5.9,7.4,7.4,7.4,5.9,7.4,7.4,,11,0.8462,1,0.1538,1,,1,,,,,,
Nikko Remigio,KC,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,,12,,,,12,39.6,,,-9.0461,,,,,1.4437,1.4437,0.5,,,,,,,,,,,,,,,5,,,1,,,,1,,1,,,
Dalvin Cook,DAL,RB,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Hayden Hurst,LAC,TE,15,No,No,Yes,15,3,No,No,2,0.6667,0.2,2,0.6667,14,4,2,20,,,,6.6667,77.1,0.9333,4.6667,-2.2429,7,2,1,,8.9772,8.9772,0.2,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,1,9,0.3333,,0.4,,1,,,0.2667,,,,
Clyde Edwards-Helaire,NO,RB,3,No,No,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Trey Benson,ARZ,RB,5,Yes,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
Ben Skowronek,PIT,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.2,,0.8,,,,,,,,,
Jake Tonges,SF,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,
Zach Davidson,BUF,TE,5,No,Yes,No,5,1,No,No,1,1,0.2,1,1,5,1,,4,,,,4,87.5,1,5,-1.0667,5,1,,,1.4617,1.4617,0.2,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,3,,,0.6,,,,,0.4,,,,
Julius Chestnut,TEN,RB,7,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,2,3,2,-1,,,0.8333,-1,79.2,0.3333,2,-3.819,2,3,2,,1.6739,1.6739,0.1429,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,14,,,0.1667,,,,,,,,,
Wan'Dale Robinson,NYG,WR,57,No,Yes,No,57,15,No,Yes,12,0.8,0.2632,10,0.6667,69,51,24,66,2,0.2,0.0175,4.4,99,1.2105,4.6,-1.9077,6.9,5.1,2.4,3,27.8199,27.8199,0.2632,12.9,22.9,17.9,22.9,22.9,22.9,17.9,22.9,22.9,22.9,17.9,22.9,22.9,4,17,0.2807,,0.7018,,3,,2,,0.1333,1,1,
Jerome Ford,CLV,RB,34,No,No,No,29,2,No,Yes,2,1,0.069,2,1,9,22,9,-13,1,0.5,0.6552,-6.5,85.4,0.3103,4.5,-0.309,4.5,11,4.5,,2.5209,2.5209,0.0588,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,14,0.069,,0.0345,,,,,0.2414,,,,
George Pickens,PIT,WR,31,No,No,No,31,8,No,Yes,5,0.625,0.2581,4,0.5,68,28,16,148,,,,18.5,79.2,2.1935,8.5,-1.018,17,7,4,4,14.2018,14.2018,0.2581,6.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,,14,0.7419,1,0.2581,4,,,,,,,,
Jeremy McNichols,WAS,RB,14,Yes,Yes,No,10,2,No,No,1,0.5,0.2,1,0.5,6,3,1,4,,,0.5,2,56.3,0.6,3,-3.1194,6,3,1,1,2.6512,2.6512,0.1429,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,,,0.5,,,,,,,,,
Jermaine Burton,CIN,WR,10,Yes,Yes,No,10,2,Yes,Yes,,,0.2,,,,,,47,,,,23.5,39.6,,,-12.1253,,,,,2.8029,2.8029,0.2,,,,,,,,,,,,,,1,14,1,1,,2,1,,,,,,,
Jordan Matthews,CAR,TE,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,,16,,,,16,39.6,,,-10.191,,,,,1.8642,1.8642,0.5,,,,,,,,,,,,,,,3,0.5,1,0.5,,,,,,,,,
Rico Dowdle,DAL,RB,50,Yes,Yes,No,38,7,No,No,7,1,0.1842,7,1,38,57,12,-19,1,0.1429,0.9474,-2.7143,89.3,1,5.4286,-0.1138,5.4286,8.1429,1.7143,3,9.3592,9.3592,0.14,3.8,10.8,7.3,14.3,10.8,10.8,7.3,10.8,10.8,10.8,7.3,10.8,10.8,,16,0.0263,,0.0263,,,,,,,,,
Ricky Pearsall,SF,WR,48,No,No,No,48,6,No,No,5,0.8333,0.125,5,0.8333,52,13,1,54,,,,9,102.8,1.0833,8.6667,0.8713,10.4,2.6,0.2,2,8.8942,8.8942,0.125,5.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,,11,0.6042,,0.3958,,,,,,,,,
Pharaoh Brown,SEA,TE,17,No,No,No,11,5,Yes,Yes,3,0.6,0.4545,3,0.6,21,15,9,16,,,,3.2,69.6,1.9091,4.2,-1.9372,7,5,3,,9.3677,9.3677,0.2941,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,1,15,,,0.2727,,1,,,0.7273,,,,
Chris Olave,NO,WR,16,No,No,No,16,3,No,Yes,3,1,0.1875,2,0.6667,28,23,,11,,,,3.6667,96.5,1.75,9.3333,3.4222,14,11.5,,2,4.0946,4.0946,0.1875,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,8,0.5625,1,0.4375,,,,,,,,,
Grant Calcaterra,PHI,TE,32,No,Yes,No,30,6,No,Yes,5,0.8333,0.2,5,0.8333,65,28,5,43,,,0.0333,7.1667,111.8,2.1667,10.8333,3.234,13,5.6,1,2,10.4967,10.4967,0.1875,6.5,11.5,9,11.5,14,11.5,9,11.5,11.5,11.5,9,14,11.5,1,17,0.0667,,0.4667,,,,,0.4333,,,,
Rashod Bateman,BLT,WR,57,No,No,No,57,13,No,Yes,8,0.6154,0.2281,7,0.5385,122,19,9,187,1,0.1429,,14.3846,125.6,2.1404,9.3846,0.3327,17.4286,2.7143,1.2857,5,21.8696,21.8696,0.2281,24.2,31.2,27.7,31.2,31.2,34.2,30.7,31.2,31.2,31.2,27.7,31.2,31.2,2,17,0.9474,,0.0526,3,3,,1,,0.0769,2,1,
Scott Miller,PIT,WR,9,No,No,No,9,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6667,,0.3333,,,,,,,,,
Jaylen Waddle,MIA,WR,45,No,No,Yes,45,9,No,Yes,9,1,0.2,9,1,111,30,12,81,2,0.2222,0.0222,9,118.1,2.4667,12.3333,4.4421,12.3333,3.3333,1.3333,5,14.1362,14.1362,0.2,11.1,20.1,15.6,20.1,20.1,23.1,18.6,20.1,20.1,20.1,15.6,20.1,20.1,,15,0.6667,,0.3111,,,,,,,,,1
Tee Higgins,CIN,WR,59,No,No,No,59,11,No,Yes,8,0.7273,0.1864,7,0.6364,73,29,8,98,2,0.2857,,8.9091,113.1,1.2373,6.6364,-1.0829,10.4286,4.1429,1.1429,6,27.217,27.217,0.1864,13.3,20.3,16.8,20.3,20.3,20.3,16.8,20.3,20.3,20.3,16.8,20.3,20.3,7,12,0.8475,1,0.1525,,4,1,1,,0.0909,1,1,
Josh Jacobs,GB,RB,39,No,No,Yes,29,4,No,Yes,4,1,0.1379,4,1,51,47,27,4,4,1,0.8621,1,118.8,1.7586,12.75,6.7768,12.75,11.75,6.75,3,9.9316,9.9316,0.1026,5.1,9.1,7.1,11.1,9.1,9.1,7.1,9.1,9.1,9.1,7.1,9.1,9.1,,17,0.069,,0.0345,,,,,0.0345,,,,
