Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentBackfieldRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsContested,ReceptionsHero
Nick Vannett,TEN,TE,13,No,Yes,No,6,4,No,No,3,0.75,0.6667,3,0.75,12,15,7,-4,0.8333,0.1667,-1,37.5,2,3,-2.3608,4,5,2.3333,7.4059,7.4059,0.3077,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,1,17,,,,,,,,,,,
Brenden Bates,CLV,TE,4,No,No,Yes,4,1,No,No,,,0.25,,,,,,-2,0.75,,-2,39.6,,,-4.8511,,,,1.6098,1.6098,0.25,,,,,,,,,,,,,,,6,0.25,,,,,,,,,,
Rome Odunze,CHI,WR,32,No,No,No,32,1,No,Yes,1,1,0.0312,1,1,19,27,6,-8,,0.2188,-8,118.8,0.5938,19,16.4595,19,27,6,1.863,1.863,0.0312,0.9,1.9,1.4,1.9,1.9,1.9,0.4,0.9,0.9,0.9,0.4,1.9,0.9,,17,0.7812,,,,,,,,,,
Isaiah Davis,NYJ,RB,6,Yes,Yes,No,6,4,No,Yes,4,1,0.6667,3,0.75,22,19,7,12,,,3,87.5,3.6667,5.5,-1.0339,7.3333,6.3333,2.3333,5.6913,5.6913,0.6667,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,13,,1,1,2,,,,,,,
Colby Parkinson,LA,TE,22,Yes,Yes,Yes,17,3,No,Yes,2,0.6667,0.1765,2,0.6667,17,11,1,11,0.8824,0.1176,3.6667,81.3,1,5.6667,-0.6207,8.5,5.5,0.5,4.1516,4.1516,0.1364,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,,17,,,,,,,,,,,
Tyjae Spears,TEN,RB,15,No,No,No,15,13,No,Yes,12,0.9231,0.8667,12,0.9231,101,113,60,-15,0.0667,,-1.1538,99,6.7333,7.7692,1.759,8.4167,9.4167,5,20.5432,20.5432,0.8667,10.1,22.1,16.1,28.1,22.1,25.1,19.1,22.1,22.1,22.1,16.1,22.1,22.1,,12,,,0.9333,4,6,0.5,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,
Josh Oliver,MIN,TE,8,Yes,No,Yes,6,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
Nick Chubb,CLV,RB,3,No,Yes,No,3,3,No,Yes,3,1,1,1,0.3333,-4,1,-1,2,,,0.6667,2.8,-1.3333,-1.3333,-7.8329,-4,1,-1,4.4368,4.4368,1,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,8,,,1,,,,1,0.3333,,,
Michael Carter,ARZ,RB,8,Yes,Yes,No,8,6,No,No,6,1,0.75,6,1,23,33,7,-10,,,-1.6667,82.6,2.875,3.8333,-1.9667,3.8333,5.5,1.1667,7.9859,7.9859,0.75,2.3,8.3,5.3,11.3,8.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,,3,,,1,1,,,,,,,
