Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Harrison Bryant,LV,TE,2,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,18,11,4,7,0.5,0.5,7,118.8,9,18,10.6922,18,11,4,1,1.5355,1.5355,0.5,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,13,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,6,No,No,No,5,,No,Yes,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,20,No,Yes,No,20,5,No,Yes,3,0.6,0.25,3,0.6,35,4,,72,0.2,0.55,14.4,120.8,1.75,7,-3.2807,11.6667,1.3333,,3,12.4151,12.4151,0.25,9.5,12.5,11,12.5,14,12.5,11,12.5,12.5,12.5,11,14,12.5,17,0.25,2,2,1,1,1,2,,,,,,,
Elijah Higgins,ARZ,TE,7,No,Yes,No,5,2,No,No,2,1,0.4,2,1,25,2,,31,0.6,0.2,15.5,158.3,5,12.5,3.6838,12.5,1,,1,5.5828,5.5828,0.2857,8.5,10.5,9.5,10.5,11.5,10.5,9.5,10.5,10.5,10.5,9.5,11.5,10.5,17,0.2,1,,1,1,1,2,1,1,,,,,
Dan Chisena,CAR,WR,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,8,,,8,,,8,100,8,8,0.4894,8,,,1,1.3123,1.3123,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,5,1,,,,,,,,,,,,,
Adam Thielen,CAR,WR,11,No,Yes,No,11,1,No,Yes,,,0.0909,,,,,,28,,0.7273,28,,,,-11.0769,,,,,1.3708,1.3708,0.0909,,,,,,,,,,,,,,10,0.2727,,,,,1,,,,,,,,
Josiah Deguara,JAX,TE,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,15,No,Yes,No,11,1,No,Yes,,,0.0909,,,,,,5,,,5,39.6,,,-7.233,,,,,1.3892,1.3892,0.0667,,,,,,,,,,,,,,17,0.1818,,,,,,,,,0.8182,,,,
David Moore,CAR,WR,10,No,Yes,No,10,1,No,Yes,,,0.1,,,,,,22,,0.4,22,39.6,,,-11.9241,,,,,1.7292,1.7292,0.1,,,,,,,,,,,,,,17,0.6,,,,,1,,1,,,,,,
Amon-Ra St. Brown,DET,WR,7,No,Yes,Yes,7,1,No,No,1,1,0.1429,1,1,18,15,2,3,,0.5714,3,118.8,2.5714,18,12.5501,18,15,2,1,1.4333,1.4333,0.1429,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,17,0.4286,,,,,,,,,,,,,
Tutu Atwell,LA,WR,3,No,No,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,,,
Josh Palmer,LAC,WR,10,Yes,Yes,No,10,1,No,Yes,1,1,0.1,1,1,10,,,10,,0.5,10,108.3,1,10,2.5,10,,,1,3.3411,3.3411,0.1,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,15,0.5,,,,,,,,,,,,,
Antonio Gibson,NE,RB,9,No,Yes,No,8,3,No,No,1,0.3333,0.375,1,0.3333,11,2,,37,0.125,0.125,12.3333,5.6,1.375,3.6667,-3.4071,11,2,,1,3.9054,3.9054,0.3333,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,0.375,,,,,1,,,,0.375,,,,
Mason Kinsey,TEN,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1,,,,
Kameron Johnson,TB,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,
Dyami Brown,WAS,WR,8,No,Yes,Yes,8,1,No,No,1,1,0.125,,,,,,11,,0.375,11,39.6,,,-8.3152,,,,,1.8409,1.8409,0.125,,,,,,,,,,,,,,16,0.625,1,,,,,1,1,,,,,,
Garrett Wilson,NYJ,WR,39,No,Yes,No,39,7,No,Yes,4,0.5714,0.1795,3,0.4286,35,4,,95,,0.3333,13.5714,98.2,0.8974,5,-4.6237,11.6667,1.3333,,3,16.9779,16.9779,0.1795,9.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,12.5,11,12.5,12.5,17,0.6667,1,1,1,1,,3,,,,,,,
Blake Whiteheart,CLV,TE,7,No,No,No,3,,No,Yes,,,,,,,,,,0.3333,0.3333,,,,,,,,,,1.7526,1.7526,,,,,,,,,,,,,,,11,0.3333,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,2,No,Yes,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Johnny Wilson,PHI,WR,9,No,Yes,No,9,2,No,Yes,1,0.5,0.2222,,,,,,47,,0.3333,23.5,39.6,,,-10.4296,,,,,4.8685,4.8685,0.2222,,,,,,,,,,,,,,16,0.6667,1,,,,1,1,1,,,,,,
Erik Ezukanma,MIA,WR,1,Yes,Yes,Yes,1,1,Yes,Yes,,,1,,,,,,47,,1,47,39.6,,,-15,,,,,2.7,2.7,1,,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,
Emanuel Wilson,GB,RB,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,0.5,,,,
Quentin Johnston,LAC,WR,12,No,Yes,No,12,4,No,Yes,2,0.5,0.3333,2,0.5,16,7,2,65,,0.4167,16.25,60.4,1.3333,4,-4.8291,8,3.5,1,2,9.0351,9.0351,0.3333,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,15,0.5833,1,,,,2,,,,,,,,
Xavier Worthy,KC,WR,21,No,No,Yes,21,6,No,Yes,5,0.8333,0.2857,3,0.5,27,-1,1,69,,0.5238,11.5,62.5,1.2857,4.5,-4.2157,9,-0.3333,0.3333,2,14.09,14.09,0.2857,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,17,0.4762,2,,,,,2,,,,2,0.3333,,
Cam Grandy,CIN,TE,3,No,Yes,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,,,,,,,,,,
Malachi Corley,NYJ,WR,4,No,Yes,No,4,3,No,Yes,1,0.3333,0.75,1,0.3333,10,,,31,,0.5,10.3333,43.8,2.5,3.3333,-4.4384,10,,,,9.2801,9.2801,0.75,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,7,0.5,1,,,,,2,,,,,,,
Elijah Moore,CLV,WR,32,No,No,No,32,6,No,Yes,4,0.6667,0.1875,4,0.6667,63,19,4,59,,0.5625,9.8333,101.4,1.9688,10.5,2.9606,15.75,4.75,1,1,9.112,9.112,0.1875,6.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,17,0.4375,,,,,1,,1,1,,,,1,0.25
Rachaad White,TB,RB,13,No,Yes,Yes,9,3,No,No,3,1,0.3333,3,1,20,11,5,9,,,3,94.4,2.2222,6.6667,-0.0632,6.6667,3.6667,1.6667,1,4.2044,4.2044,0.2308,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,16,0.3333,,,,,,,,,0.6667,,,2,0.6667
