Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
MyCole Pruitt,PIT,TE,4,No,Yes,No,2,2,No,No,1,3,0.5,0.5,1,1.5,39.6,-7.1883,3.2387,3.2387,0.5,12,,,,,,,,
Adam Thielen,CAR,WR,2,Yes,No,No,2,1,No,No,0.5,19,,0.5,,19,39.6,-11.9321,1.4467,1.4467,0.5,10,0.5,,,,,,,
Allen Robinson,DET,WR,1,No,No,No,1,1,No,No,1,8,,,1,8,39.6,-7.5106,1.4558,1.4558,1,12,1,,,,,,,
Braelon Allen,NYJ,RB,4,No,No,No,2,2,No,No,1,13,,,1,6.5,39.6,-7.5534,3.1748,3.1748,0.5,17,,1,,,,,,
Harrison Bryant,LV,TE,1,No,No,No,1,,No,No,,,1,,,,,,,,,13,,,,,,,,
Tylan Wallace,BLT,WR,2,No,No,Yes,2,,No,No,,,,1,,,,,,,,17,,,,,,,,
Jonnu Smith,MIA,TE,6,No,No,No,5,,No,No,,,0.2,0.8,,,,,,,,17,,,,,,,,
Josh Palmer,LAC,WR,9,No,No,No,9,5,No,No,0.5556,96,,0.2222,4,19.2,39.6,-10.5065,9.6619,9.6619,0.5556,15,0.7778,,2,,,,,
Antonio Gibson,NE,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,17,,1,,,,,,
Charlie Woerner,ATL,TE,2,Yes,No,No,2,,No,No,,,0.5,0.5,,,,,,,,16,,,,,,,,
David Moore,CAR,WR,7,Yes,No,No,6,,No,No,,,,0.6667,,,,,,,,17,0.3333,,,,,,,
Amon-Ra St. Brown,DET,WR,8,No,No,No,8,,No,No,,,,0.75,,,,,,,,17,0.25,,,,,,,
Tutu Atwell,LA,WR,4,No,No,No,3,,No,No,,,,0.3333,,,,,,,,17,0.6667,,,,,,,
Garrett Wilson,NYJ,WR,16,No,No,No,16,7,No,No,0.4375,103,,0.25,6,14.7143,,-9.8192,13.9221,13.9221,0.4375,17,0.75,,1,1,,,,
Jeff Wilson,MIA,RB,1,No,No,No,1,,No,No,,,,1,,,,,,,,9,,,,,,,,
Dyami Brown,WAS,WR,4,No,No,No,2,,No,No,,,,0.5,,,,,,,,16,0.5,,,,,,,
Johnny Wilson,PHI,WR,3,No,No,No,3,1,No,No,0.3333,13,,,1,13,39.6,-8.9145,2.9824,2.9824,0.3333,16,1,,,1,1,,,
Quentin Johnston,LAC,WR,10,No,No,No,9,2,No,No,0.2222,35,,0.1111,1,17.5,,-7.7081,3.3627,3.3627,0.2,15,0.8889,,1,1,,,,
Chris Manhertz,NYG,TE,4,No,No,No,1,,No,No,,,1,,,,,,,,,17,,,,,,,,
AJ Barner,SEA,TE,2,No,No,No,2,1,No,No,0.5,1,1,,,1,39.6,-5.7754,1.3884,1.3884,0.5,17,,,,,,,,
Zach Charbonnet,SEA,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,17,,1,,,,,,
Chuba Hubbard,CAR,RB,9,No,No,No,6,,No,No,,,,,,,,,,,,15,,1,,,,,,
Jared Wayne,HST,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,3,1,,,,,,,
Xavier Worthy,KC,WR,7,No,No,No,7,3,No,No,0.4286,39,,0.2857,1,13,39.6,-7.3455,4.0808,4.0808,0.4286,17,0.7143,,1,,,,,
Cam Grandy,CIN,TE,1,No,Yes,No,1,,No,No,,,,,,,,,,,,8,,1,,,,,,
Elijah Moore,CLV,WR,10,No,No,Yes,10,2,No,No,0.2,15,,0.4,1,7.5,39.6,-7.1825,2.873,2.873,0.2,17,0.6,,,,,,,
Malachi Corley,NYJ,WR,3,No,No,No,3,1,No,No,0.3333,10,,,,10,39.6,-7.5,3.4512,3.4512,0.3333,7,1,,,1,,,,
Rachaad White,TB,RB,6,Yes,No,Yes,5,,No,No,,,,,,,,,,,,16,,1,,,,,,
