Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TargetsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsInEndzone
Josh Oliver,MIN,TE,7,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,9,6,1,3,0.8571,0.1429,3,104.2,1.2857,9,2.6782,9,6,1,1,1.2924,1.2924,0.1429,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,15,,,,,,,,,,,,,,,,,
Nick Chubb,CLV,RB,10,No,No,No,8,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,4,No,Yes,No,4,1,Yes,Yes,1,1,0.25,1,1,6,2,1,4,,,4,91.7,1.5,6,-0.6619,6,2,1,,1.4492,1.4492,0.25,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,12,1,1,,,,,,,,,,,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,24,No,Yes,No,22,6,No,Yes,6,1,0.2727,4,0.6667,48,32,,52,,0.5909,8.6667,130.6,2.1818,8,0.4402,12,8,,1,9.8417,9.8417,0.25,10.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,17,,5,2,1,0.4091,1,0.1667,2,,,,,,,,,
Bucky Irving,TB,RB,8,No,No,No,5,2,No,Yes,2,1,0.4,2,1,1,12,2,-11,,,-5.5,79.2,0.2,0.5,-4.5493,0.5,6,1,,3.8862,3.8862,0.25,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,17,0.8,2,,,0.2,2,1,,1,,,,,,,,
Rome Odunze,CHI,WR,25,No,Yes,No,22,6,No,Yes,6,1,0.2727,6,1,51,7,3,44,,0.8636,7.3333,102.1,2.3182,8.5,0.822,8.5,1.1667,0.5,3,9.2862,9.2862,0.24,5.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,11.1,8.1,11.1,11.1,17,,4,,,0.1364,1,0.1667,,1,2,1,0.1667,,,,,
Colby Parkinson,LA,TE,16,Yes,Yes,No,12,2,No,Yes,2,1,0.1667,1,0.5,15,9,1,14,0.8333,,7,75,1.25,7.5,0.0932,15,9,1,1,4.9034,4.9034,0.125,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,17,,2,1,,0.1667,,,,1,,,,,,,,
Tyler Allgeier,ATL,RB,3,No,No,No,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,13,No,No,No,8,2,No,Yes,2,1,0.25,2,1,49,19,1,30,0.5,0.125,15,118.8,6.125,24.5,14.2637,24.5,9.5,0.5,1,3.0826,3.0826,0.1538,4.9,6.9,5.9,6.9,7.9,6.9,5.9,6.9,6.9,6.9,5.9,7.9,6.9,17,,2,1,,0.375,,,,,1,,,1,,,,
Trey Sermon,IND,RB,8,No,No,No,5,1,No,Yes,1,1,0.2,1,1,3,3,1,,,,,79.2,0.6,3,-2.8271,3,3,1,,1.5782,1.5782,0.125,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,17,1,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,14,No,No,No,14,9,No,Yes,9,1,0.6429,7,0.7778,128,53,4,110,,0.1429,12.2222,155.8,9.1429,14.2222,6.3144,18.2857,7.5714,0.5714,4,15.947,15.947,0.6429,18.8,25.8,22.3,25.8,25.8,28.8,25.3,25.8,25.8,25.8,22.3,25.8,25.8,14,0.0714,9,2,1,0.7857,,,3,,2,,,2,1,1,0.1111,
Khalil Herbert,CIN,RB,2,No,No,No,2,1,Yes,Yes,1,1,0.5,1,1,4,10,2,-6,,,-6,83.3,2,4,-1.0893,4,10,2,,1.4663,1.4663,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,13,1,,,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,10,No,No,No,8,2,No,Yes,2,1,0.25,1,0.5,3,,,16,,0.375,8,56.3,0.375,1.5,-5.6822,3,,,1,3.3146,3.3146,0.2,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,13,,2,1,,0.625,,,,1,,,,,,,,
Zamir White,LV,RB,4,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,0.5,,,,,,,,,,,,
Ameer Abdullah,LV,RB,10,Yes,No,No,10,2,No,Yes,2,1,0.2,2,1,6,10,3,-4,,0.1,-2,79.2,0.6,3,-2.9691,3,5,1.5,,4.1688,4.1688,0.2,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,16,0.8,1,1,,0.1,,,,1,,,,1,,,,
Devin Singletary,NYG,RB,5,No,No,No,2,,Yes,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,,,,,,,,,,,,,,,
