Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,playerStatsFirstDownsReceiving,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsHero,TouchdownsTotal
Bucky Irving,TB,RB,5,Yes,No,No,3,3,No,Yes,3,1,1,2,0.6667,6,16,7,-15,1,1,0.5,0.6667,0.3333,3,3,1,-5,70.1,2,2,-3.5101,0.3333,3,8,3.5,5.5813,5.5813,0.6,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,1,17,,,,,
D.J. Moore,CHI,WR,12,No,No,No,5,5,No,No,5,1,1,5,1,19,27,12,-8,,,,,1,5,5,1,-1.6,82.5,3.8,3.8,-1.9899,,3.8,5.4,2.4,7.7498,7.7498,0.4167,1.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,3,17,1,,,,
Tyjae Spears,TEN,RB,3,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,-5,-1,-1,-4,,,,,1,1,1,1,-4,79.2,-5,-5,-10.5699,,-5,-1,-1,1.6796,1.6796,0.3333,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,12,,,,,
Laviska Shenault,LAC,WR,2,No,No,No,1,1,No,Yes,1,1,1,1,1,6,11,3,-5,,,,,,1,1,1,-5,91.7,6,6,1.8404,,6,11,3,1.3848,1.3848,0.5,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,12,,1,,,
Rome Odunze,CHI,WR,11,No,No,No,3,2,No,No,2,1,0.6667,2,1,14,17,8,-3,,1,0.5,0.3333,0.6667,2,2,1,-1.5,95.8,4.6667,7,1.1655,,7,8.5,4,3.2789,3.2789,0.1818,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,1,17,1,,,,
Devaughn Vele,DEN,WR,8,No,No,No,1,1,No,No,1,1,1,1,1,9,11,9,-2,,1,1,1,,1,1,1,-2,104.2,9,9,3.5009,,9,11,9,2.8392,2.8392,0.125,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,13,,,,,
Josh Downs,IND,WR,2,No,No,No,2,2,No,No,2,1,1,2,1,10,14,7,-4,,2,1,1,,2,2,1,-2,87.5,5,5,-0.4991,,5,7,3.5,3.3282,3.3282,1,1,3,2,3,3,3,2,3,3,3,2,3,3,,14,,,,,
Quintin Morris,BUF,TE,2,Yes,No,No,1,1,No,Yes,1,1,1,1,1,5,8,2,-3,,,,,,1,1,1,-3,87.5,5,5,-0.8652,,5,8,2,1.5583,1.5583,0.5,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,16,1,,1,,
Tyler Boyd,TEN,WR,4,Yes,No,Yes,3,3,No,Yes,3,1,1,3,1,14,21,6,-7,,,,1,,3,3,1,-2.3333,86.1,4.6667,4.6667,-0.6463,,4.6667,7,2,4.8137,4.8137,0.75,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,,16,1,,,,
Dareke Young,SEA,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
