Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Jonathon Brooks,CAR,RB,3,No,Yes,Yes,2,1,No,No,1,1,0.5,1,1,5,5,2,1,1,1,1,87.5,2.5,5,-0.8271,5,5,2,1,2.0953,2.0953,0.3333,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,3,,,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,5,No,No,No,5,1,No,Yes,,,0.2,,,,,,,,,1,39.6,,,-9.0461,,,,,1.4094,1.4094,0.2,,,,,,,,,,,,,,,4,12,0.4,0.6,12,,,,,,,,,,,,
Dallin Holker,NO,TE,11,No,No,Yes,10,3,No,Yes,3,1,0.3,3,1,21,14,4,,,,1,95.8,2.1,7,0.7249,7,4.6667,1.3333,1,4.3066,4.3066,0.2727,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,12,7,0.2,0.2,2.3333,1,1,0.6,,,,,,,,,
Chris Brooks,GB,RB,34,No,No,No,22,5,No,Yes,5,1,0.2273,4,0.8,26,23,9,,,0.8182,3,88.3,1.1818,5.2,-1.0829,6.5,5.75,2.25,1,9.4859,9.4859,0.1471,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,1,13,7,0.0455,0.0909,1.4,1,1,0.0455,1,2,0.4,0.2,,,,,
Christian Watson,GB,WR,112,No,No,No,106,26,No,Yes,19,0.7308,0.2453,17,0.6538,289,118,14,1,0.0588,,17,83.7,2.7264,11.1154,2.8964,17,6.9412,0.8235,12,53.4186,53.4186,0.2321,33.9,50.9,42.4,50.9,50.9,53.9,44.4,49.9,49.9,49.9,41.4,50.9,49.9,6,15,284,0.2925,0.6981,10.9231,4,3,0.0094,1,,,0.0385,2,2,1,1,5
James Conner,ARZ,RB,121,No,No,Yes,90,6,Yes,Yes,6,1,0.0667,5,0.8333,40,41,25,2,0.4,0.8,3,94.4,0.4444,6.6667,0.6075,8,8.2,5,4,9.2615,9.2615,0.0496,4,9,6.5,11.5,9,9,6.5,9,9,9,6.5,9,9,1,16,1,0.0667,0.1333,0.1667,,,,1,1,0.1667,0.1667,,,,,
Sincere McCormick,LV,RB,14,No,No,No,6,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,42,No,No,Yes,41,9,Yes,Yes,5,0.5556,0.2195,3,0.3333,23,4,4,,,,5,42.4,0.561,2.5556,-4.5464,7.6667,1.3333,1.3333,,13.2123,13.2123,0.2143,2.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,1,9,60,0.2927,0.7073,6.6667,2,1,,2,,,0.2222,,1,,,
Tyler Conklin,NYJ,TE,201,No,No,No,172,31,No,Yes,26,0.8387,0.1802,24,0.7742,193,118,53,2,0.0833,0.0058,22,124.8,1.1221,6.2258,-0.6856,8.0417,4.9167,2.2083,13,56.7577,56.7577,0.1542,37.3,61.3,49.3,61.3,73.3,64.3,52.3,61.3,61.3,61.3,49.3,73.3,61.3,6,16,156,0.4651,0.0872,5.0323,1,,0.4419,,3,0.0968,,4,,3,3,1
Justice Hill,BLT,RB,88,Yes,No,Yes,56,5,No,Yes,5,1,0.0893,5,1,70,66,1,1,0.2,0.9464,2,158.3,1.25,14,7.9457,14,13.2,0.2,2,7.2829,7.2829,0.0568,13,18,15.5,20.5,18,18,15.5,18,18,18,15.5,18,18,,16,4,,0.0357,0.8,,,0.0179,,,,,,,1,,
Anthony Firkser,KC,TE,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.25,,,,0.75,,,,,,,,,
Adam Trautman,DEN,TE,87,Yes,No,No,47,10,No,Yes,8,0.8,0.2128,8,0.8,119,87,8,,,,6,116.2,2.5319,11.9,5.1956,14.875,10.875,1,4,16.7735,16.7735,0.1149,11.9,19.9,15.9,19.9,23.9,22.9,18.9,19.9,19.9,19.9,15.9,23.9,19.9,2,17,42,0.1277,0.1489,4.2,,,0.7234,,,,,,,,,
D'Andre Swift,CHI,RB,107,No,No,No,77,7,No,Yes,7,1,0.0909,6,0.8571,33,20,5,,,0.8312,3,86.3,0.4286,4.7143,-1.6551,5.5,3.3333,0.8333,,9.8319,9.8319,0.0654,3.3,9.3,6.3,12.3,9.3,9.3,6.3,9.3,9.3,9.3,6.3,9.3,9.3,,17,14,0.026,0.1429,2,,,,1,,,0.1429,,,,,
Ja'Marr Chase,CIN,WR,299,No,No,No,294,86,No,Yes,70,0.814,0.2925,59,0.686,916,459,135,13,0.2203,0.017,69,115.3,3.1156,10.6512,2.828,15.5254,7.7797,2.2881,38,161.4803,161.4803,0.2876,139.6,198.6,169.1,198.6,198.6,201.6,172.1,198.6,198.6,198.6,169.1,198.6,198.6,19,17,763,0.3129,0.6701,8.8721,8,3,,7,4,0.0465,0.0814,10,1,8,3,4
Jase McClellan,ATL,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Steven Sims,BLT,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,0.25,0.75,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,100,No,No,No,90,20,No,Yes,17,0.85,0.2222,15,0.75,135,87,55,3,0.2,0.0111,16,109.4,1.5,6.75,0.4489,9,5.8,3.6667,9,32.8268,32.8268,0.2,19.5,34.5,27,34.5,42,37.5,30,34.5,34.5,34.5,27,42,34.5,2,12,80,0.3667,0.1667,4,4,2,0.4556,,,,,,,1,,
Jonathan Mingo,DAL,WR,105,No,No,Yes,102,21,No,Yes,10,0.4762,0.2059,6,0.2857,80,47,7,,,,17,23.1,0.7843,3.8095,-4.4688,13.3333,7.8333,1.1667,3,37.5753,37.5753,0.2,8,14,11,14,14,14,11,14,14,14,11,14,14,1,17,220,0.3627,0.6275,10.4762,2,,0.0098,1,1,0.0476,0.0476,,,,,2
Cooper Kupp,LA,WR,163,No,No,Yes,159,51,Yes,Yes,41,0.8039,0.3208,35,0.6863,282,85,27,3,0.0857,,42,108.5,1.7736,5.5294,-1.5599,8.0571,2.4286,0.7714,15,90.2272,90.2272,0.3129,52.2,87.2,69.7,87.2,87.2,90.2,72.7,87.2,87.2,87.2,69.7,87.2,87.2,6,12,346,0.6289,0.3711,6.7843,7,,,1,,,0.0196,3,1,4,2,3
Hunter Long,LA,TE,39,No,No,No,30,6,No,No,5,0.8333,0.2,5,0.8333,48,28,11,,,,4,100,1.6,8,1.6387,9.6,5.6,2.2,2,10.5935,10.5935,0.1538,4.8,9.8,7.3,9.8,12.3,9.8,7.3,9.8,9.8,9.8,7.3,12.3,9.8,,17,17,0.2,0.0333,2.8333,,,0.7667,,,,,,,,,
Kayshon Boutte,NE,WR,150,No,No,No,144,29,No,No,24,0.8276,0.2014,20,0.6897,268,71,25,3,0.15,,23,83.7,1.8611,9.2414,0.996,13.4,3.55,1.25,12,56.1836,56.1836,0.1933,26.8,46.8,36.8,46.8,46.8,49.8,39.8,46.8,46.8,46.8,36.8,46.8,46.8,2,15,302,0.1597,0.8333,10.4138,,,0.0069,4,,,0.1379,,,,,2
Robbie Chosen,MIA,WR,10,No,Yes,No,9,2,No,Yes,1,0.5,0.2222,,,,,,,,,2,39.6,,,-9.9902,,,,,4.5409,4.5409,0.2,,,,,,,,,,,,,,2,2,28,0.1111,0.8889,14,,,,,,,,2,,,,
Ben Sims,GB,TE,33,No,No,No,25,3,No,Yes,3,1,0.12,3,1,14,7,2,,,0.04,1,86.1,0.56,4.6667,-1.6873,4.6667,2.3333,0.6667,,5.3772,5.3772,0.0909,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,1,16,7,0.08,0.08,2.3333,,,0.8,,,,,,,,,
DeAndre Carter,CHI,WR,25,Yes,Yes,No,24,5,No,No,3,0.6,0.2083,3,0.6,24,12,11,1,0.3333,,3,32.5,1,4.8,-2.616,8,4,3.6667,1,11.3636,11.3636,0.2,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,1,13,47,0.6667,0.3333,9.4,,,,,,,,,,,,1
Jake Bobo,SEA,WR,44,No,No,No,38,10,No,No,8,0.8,0.2632,7,0.7,61,15,4,,,,6,85.8,1.6053,6.1,-1.7809,8.7143,2.1429,0.5714,4,17.7229,17.7229,0.2273,6.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,13.1,9.6,13.1,13.1,1,17,94,0.3158,0.6842,9.4,,,,1,,,0.1,,,,,
Brevyn Spann-Ford,DAL,TE,45,No,No,Yes,39,8,No,Yes,8,1,0.2051,6,0.75,50,33,12,,,0.0256,5,90.6,1.2821,6.25,-0.9766,8.3333,5.5,2,3,13.0251,13.0251,0.1778,5,11,8,11,14,11,8,11,11,11,8,14,11,,17,47,0.359,0.0769,5.875,1,,0.5385,,,,,,,,,
Tyler Higbee,LA,TE,19,No,No,No,17,8,No,No,5,0.625,0.4706,5,0.625,30,20,6,,,,7,109.4,1.7647,3.75,-2.5859,6,4,1.2,3,17.0922,17.0922,0.4211,15,20,17.5,20,22.5,20,17.5,20,20,20,17.5,22.5,20,5,3,28,0.2941,0.1176,3.5,1,1,0.5882,,,,,1,,2,,
Connor Heyward,PIT,TE,18,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,23,5,-1,,,0.2857,2,154.2,1.6429,11.5,3.6205,11.5,2.5,-0.5,1,4.5576,4.5576,0.1111,8.3,10.3,9.3,10.3,11.3,10.3,9.3,10.3,10.3,10.3,9.3,11.3,10.3,1,16,18,0.3571,0.1429,9,,,0.2143,,,,,,,1,,
Parris Campbell,PHI,WR,29,No,No,No,27,3,No,Yes,2,0.6667,0.1111,2,0.6667,14,1,1,,,,2,77.1,0.5185,4.6667,-2.3209,7,0.5,0.5,,5.6233,5.6233,0.1034,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,5,19,0.6667,0.3333,6.3333,,,,,,,,,,,,
Adonai Mitchell,IND,WR,72,No,Yes,No,71,22,Yes,Yes,14,0.6364,0.3099,12,0.5455,152,73,13,,,,19,76.3,2.1408,6.9091,-0.6797,12.6667,6.0833,1.0833,7,44.3212,44.3212,0.3056,15.2,27.2,21.2,27.2,27.2,30.2,24.2,27.2,27.2,27.2,21.2,27.2,27.2,2,17,209,0.1831,0.8169,9.5,1,,,,,,,1,1,,,3
Nick Westbrook-Ikhine,TEN,WR,159,No,No,No,155,28,No,Yes,19,0.6786,0.1806,18,0.6429,185,38,27,5,0.2778,,24,83.2,1.1935,6.6071,-1.1716,10.2778,2.1111,1.5,12,52.2151,52.2151,0.1761,48.5,66.5,57.5,66.5,66.5,69.5,60.5,66.5,66.5,66.5,57.5,66.5,66.5,6,17,247,0.2,0.8,8.8214,5,3,,1,,,0.0357,5,,5,5,
Marquez Valdes-Scantling,NO,WR,120,No,No,Yes,118,20,No,Yes,14,0.7,0.1695,11,0.55,120,32,9,1,0.0909,,16,89.6,1.0169,6,-3.1364,10.9091,2.9091,0.8182,7,36.9665,36.9665,0.1667,18,29,23.5,29,29,32,26.5,29,29,29,23.5,29,29,2,14,271,0.1356,0.8644,13.55,1,,,2,1,0.05,0.1,1,,1,1,5
Miles Sanders,CAR,RB,53,No,No,No,37,4,No,Yes,3,0.75,0.1081,3,0.75,50,26,1,2,0.6667,0.6757,1,116.7,1.3514,12.5,4.4965,16.6667,8.6667,0.3333,2,6.0655,6.0655,0.0755,5,8,6.5,9.5,8,8,6.5,8,8,8,6.5,8,8,1,11,37,0.0811,0.2432,9.25,,,,,,,,,,,,1
Charlie Jones,CIN,WR,6,Yes,No,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0.8333,0.1667,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,4,No,No,No,3,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0.3333,,,,,,,,,,,,,,
Will Dissly,LAC,TE,106,No,No,No,96,24,No,Yes,20,0.8333,0.25,18,0.75,160,80,35,1,0.0556,,17,106.3,1.6667,6.6667,-0.1087,8.8889,4.4444,1.9444,10,39.5281,39.5281,0.2264,22,40,31,40,49,43,34,40,40,40,31,49,40,5,15,123,0.2917,0.2188,5.125,1,,0.4896,1,,,0.0417,1,,1,1,
KhaDarel Hodge,ATL,WR,37,No,No,No,36,1,No,Yes,,,0.0278,,,,,,,,,,39.6,,,-10.4097,,,,,4.0011,4.0011,0.027,,,,,,,,,,,,,,1,16,15,0.3611,0.6389,15,,,,,,,,1,,,,
Jamari Thrash,CLV,WR,37,No,No,No,37,4,No,Yes,3,0.75,0.1081,3,0.75,22,13,4,,,,3,87.5,0.5946,5.5,-0.4747,7.3333,4.3333,1.3333,2,5.6118,5.6118,0.1081,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,9,16,0.6486,0.3514,4,,,,,,,,,,,,
Saquon Barkley,PHI,RB,119,No,No,No,85,5,Yes,Yes,5,1,0.0588,4,0.8,24,10,,,,0.8353,5,86.7,0.2824,4.8,-1.7974,6,2.5,,2,9.5283,9.5283,0.042,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,3,16,14,0.0824,0.0824,2.8,,,,1,,,0.2,,,,,
Evan Engram,JAX,TE,88,No,No,No,85,27,No,No,20,0.7407,0.3176,19,0.7037,158,48,14,,,0.0118,23,85.1,1.8588,5.8519,-1.5388,8.3158,2.5263,0.7368,11,45.6266,45.6266,0.3068,15.8,34.8,25.3,34.8,44.3,37.8,28.3,34.8,34.8,34.8,25.3,44.3,34.8,1,9,180,0.3412,0.2235,6.6667,1,1,0.4235,1,1,0.037,0.037,,,,,1
Samaje Perine,KC,RB,82,Yes,No,No,62,7,No,Yes,6,0.8571,0.1129,6,0.8571,115,85,30,2,0.3333,0.8871,4,118.8,1.8548,16.4286,8.9025,19.1667,14.1667,5,6,11.6871,11.6871,0.0854,11.5,17.5,14.5,20.5,17.5,20.5,17.5,17.5,17.5,17.5,14.5,17.5,17.5,1,17,33,0.0484,0.0645,4.7143,,,,,,,,1,,,,
Jordan Whittington,LA,WR,53,No,No,No,53,17,No,No,13,0.7647,0.3208,12,0.7059,147,78,18,3,0.25,0.0755,11,96.9,2.7736,8.6471,1.5842,12.25,6.5,1.5,8,26.4758,26.4758,0.3208,14.7,26.7,20.7,26.7,26.7,29.7,23.7,26.7,26.7,26.7,20.7,26.7,26.7,1,15,120,0.2642,0.6604,7.0588,2,1,,1,,,0.0588,,,,,1
Josh Whyle,TEN,TE,64,No,No,No,54,16,No,Yes,13,0.8125,0.2963,12,0.75,135,93,18,,,,7,120.6,2.5,8.4375,1.8459,11.25,7.75,1.5,8,23.3353,23.3353,0.25,19.5,31.5,25.5,31.5,37.5,34.5,28.5,31.5,31.5,31.5,25.5,37.5,31.5,1,17,77,0.3148,0.2037,4.8125,,,0.4815,1,,,0.0625,1,,1,1,1
Travis Etienne,JAX,RB,104,No,Yes,No,80,7,Yes,Yes,6,0.8571,0.0875,4,0.5714,23,21,6,,,0.95,2,23.8,0.2875,3.2857,-3.4052,5.75,5.25,1.5,1,11.2089,11.2089,0.0673,2.3,6.3,4.3,8.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,2,15,24,,0.05,3.4286,,,,1,,,0.1429,1,,,,
