Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Ronnie Rivers,LA,RB,6,Yes,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,6,14,3,-8,0.6667,0.3333,1,1,1,-8,91.7,2,6,1.4713,6,14,3,1.1129,1.1129,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,,,,,
Amari Cooper,BUF,WR,24,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,2,4,4,-2,,0.1111,1,1,1,-2,79.2,0.2222,2,-3.4991,2,4,4,1.6481,1.6481,0.0417,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,0.8889,,,,,,,,,,
Darius Slayton,NYG,WR,40,Yes,No,No,10,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8,,,,,,,,,,
Dare Ogunbowale,HST,RB,15,No,No,No,13,4,No,No,4,1,0.3077,4,1,35,48,7,-13,1,,4,4,1,-3.25,103.1,2.6923,8.75,2.7682,8.75,12,1.75,7.4396,7.4396,0.2667,3.5,7.5,5.5,9.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,17,,1,,,,,,,,,
Nico Collins,HST,WR,27,No,No,No,20,13,No,No,13,1,0.65,13,1,107,144,59,-37,,0.45,13,13,1,-2.8462,101,5.35,8.2308,3.1452,8.2308,11.0769,4.5385,20.0954,20.0954,0.4815,10.7,23.7,17.2,23.7,23.7,26.7,20.2,23.7,23.7,23.7,17.2,23.7,23.7,12,0.55,4,3,0.2308,2,,,,,,
Jerry Jeudy,CLV,WR,34,No,No,No,14,2,No,No,2,1,0.1429,2,1,4,7,5,-3,,0.2857,2,2,1,-1.5,79.2,0.2857,2,-3.8345,2,3.5,2.5,4.5925,4.5925,0.0588,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,17,0.6429,,,,1,0.0714,,,,,
Jake Ferguson,DAL,TE,30,No,No,No,13,6,No,Yes,6,1,0.4615,6,1,19,44,17,-25,,0.3846,6,6,1,-4.1667,79.9,1.4615,3.1667,-2.3194,3.1667,7.3333,2.8333,8.8393,8.8393,0.2,1.9,7.9,4.9,7.9,10.9,7.9,4.9,7.9,7.9,7.9,4.9,10.9,7.9,14,0.2308,1,4,0.6667,1,0.3846,,,,,
Davante Adams,NYJ,WR,34,Yes,No,No,18,6,No,Yes,5,0.8333,0.3333,4,0.6667,10,17,4,-17,,0.6111,6,6,1,-2.8333,70.1,0.5556,1.6667,-3.5629,2.5,4.25,1,9.3536,9.3536,0.1765,1,5,3,5,5,5,3,5,5,5,3,5,5,14,0.3889,,1,0.25,1,,1,,,,
J.K. Dobbins,LAC,RB,18,Yes,No,Yes,15,8,No,Yes,8,1,0.5333,7,0.875,21,56,18,-43,0.8,0.0667,8,8,1,-5.375,79.2,1.4,2.625,-2.6906,3,8,2.5714,13.3455,13.3455,0.4444,2.1,9.1,5.6,12.6,9.1,9.1,5.6,9.1,9.1,9.1,5.6,9.1,9.1,13,0.1333,2,1,0.1429,1,,,1,0.125,,
Emari Demercado,ARZ,RB,3,Yes,No,No,3,1,No,Yes,,,0.3333,,,,,,-3,1,,1,1,1,-3,39.6,,,-6.1191,,,,1.6239,1.6239,0.3333,,,,,,,,,,,,,,13,,,,,,,,,,,
Cody Thompson,TB,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Jordan Whittington,LA,WR,13,Yes,No,Yes,7,3,No,Yes,3,1,0.4286,3,1,43,56,3,-13,,0.5714,3,3,1,-4.3333,118.8,6.1429,14.3333,9.9567,14.3333,18.6667,1,4.5472,4.5472,0.2308,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,15,0.4286,3,,,,,,,,,
Josh Whyle,TEN,TE,11,No,No,No,4,2,No,No,1,0.5,0.5,1,0.5,8,10,3,-5,,,2,2,1,-2.5,60.4,2,4,-1.3581,8,10,3,3.0209,3.0209,0.1818,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,17,0.25,,,,1,0.75,,,,,
Travis Etienne,JAX,RB,18,Yes,No,No,12,9,No,No,6,0.6667,0.75,6,0.6667,20,49,12,-39,0.9167,0.0833,9,9,1,-4.3333,70.1,1.6667,2.2222,-3.3416,3.3333,8.1667,2,15.0622,15.0622,0.5,2,8,5,11,8,8,5,8,8,8,5,8,8,15,,1,,,1,,,,,,
Samaje Perine,KC,RB,11,Yes,No,No,10,8,No,Yes,8,1,0.8,6,0.75,36,60,17,-29,0.9,,8,8,1,-3.625,83.3,3.6,4.5,-1.1752,6,10,2.8333,15.0011,15.0011,0.7273,3.6,9.6,6.6,12.6,9.6,9.6,6.6,9.6,9.6,9.6,6.6,9.6,9.6,17,0.1,2,1,0.1667,1,,1,1,0.125,1,
Saquon Barkley,PHI,RB,9,No,No,No,7,6,No,Yes,5,0.8333,0.8571,5,0.8333,42,63,36,-24,0.7143,0.2857,6,6,1,-4,95.8,6,7,1.1854,8.4,12.6,7.2,9.5589,9.5589,0.6667,4.2,9.2,6.7,11.7,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,16,,2,2,0.4,1,,,,,,
Evan Engram,JAX,TE,15,Yes,No,No,8,3,No,Yes,3,1,0.375,3,1,8,15,6,-7,,0.375,3,3,1,-2.3333,79.2,1,2.6667,-2.8772,2.6667,5,2,4.7432,4.7432,0.2,0.8,3.8,2.3,3.8,5.3,3.8,2.3,3.8,3.8,3.8,2.3,5.3,3.8,9,0.375,,1,0.3333,,0.25,,,,,
Jamari Thrash,CLV,WR,4,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,
Will Dissly,LAC,TE,19,Yes,No,Yes,10,9,No,Yes,9,1,0.9,9,1,86,117,28,-31,,0.2,9,9,1,-3.4444,106.5,8.6,9.5556,3.8117,9.5556,13,3.1111,14.1297,14.1297,0.4737,8.6,17.6,13.1,17.6,22.1,17.6,13.1,17.6,17.6,17.6,13.1,22.1,17.6,15,,4,2,0.2222,1,0.8,,,,,
KhaDarel Hodge,ATL,WR,10,No,No,No,4,3,No,Yes,3,1,0.75,3,1,36,41,9,-5,,0.5,3,3,1,-1.6667,116.7,9,12,6.5072,12,13.6667,3,4.1058,4.1058,0.3,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,16,0.5,2,4,1.3333,,,,,,,
Miles Sanders,CAR,RB,10,No,No,No,5,5,No,Yes,4,0.8,1,4,0.8,20,35,14,-25,0.6,,5,5,1,-5,43.8,4,4,-1.3449,5,8.75,3.5,7.6506,7.6506,0.5,2,6,4,8,6,6,4,6,6,6,4,6,6,11,0.4,1,1,0.25,,,,,,,
Charlie Jones,CIN,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,1,No,No,,,1,,,,,,-7,1,,1,1,1,-7,39.6,,,-4.5287,,,,1.0897,1.0897,1,,,,,,,,,,,,,,5,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,19,Yes,No,Yes,7,,Yes,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.8571,,,,,,,,,,
Connor Heyward,PIT,TE,7,No,No,No,2,,No,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.5,,,,,
Adonai Mitchell,IND,WR,14,Yes,No,No,7,1,No,No,1,1,0.1429,1,1,,3,,-3,,0.1429,1,1,1,-3,79.2,,,-4.9408,,3,,1.5765,1.5765,0.0714,0.96,1.96,1.46,1.96,1.96,1.96,1.46,1.96,1.96,1.96,1.46,2.2,2.2,17,0.8571,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,27,No,No,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Jake Bobo,SEA,WR,12,Yes,No,Yes,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,9,No,No,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.75,,,,,
Tyler Higbee,LA,TE,2,Yes,No,Yes,2,2,No,Yes,1,0.5,1,1,0.5,13,18,7,-9,,,2,2,1,-4.5,70.8,6.5,6.5,1.1451,13,18,7,4.4066,4.4066,1,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,3,,1,,,1,1,,,,,
Ben Sims,GB,TE,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,1,,,,,
DeAndre Carter,CHI,WR,6,No,No,No,4,1,No,Yes,1,1,0.25,1,1,6,8,4,-2,,0.5,1,1,1,-2,91.7,1.5,6,0.5009,6,8,4,1.4872,1.4872,0.1667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,13,0.5,,,,,,,,,,
Robbie Chosen,MIA,WR,3,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Kayshon Boutte,NE,WR,28,Yes,No,No,13,,No,Yes,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.9231,,,,,,,,,,
Jonathan Mingo,DAL,WR,14,No,No,No,7,,No,Yes,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.4286,,,,,,,,,,
Cooper Kupp,LA,WR,15,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,-2,1,1,-3,,0.3333,1,1,1,-3,79.2,-0.6667,-2,-6.9408,-2,1,1,1.5137,1.5137,0.0667,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,12,0.6667,,,,,,,,,,
Tommy Tremble,CAR,TE,13,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,6,2,-1,,0.3333,1,1,1,-1,87.5,1.6667,5,0.0986,5,6,2,1.706,1.706,0.0769,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,12,0.3333,,,,,0.3333,,,,,
Adam Trautman,DEN,TE,16,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,
Ja'Marr Chase,CIN,WR,18,Yes,No,No,15,9,No,Yes,8,0.8889,0.6,7,0.7778,31,48,23,-24,,0.6,9,9,1,-2.6667,41.4,2.0667,3.4444,-1.7436,4.4286,6.8571,3.2857,15.6818,15.6818,0.5,3.1,10.1,6.6,10.1,10.1,10.1,6.6,10.1,10.1,10.1,6.6,10.1,10.1,17,0.4,2,1,0.1429,,,,1,0.1111,,
D'Andre Swift,CHI,RB,50,No,No,No,37,21,No,Yes,19,0.9048,0.5676,17,0.8095,226,292,76,-80,0.9189,,21,21,1,-3.8095,111.5,6.1081,10.7619,5.1195,13.2941,17.1765,4.4706,31.6029,31.6029,0.42,22.6,39.6,31.1,48.1,39.6,42.6,34.1,39.6,39.6,39.6,31.1,39.6,39.6,17,0.0811,6,4,0.2353,,,,2,0.0952,,
