Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,ReceptionsHero
Braelon Allen,NYJ,RB,7,No,Yes,Yes,6,6,No,Yes,6,1,1,5,0.8333,35,58,16,-24,1,1,0.2,1,3,2,0.3333,-4,91,5.8333,5.8333,0.0988,0.1667,7,11.6,3.2,2,8.6218,8.6218,0.8571,3.5,8.5,6,11,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,17,,,,,,,,
Adam Thielen,CAR,WR,6,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,1,3,1,-2,,,,,1,1,1,-2,79.2,0.1667,1,-4.4991,,1,3,1,,1.6892,1.6892,0.1667,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,10,0.5,0.5,1,,,,,
Elijah Higgins,ARZ,TE,5,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,0.5,,0.5,,,,
Jonnu Smith,MIA,TE,12,No,Yes,Yes,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1818,0.4545,,0.3636,,,,
Harrison Bryant,LV,TE,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,1,,,,
Tylan Wallace,BLT,WR,4,No,No,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,0.3333,,,,,,
Charlie Woerner,ATL,TE,8,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.4,0.4,,0.2,,,,
Mason Kinsey,TEN,WR,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,
Josh Palmer,LAC,WR,10,No,Yes,Yes,10,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2,0.8,,,,,,
Antonio Gibson,NE,RB,5,No,No,No,2,2,No,No,2,1,1,2,1,21,21,6,,,,,1,1,,,,110.4,10.5,10.5,4.2037,,10.5,10.5,3,2,2.5567,2.5567,0.4,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,17,,,,,,,,
