teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingAverageTimeToSack,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTouchdownsTotal
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Cover 2 Man,11,8,8,0.625,2,0.25,0.5714285714285714,-0.14747842471428585,1,7,0.25,29,3.625,0.4827586206896552,3.625,58,No,Yes,4,0.5,0.10541875,No,0.25,1,0.125,0.5,0.125,0.375,2.8625,2.725,8.285714285714286,42.2,No,No,2,,,,,,,,,,,,,,
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 2 Man,9,7,5,0.4,2,0.4,0.5,-0.06494038675000002,,,,10,2,0.3,0.2857142857142857,93,No,No,2,0.2857142857142857,0.009107142857142854,No,0.4,2,0.4,0.6,0.2,0.4,2.8200000000000003,2.1500000000000004,23.25,47.9,Yes,No,,1,2,1,-8,0.2857142857142857,2.9,,,,,,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 2 Man,6,7,7,0.5714285714285714,3,0.42857142857142855,0.6,-0.14402151380000006,,,,18,2.5714285714285716,0.1111111111111111,2.5714285714285716,40,No,No,4,0.5714285714285714,-0.04401428571428566,No,0.14285714285714285,,,0.2857142857142857,,0.5714285714285714,4.142857142857143,2.8,8,50.3,No,No,2,2,,,,,,2,,,,,,,
7,Cincinnati,Bengals,,MIA,AFC,AFC East,Open,Open,Cover 2 Man,12,8,5,1,5,1,1,0.4049964530000001,,,,87,17.4,0.10344827586206896,17.4,78,No,Yes,6,0.75,0.5058125,No,,2,0.4,0.8,,1,2.84,2.466666666666667,15.6,118.8,No,Yes,4,,,,,,,2,0.2,5.966666666666666,,,,,
8,Cleveland,Browns,True,PIT,AFC,AFC North,Open,Open,Cover 2 Man,10,5,5,1,4,0.8,0.8,0.048032611,,,,47,9.4,0.5531914893617021,9.4,35,No,No,1,0.2,-0.05960000000000001,No,,,,1,,0.8,2.08,2.2,7,105.8,No,Yes,3,,,,,,,,0.2,,,,,,
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 2 Man,11,8,6,0.6666666666666666,2,0.3333333333333333,0.8,0.08222882240000007,,15,0.3333333333333333,21,3.5,0.6666666666666666,3.5,41,No,No,4,0.5,0.12805624999999998,No,0.16666666666666666,,,0.6666666666666666,,0.16666666666666666,3.4499999999999997,3.1,8.2,44.4,No,No,2,1,,,,,,1,,5.4,,,,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 2 Man,15,21,19,0.5789473684210527,8,0.42105263157894735,0.5625,-0.15677308587499994,,4,0.05263157894736842,54,2.8421052631578947,0.3888888888888889,0.1,139,No,Yes,11,0.5238095238095238,0.13302619047619046,No,0.2631578947368421,3,0.15789473684210525,0.631578947368421,,0.3684210526315789,3.0789473684210527,2.9454545454545453,8.176470588235293,27.7,No,No,2,2,1,,-7,0.047619047619047616,3.4,1,,5.4,1,,,,
27,Pittsburgh,Steelers,,CLV,AFC,AFC North,Open,Open,Cover 2 Man,14,23,17,0.7647058823529411,10,0.5882352941176471,0.8,0.047211890399999956,,11,0.11764705882352941,107,6.294117647058823,0.5700934579439252,3.260869565217391,106,No,No,13,0.5652173913043478,0.2770391304347826,No,0.058823529411764705,1,0.058823529411764705,0.7058823529411765,,0.47058823529411764,2.835294117647059,2.5,7.066666666666666,77.3,No,Yes,6,2,6,1,-32,0.2608695652173913,3.983333333333333,,,,,0.058823529411764705,,,
29,San Francisco,49ers,,IND,AFC,AFC South,Open,Open,Cover 2 Man,3,1,1,1,1,1,1,0.12020852500000001,,,,19,19,0.9473684210526315,19,1,No,No,,,-0.3493,No,,,,,1,1,2.6,,1,118.8,No,Yes,1,,,,,,,,,,,,,,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Open,Open,Cover 2 Man,13,33,28,0.6071428571428571,12,0.42857142857142855,0.5,-0.1516123390384615,,12,0.03571428571428571,103,3.6785714285714284,0.3300970873786408,3,331,No,No,16,0.48484848484848486,0.11163181818181817,No,0.25,5,0.17857142857142858,0.6785714285714286,0.07142857142857142,0.39285714285714285,3.125,2.65,12.73076923076923,53.1,No,No,8,2,2,,-13,0.06060606060606061,3.35,3,0.07142857142857142,5.733333333333333,,,2,,
