teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingHeroThrowPercentage,teamIsHomeTeam
25,New York,Jets,BUF,AFC,AFC East,Closed,Open,Cover 2,17,124,112,0.7142857142857143,2,71,0.6339285714285714,0.7676767676767676,0.006593509727272684,11,1,60,0.044642857142857144,611,5.455357142857143,0.6219312602291326,5.666666666666667,620,2,2,1,6,-5,0.016129032258064516,No,No,41,0.33064516129032256,-0.00502298387096774,No,0.03225806451612903,0.16071428571428573,6,0.05357142857142857,0.017857142857142856,0.5625,0.15178571428571427,0.5535714285714286,2.7294642857142857,3.5,5.63,2.84390243902439,6.2,83.6,No,Yes,33,,,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Cover 2,17,181,154,0.8571428571428571,,122,0.7922077922077922,0.8533333333333334,0.0687424909133334,3,1,31,0.03896103896103896,1239,8.045454545454545,0.585956416464891,6.776470588235294,854,2,16,4,6,-82,0.08839779005524862,Yes,Yes,63,0.34806629834254144,0.061545856353591166,No,0.016574585635359115,0.11038961038961038,11,0.07142857142857142,0.025974025974025976,0.564935064935065,0.19480519480519481,0.6818181818181818,2.5272727272727273,3.6125,5.081818181818182,2.5587301587301585,5.693333333333333,101.8,No,No,56,1,0.032467532467532464,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Open,Cover 2,17,89,83,0.7710843373493976,3,55,0.6626506024096386,0.7662337662337663,-0.0005168723116882878,4,2,4,0.04819277108433735,527,6.349397590361446,0.5047438330170778,5.953488372093023,498,3,3,1,3,-30,0.033707865168539325,No,Yes,33,0.3707865168539326,0.03592528089887641,No,0.033707865168539325,0.13253012048192772,7,0.08433734939759036,0.024096385542168676,0.6024096385542169,0.14457831325301204,0.6265060240963856,2.6566265060240966,3.1999999999999997,4.166666666666667,2.56969696969697,6.467532467532467,90.8,No,No,27,1,0.012048192771084338,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Cover 2,17,113,102,0.7450980392156863,2,71,0.696078431372549,0.8241758241758241,0.06760210757142848,8,2,34,0.0392156862745098,680,6.666666666666667,0.4441176470588235,5.376146788990826,655,2,7,,4,-44,0.061946902654867256,No,No,49,0.4336283185840708,0.09237964601769909,No,0.008849557522123894,0.14705882352941177,9,0.08823529411764706,0.058823529411764705,0.5294117647058824,0.10784313725490197,0.5686274509803921,2.7666666666666666,3.6999999999999997,5.15,2.5693877551020408,7.119565217391305,86.2,Yes,Yes,30,2,0.0392156862745098,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Open,Cover 2,17,72,69,0.7971014492753623,,48,0.6956521739130435,0.7611940298507462,0.012205637059701457,,1,12,0.043478260869565216,457,6.6231884057971016,0.38293216630196936,4.0144927536231885,497,,,,1,,,No,No,23,0.3194444444444444,-0.023207638888888906,No,0.027777777777777776,0.17391304347826086,7,0.10144927536231885,0.057971014492753624,0.6376811594202898,0.17391304347826086,0.5652173913043478,2.6478260869565218,,4.533333333333334,2.360869565217391,7.3088235294117645,63.5,No,Yes,22,4,0.014492753623188406,True
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Open,Cover 2,17,81,67,0.7164179104477612,2,44,0.6567164179104478,0.7666666666666667,-0.0021812765499999998,3,2,,0.029850746268656716,398,5.940298507462686,0.5728643216080402,3.4266666666666667,405,,8,3,5,-51,0.09876543209876543,No,No,37,0.4567901234567901,0.15444629629629628,No,0.037037037037037035,0.1791044776119403,6,0.08955223880597014,0.029850746268656716,0.5373134328358209,0.16417910447761194,0.5522388059701493,2.6940298507462686,3.6125,5.1499999999999995,2.489189189189189,6.612903225806452,69.1,Yes,Yes,18,2,0.029850746268656716,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 2,17,83,76,0.7368421052631579,,46,0.6052631578947368,0.6811594202898551,-0.03163356260869565,4,1,6,0.013157894736842105,539,7.092105263157895,0.39888682745825604,4.373493975903615,648,,7,1,2,-41,0.08433734939759036,Yes,Yes,30,0.3614457831325301,0.002116867469879507,Yes,0.012048192771084338,0.15789473684210525,8,0.10526315789473684,0.05263157894736842,0.6052631578947368,0.13157894736842105,0.4342105263157895,2.85,3.442857142857143,,2.6599999999999997,9.126760563380282,65.6,No,No,26,3,0.039473684210526314,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 2,17,35,31,0.8064516129032258,,24,0.7741935483870968,0.8928571428571429,0.11645996303571438,2,1,21,0.03225806451612903,285,9.193548387096774,0.6491228070175439,8.085714285714285,163,1,4,,1,-22,0.11428571428571428,Yes,Yes,10,0.2857142857142857,-0.0281014285714286,No,0.05714285714285714,0.0967741935483871,3,0.0967741935483871,0.03225806451612903,0.7096774193548387,0.06451612903225806,0.7419354838709677,2.629032258064516,4.425,,2.43,5.821428571428571,115.7,No,Yes,13,,0.12903225806451613,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Cover 2,17,147,121,0.7520661157024794,,80,0.6611570247933884,0.8113207547169812,0.06204922983962269,11,3,65,0.049586776859504134,995,8.223140495867769,0.4964824120603015,5.195652173913044,790,3,17,2,8,-113,0.11564625850340136,No,No,66,0.4489795918367347,0.1489044217687075,No,0.02040816326530612,0.12396694214876033,9,0.0743801652892562,0.049586776859504134,0.5041322314049587,0.1322314049586777,0.6033057851239669,2.688429752066116,3.447058823529412,4.7555555555555555,2.3984848484848484,7.383177570093458,82.5,Yes,Yes,35,5,0.03305785123966942,True
13,Houston,Texans,IND,AFC,AFC South,Closed,Open,Cover 2,17,49,46,0.7391304347826086,2,28,0.6086956521739131,0.7272727272727273,-0.03142213556818174,1,1,28,0.08695652173913043,179,3.891304347826087,0.6201117318435754,2.702127659574468,317,,1,,1,-7,0.02040816326530612,No,Yes,14,0.2857142857142857,-0.026006122448979596,No,0.04081632653061224,0.21739130434782608,6,0.13043478260869565,0.08695652173913043,0.6739130434782609,0.08695652173913043,0.6521739130434783,2.5,3.3,4.85,2.4214285714285713,7.204545454545454,60,No,Yes,9,1,0.021739130434782608,True
