teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTargetedReadCheckdownPercentage
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,99,99,0.7373737373737373,14,58,0.5858585858585859,0.6565656565656566,0.04905107388888896,89,0.0707070707070707,1029,10.393939393939394,0.2536443148688047,11.303030303030303,1371,9,2,3,No,No,28,0.2828282828282828,-0.1018429292929293,Yes,0.26262626262626265,0.04040404040404041,0.08080808080808081,0.8383838383838383,0.5050505050505051,2.805050505050505,2.4892857142857143,13.848484848484848,116.1,Yes,Yes,55,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Closed,Closed,Cover 3,17,109,109,0.6697247706422018,13,50,0.45871559633027525,0.5514018691588785,-0.05495638625233645,131,0.08256880733944955,941,8.63302752293578,0.2869287991498406,9.137614678899082,1491,5,1,3,No,No,38,0.3486238532110092,-0.05638256880733943,No,0.26605504587155965,0.027522935779816515,0.01834862385321101,0.6513761467889908,0.42201834862385323,2.922935779816514,2.4973684210526317,13.917431192660551,87.7,No,No,49,True,0.009174311926605505,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,116,116,0.7155172413793104,19,67,0.5775862068965517,0.6551724137931034,0.04886046388793108,116,0.07758620689655173,1125,9.698275862068966,0.23377777777777778,10.818965517241379,1631,11,2,4,No,No,42,0.3620689655172414,-0.053256896551724116,Yes,0.25,0.02586206896551724,0.034482758620689655,0.7413793103448276,0.5603448275862069,2.9827586206896552,2.6166666666666667,14.060344827586206,115.1,No,No,62,,0.017241379310344827,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Closed,Cover 3,17,108,108,0.7685185185185185,11,65,0.6018518518518519,0.6944444444444444,0.08568215852777783,152,0.09259259259259259,1120,10.37037037037037,0.2294642857142857,11.064814814814815,1504,6,1,7,No,No,40,0.37037037037037035,-0.07907546296296293,No,0.2222222222222222,0.037037037037037035,0.018518518518518517,0.6574074074074074,0.5648148148148148,3.1805555555555554,2.59,13.925925925925926,110.1,No,Yes,57,True,,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,122,122,0.7295081967213115,14,65,0.5327868852459017,0.6147540983606558,0.011601403172131208,132,0.08196721311475409,1078,8.836065573770492,0.17810760667903525,7.401639344262295,1738,7,7,2,Yes,No,36,0.29508196721311475,-0.09069754098360656,Yes,0.23770491803278687,0.08196721311475409,0.10655737704918032,0.7704918032786885,0.5163934426229508,2.8114754098360657,2.5833333333333335,14.245901639344263,78.5,No,Yes,58,True,,
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 1,17,90,90,0.7,16,52,0.5777777777777777,0.6777777777777778,0.07298703174444454,145,0.1,885,9.833333333333334,0.22824858757062147,9.61111111111111,1283,8,4,1,Yes,No,36,0.4,-0.0012416666666666743,Yes,0.3,0.05555555555555555,0.05555555555555555,0.7111111111111111,0.43333333333333335,2.901111111111111,2.3055555555555554,14.255555555555556,102.3,No,Yes,47,True,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 0,17,153,153,0.6993464052287581,16,82,0.5359477124183006,0.5751633986928104,-0.03174610230718955,85,0.0392156862745098,1361,8.895424836601308,0.1719324026451139,7.882352941176471,2143,8,7,6,Yes,Yes,54,0.35294117647058826,-0.06716274509803927,Yes,0.2875816993464052,0.08496732026143791,0.05228758169934641,0.7777777777777778,0.39869281045751637,3.0104575163398692,2.8074074074074074,14.006535947712418,82.2,No,Yes,77,,0.013071895424836602,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Closed,Cover 1,17,99,99,0.6363636363636364,10,52,0.5252525252525253,0.5656565656565656,-0.039351694535353476,44,0.04040404040404041,846,8.545454545454545,0.1524822695035461,8.343434343434344,1416,8,4,5,No,No,31,0.31313131313131315,-0.12346414141414139,No,0.35353535353535354,0.10101010101010101,0.06060606060606061,0.7272727272727273,0.4444444444444444,3.106060606060606,2.564516129032258,14.303030303030303,91.6,Yes,No,47,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Red Zone,17,100,100,0.55,10,50,0.5,0.53,-0.07988029442,38,0.03,778,7.78,0.19023136246786632,4.48,1372,6,10,3,No,No,32,0.32,-0.06380000000000002,No,0.42,0.12,0.02,0.75,0.37,2.8,2.36875,13.72,56.6,No,Yes,47,,0.01,0.01
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,135,135,0.6370370370370371,20,68,0.5037037037037037,0.562962962962963,-0.04783085741481474,104,0.05925925925925926,1025,7.592592592592593,0.14634146341463414,5.777777777777778,1841,8,9,2,No,No,46,0.34074074074074073,-0.034881481481481506,No,0.31851851851851853,0.11851851851851852,0.037037037037037035,0.7555555555555555,0.4,2.7525925925925927,2.5521739130434784,13.637037037037038,67.7,Yes,Yes,63,True,0.014814814814814815,
