teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingHeroThrowPercentage
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Prevent,17,269,269,0.8736059479553904,15,211,0.7843866171003717,0.8432835820895522,0.03990380399999993,77,0.055762081784386616,1885,7.007434944237918,0.47586206896551725,7.41635687732342,1270,10,2,8,No,No,62,0.23048327137546468,-0.0956671003717472,No,0.022304832713754646,0.11524163568773234,0.01486988847583643,0.6468401486988847,0.10037174721189591,0.6728624535315985,2.465799256505576,2.5064516129032257,4.736059479553903,105.2,No,Yes,103,,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 4,17,252,252,0.876984126984127,5,186,0.7380952380952381,0.8134920634920635,0.00863829570634922,66,0.07539682539682539,1611,6.392857142857143,0.4543761638733706,6.075396825396825,1177,5,4,7,No,No,63,0.25,-0.047344642857142884,No,0.04365079365079365,0.11507936507936507,0.027777777777777776,0.7896825396825397,0.047619047619047616,0.6547619047619048,2.2988095238095236,2.2079365079365076,4.670634920634921,90.2,No,Yes,78,True,
22,New England,Patriots,MIA,AFC,AFC East,Open,Closed,Cover 1,17,217,217,0.8617511520737328,5,171,0.7880184331797235,0.8101851851851852,0.005894388361111114,12,0.018433179723502304,1486,6.847926267281106,0.49259757738896365,7.170506912442396,1011,8,2,2,No,Yes,56,0.25806451612903225,-0.07644976958525347,Yes,0.004608294930875576,0.12442396313364056,0.02304147465437788,0.6129032258064516,0.08294930875576037,0.663594470046083,2.5142857142857142,2.5410714285714286,4.695852534562212,103.6,No,No,71,True,0.004608294930875576
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,253,253,0.857707509881423,13,194,0.766798418972332,0.8015873015873016,-0.001859550591269854,35,0.03162055335968379,1699,6.715415019762846,0.4720423778693349,5.944664031620554,1196,6,7,4,Yes,No,64,0.25296442687747034,-0.06885830039525691,Yes,0.019762845849802372,0.11857707509881422,0.039525691699604744,0.6877470355731226,0.08300395256916997,0.691699604743083,2.440711462450593,2.3875,4.739130434782608,90.3,No,Yes,90,True,0.003952569169960474
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 4,17,278,278,0.841726618705036,9,211,0.7589928057553957,0.7978339350180506,-0.009866143371841218,51,0.03597122302158273,1689,6.075539568345324,0.44582593250444047,5.985611510791367,1262,10,5,6,No,No,67,0.24100719424460432,-0.06591241007194244,No,0.007194244604316547,0.14028776978417265,0.014388489208633094,0.6402877697841727,0.10071942446043165,0.6762589928057554,2.3543165467625897,2.388059701492537,4.5503597122302155,95.1,No,Yes,89,True,0.0035971223021582736
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 4,17,204,204,0.8627450980392157,8,156,0.7647058823529411,0.7832512315270936,-0.027571153748768396,11,0.014705882352941176,1331,6.5245098039215685,0.49135987978963186,6.965686274509804,911,9,2,2,No,Yes,48,0.23529411764705882,-0.07713823529411766,No,0.014705882352941176,0.1323529411764706,0.024509803921568627,0.6911764705882353,0.06862745098039216,0.7107843137254902,2.3862745098039215,2.2645833333333334,4.4754901960784315,103.6,No,No,69,,0.004901960784313725
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 4,17,238,238,0.865546218487395,14,172,0.7226890756302521,0.8025210084033614,-0.01056699292016805,76,0.07983193277310924,1355,5.69327731092437,0.47601476014760147,5.966386554621849,1035,10,3,6,No,No,57,0.23949579831932774,-0.06725903361344537,No,0.03361344537815126,0.12184873949579832,0.008403361344537815,0.6302521008403361,0.12184873949579832,0.6428571428571429,2.353361344537815,2.466666666666667,4.348739495798319,94.8,No,Yes,74,,0.008403361344537815
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 6,17,211,211,0.8957345971563981,10,165,0.7819905213270142,0.8571428571428571,0.044018864180952244,67,0.07109004739336493,1703,8.071090047393366,0.6024662360540223,8.37914691943128,917,10,3,10,No,Yes,45,0.2132701421800948,-0.14788412322274885,No,0.023696682464454975,0.0995260663507109,0.004739336492890996,0.6398104265402843,0.10426540284360189,0.6824644549763034,2.6687203791469196,2.6444444444444444,4.388625592417061,110.2,No,No,88,True,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 6,17,216,216,0.8703703703703703,6,156,0.7222222222222222,0.7916666666666666,-0.008116553500000068,71,0.06944444444444445,1239,5.736111111111111,0.4269572235673931,4.671296296296297,1053,2,6,4,No,Yes,58,0.26851851851851855,-0.03454189814814815,No,0.032407407407407406,0.11574074074074074,0.023148148148148147,0.7407407407407407,0.06944444444444445,0.6111111111111112,2.3319444444444444,2.262068965517241,4.875,77.7,No,Yes,63,True,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 6,17,182,182,0.8516483516483516,7,141,0.7747252747252747,0.8131868131868132,0.006721950791208742,39,0.038461538461538464,1182,6.4945054945054945,0.4890016920473773,6.521978021978022,838,7,3,3,No,Yes,53,0.29120879120879123,-0.01951565934065935,No,0.02197802197802198,0.14285714285714285,0.016483516483516484,0.6703296703296703,0.0989010989010989,0.6648351648351648,2.3763736263736264,2.375471698113208,4.604395604395604,99.7,No,No,68,,0.005494505494505495
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,212,212,0.8726415094339622,4,158,0.7452830188679245,0.8113207547169812,0.010443682811320798,73,0.0660377358490566,1368,6.452830188679245,0.4473684210526316,6.0754716981132075,1044,5,4,9,No,No,56,0.2641509433962264,-0.06138962264150944,No,0.009433962264150943,0.1179245283018868,0.02358490566037736,0.6792452830188679,0.06132075471698113,0.6415094339622641,2.4622641509433962,2.369642857142857,4.9245283018867925,91.1,No,Yes,73,True,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 6,17,221,221,0.8642533936651584,10,170,0.7692307692307693,0.8486238532110092,0.038995389174312,62,0.06787330316742081,1826,8.262443438914028,0.5930996714129244,9.122171945701357,974,14,2,9,No,Yes,49,0.22171945701357465,-0.08878755656108597,No,0.03619909502262444,0.11312217194570136,0.00904977375565611,0.6923076923076923,0.09954751131221719,0.7239819004524887,2.3751131221719457,2.575510204081633,4.4389140271493215,118,No,Yes,105,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,212,212,0.9009433962264151,6,171,0.8066037735849056,0.8726415094339622,0.06692046139622632,67,0.0660377358490566,1488,7.018867924528302,0.4731182795698925,7.84433962264151,1002,11,1,2,Yes,No,41,0.19339622641509435,-0.12734363207547167,Yes,0.0330188679245283,0.09433962264150944,0.0047169811320754715,0.660377358490566,0.10377358490566038,0.7783018867924528,2.434433962264151,2.578048780487805,4.726415094339623,111.2,No,Yes,84,,0.0047169811320754715
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,179,179,0.8491620111731844,10,128,0.7150837988826816,0.7988826815642458,-0.012985504229050315,71,0.08379888268156424,1093,6.106145251396648,0.5205855443732845,6.35754189944134,790,9,3,2,Yes,No,30,0.16759776536312848,-0.14970782122905027,No,0.00558659217877095,0.1452513966480447,0.03910614525139665,0.7374301675977654,0.055865921787709494,0.6312849162011173,2.4145251396648044,2.5733333333333333,4.41340782122905,96.9,No,Yes,55,True,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 4,17,255,255,0.8941176470588236,10,202,0.792156862745098,0.8661417322834646,0.05781586133070871,71,0.07058823529411765,1649,6.466666666666667,0.4523953911461492,7.486274509803922,1169,13,,5,No,No,58,0.22745098039215686,-0.09249019607843134,No,0.00784313725490196,0.10196078431372549,0.01568627450980392,0.6862745098039216,0.07450980392156863,0.7098039215686275,2.4298039215686273,2.5258620689655173,4.603921568627451,110.6,No,Yes,98,,0.00392156862745098
6,Chicago,Bears,DET,NFC,NFC North,Open,Closed,Cover 3,17,221,221,0.8823529411764706,10,169,0.7647058823529411,0.85,0.03841774761818184,77,0.08144796380090498,1325,5.995475113122172,0.4671698113207547,5.950226244343892,975,13,6,1,No,No,41,0.18552036199095023,-0.13396289592760183,No,0.02262443438914027,0.11764705882352941,0.049773755656108594,0.7013574660633484,0.08597285067873303,0.6968325791855203,2.427149321266968,2.502439024390244,4.4343891402714934,99.1,No,Yes,73,True,0.004524886877828055
