teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingInterceptionsTotal,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingIncompletionsBatted
32,Washington,Commanders,NYG,NFC,NFC East,Open,Open,Cover 0,9,19,17,0.7647058823529411,1,12,0.7058823529411765,0.9285714285714286,0.12606560592857152,3,11,0.058823529411764705,117,6.882352941176471,0.6581196581196581,5.947368421052632,55,1,2,1,-24,0.10526315789473684,Yes,No,7,0.3684210526315789,0.06587631578947367,Yes,0.05263157894736842,0.058823529411764705,0.7647058823529411,0.7058823529411765,2.5352941176470587,3.1,2.5714285714285716,3.9285714285714284,109.2,Yes,Yes,8,,,,,,,,,,
2,Atlanta,Falcons,LA,NFC,NFC West,Open,Open,Cover 4,12,12,11,0.8181818181818182,1,8,0.7272727272727273,0.7272727272727273,-0.06093540172727263,,,,68,6.181818181818182,0.8088235294117647,2.090909090909091,66,,,,,,Yes,No,3,0.25,-0.11187916666666668,No,0.08333333333333333,0.18181818181818182,0.8181818181818182,0.45454545454545453,2.8636363636363638,,2.9333333333333336,6,50.6,No,Yes,5,True,1,1,0.09090909090909091,0.09090909090909091,5.4,,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Closed,Cover 3,11,9,8,0.75,3,2,0.25,0.625,0.051887049500000004,,47,0.375,45,5.625,0.7333333333333333,5.625,148,,,,,,No,Yes,3,0.3333333333333333,-0.14582222222222224,No,,0.25,0.75,0.25,3.7,,2.6333333333333333,18.5,50.5,No,No,2,True,,2,0.25,,6.6,1,0.125,,
26,Philadelphia,Eagles,BUF,AFC,AFC East,Closed,Closed,Cover 1,10,13,12,0.5,1,6,0.5,0.5454545454545454,-0.1649781841818182,1,,,66,5.5,0.3333333333333333,7.166666666666667,110,1,,,,,Yes,No,4,0.3076923076923077,-0.07046923076923078,No,,0.4166666666666667,0.75,0.4166666666666667,2.9499999999999997,,2.925,10,94.4,Yes,Yes,4,,,3,0.25,,4.7,,,0.08333333333333333,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,14,15,14,0.7142857142857143,,10,0.7142857142857143,1,0.2155905185,1,,,110,7.857142857142857,0.45454545454545453,4.642857142857143,60,,,,,,Yes,Yes,7,0.4666666666666667,0.045203333333333325,No,,,0.42857142857142855,0.6428571428571429,3.1928571428571426,,2.942857142857143,6,64.6,No,Yes,5,True,1,1,0.07142857142857142,,5.2,1,0.07142857142857142,0.07142857142857142,3
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Closed,Cover 3,16,16,15,0.8666666666666667,,12,0.8,0.8666666666666667,0.07089466326666671,,3,0.06666666666666667,91,6.066666666666666,0.4835164835164835,6.066666666666666,65,,,,,,Yes,No,3,0.1875,-0.23053125000000002,Yes,,0.13333333333333333,0.7333333333333333,0.4666666666666667,3.1599999999999997,,3.533333333333333,4.333333333333333,91.9,No,No,5,True,,,,,5.7,2,0.06666666666666667,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Closed,Cover 3,12,8,6,0.6666666666666666,,4,0.6666666666666666,0.8,-0.016432602399999885,1,,,37,6.166666666666667,0.4594594594594595,3.857142857142857,17,,1,,-10,0.125,No,Yes,4,0.5,0.151775,No,,0.16666666666666666,0.6666666666666666,0.16666666666666666,3.266666666666667,2.5,3.05,3.4,83.3,No,No,2,,,,,,4.5,,,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Open,Open,Cover 6,14,11,10,0.7,,5,0.5,0.5555555555555556,-0.21575690055555552,1,,,27,2.7,0.7037037037037037,2.7,55,,,,,,Yes,No,2,0.18181818181818182,-0.18904545454545457,No,,0.1,0.9,0.5,2.94,,3.45,6.111111111111111,56.3,No,No,1,True,,1,0.1,,5.3,,,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 1,15,18,17,0.7058823529411765,1,11,0.6470588235294118,0.8571428571428571,0.07529910185714284,2,6,0.058823529411764705,150,8.823529411764707,0.6466666666666666,10,73,1,,,,,Yes,No,3,0.16666666666666666,-0.23989444444444447,Yes,0.1111111111111111,0.11764705882352941,0.5294117647058824,0.6470588235294118,3.070588235294118,,3.033333333333333,5.214285714285714,112.4,No,Yes,8,,,1,0.058823529411764705,,4.4,,,0.058823529411764705,1
6,Chicago,Bears,DET,NFC,NFC North,Closed,Open,Red Zone,13,21,20,0.9,3,17,0.85,0.9444444444444444,0.13035421861111107,1,,,155,7.75,0.6967741935483871,11.75,75,4,,,,,Yes,Yes,5,0.23809523809523808,-0.20792857142857143,No,,,0.65,0.6,3.29,,3.28,4.166666666666667,138.5,No,No,11,True,,,,,4.9,1,,0.05,1
