teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingIncompletionsBatted
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,67,35,0.4,4,12,0.34285714285714286,0.5652173913043478,-0.07621915004347835,12,6,0.02857142857142857,143,4.085714285714285,0.3986013986013986,2.3333333333333335,288,1,1,7,5,20,-20,0.1044776119402985,No,Yes,65,0.9701492537313433,0.6005037313432836,No,0.029850746268656716,0.2571428571428571,6,0.17142857142857143,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.4,4.677142857142857,5.971428571428571,4.876,2.6584615384615384,12.521739130434783,45.3,No,No,6,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 6,17,59,30,0.4666666666666667,1,12,0.4,0.6842105263157895,-0.007134472210526321,9,-1,0.03333333333333333,137,4.566666666666666,0.1386861313868613,2,179,,,10,5,26,-57,0.1694915254237288,No,Yes,59,1,0.5978474576271186,Yes,,0.16666666666666666,2,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.3333333333333333,5.16,4.34,5.473684210526316,2.705084745762712,8.523809523809524,54.4,No,Yes,8,True,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,17,52,24,0.4166666666666667,1,7,0.2916666666666667,0.3684210526315789,-0.19924334768421054,4,,,133,5.541666666666667,0.5263157894736842,1.3333333333333333,324,1,2,6,2,10,-23,0.11538461538461539,No,Yes,51,0.9807692307692307,0.6132173076923076,No,0.019230769230769232,0.375,7,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.2916666666666667,5.191666666666666,4.866666666666666,4.718181818181818,2.5686274509803924,17.05263157894737,29.3,No,No,5,True,1
7,Cincinnati,Bengals,CLV,AFC,AFC North,Closed,Open,Cover 2,17,60,34,0.6176470588235294,2,15,0.4411764705882353,0.6153846153846154,-0.04840303150000003,8,,0.029411764705882353,165,4.852941176470588,0.19393939393939394,4.108108108108108,289,2,1,3,2,12,-8,0.05,No,Yes,58,0.9666666666666667,0.4855425,No,,0.14705882352941177,5,0.14705882352941177,0.029411764705882353,0.058823529411764705,,0.08823529411764706,0.4411764705882353,5.497058823529412,4.866666666666666,5.134782608695652,2.9068965517241376,11.115384615384615,66.4,No,No,9,True,
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Open,Cover 2,16,33,15,0.4666666666666667,1,6,0.4,0.7777777777777778,0.02548513155555554,6,-1,0.06666666666666667,86,5.733333333333333,0.3953488372093023,2.0476190476190474,63,,,6,3,8,-43,0.18181818181818182,No,Yes,33,1,0.6870227272727273,No,,0.13333333333333333,,,0.06666666666666667,,0.06666666666666667,0.13333333333333333,0.13333333333333333,4.566666666666666,4.566666666666666,5.066666666666666,2.587878787878788,7,59.3,No,No,5,,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,17,59,33,0.48484848484848486,4,12,0.36363636363636365,0.7142857142857143,0.03831808038095241,10,17,0.09090909090909091,149,4.515151515151516,0.20134228187919462,4.675,237,3,,7,1,11,-22,0.11864406779661017,No,Yes,58,0.9830508474576272,0.5993915254237289,No,,0.15151515151515152,2,0.06060606060606061,,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.36363636363636365,4.551515151515151,4,5.310526315789474,2.5931034482758624,11.285714285714286,81.5,No,No,11,,2
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 2,17,51,26,0.6923076923076923,1,12,0.46153846153846156,0.6666666666666666,-0.030003990714285722,5,23,0.07692307692307693,198,7.615384615384615,0.4292929292929293,4.5,212,1,1,8,5,12,-20,0.1568627450980392,No,Yes,49,0.9607843137254902,0.5932980392156862,No,,0.07692307692307693,2,0.07692307692307693,0.038461538461538464,,0.07692307692307693,0.15384615384615385,0.38461538461538464,4.753846153846154,3.9125,5.335294117647059,2.6306122448979594,10.095238095238095,69.1,No,No,9,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,16,43,17,0.35294117647058826,1,6,0.35294117647058826,0.6,-0.03325493870000007,7,,,70,4.117647058823529,0.07142857142857142,-1.4074074074074074,128,1,2,10,4,5,-38,0.23255813953488372,No,Yes,41,0.9534883720930233,0.6569337209302326,Yes,,0.23529411764705882,2,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.29411764705882354,4.923529411764706,4.58,4.675,2.578048780487805,12.8,28.7,No,No,2,True,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,39,24,0.4166666666666667,1,10,0.4166666666666667,0.7142857142857143,0.05559716792857139,10,,,179,7.458333333333333,0.5363128491620112,6.346153846153846,183,2,1,2,1,5,-9,0.05128205128205128,No,Yes,38,0.9743589743589743,0.5497512820512821,No,,0.16666666666666666,3,0.125,0.041666666666666664,,,0.041666666666666664,0.2916666666666667,4.575,3.9,4.7384615384615385,2.6631578947368424,13.071428571428571,78.3,No,No,8,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Open,Open,Cover 4,17,62,37,0.4864864864864865,4,13,0.35135135135135137,0.6521739130434783,0.014706162521739174,13,24,0.05405405405405406,184,4.972972972972973,0.16847826086956522,4.043478260869565,298,2,,9,3,21,-38,0.14516129032258066,No,No,55,0.8870967741935484,0.47275645161290325,No,,0.13513513513513514,3,0.08108108108108109,,0.05405405405405406,0.08108108108108109,0.02702702702702703,0.2972972972972973,4.6,4.533333333333333,4.94375,2.5727272727272728,12.956521739130435,70.1,No,Yes,12,True,1
