teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Closed,Closed,Cover 1,17,40,40,0.625,3,15,0.375,0.525,0.07935562362499998,124,0.15,477,11.925,0.25157232704402516,12.925,1074,2,1,No,No,16,0.4,-0.05840624999999999,No,0.35,24,0.6,0.25,0.725,0.325,3.2325000000000004,2.6,26.85,99.7,No,No,15,,,,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Bracket,17,38,38,0.6052631578947368,6,17,0.4473684210526316,0.5263157894736842,0.09005961352631575,106,0.07894736842105263,442,11.631578947368421,0.17873303167420815,12.552631578947368,1012,4,5,No,Yes,17,0.4473684210526316,-0.08805,No,0.3684210526315789,24,0.631578947368421,0.18421052631578946,0.7631578947368421,0.42105263157894735,3.6789473684210527,2.764705882352941,26.63157894736842,112,No,No,17,1,0.02631578947368421,,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Bracket,17,37,37,0.5405405405405406,6,9,0.24324324324324326,0.3783783783783784,-0.03284015883783781,143,0.13513513513513514,259,7,0.04633204633204633,8.621621621621621,1014,3,2,No,Yes,10,0.2702702702702703,-0.11446216216216219,No,0.40540540540540543,32,0.8648648648648649,0.35135135135135137,0.918918918918919,0.40540540540540543,2.805405405405405,2.41,27.405405405405407,83.3,No,No,9,,0.02702702702702703,,
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,50,50,0.44,10,18,0.36,0.4,-0.033113295460000025,41,0.04,525,10.5,0.14857142857142858,9.7,1331,7,,No,Yes,13,0.26,-0.14036,No,0.56,34,0.68,0.2,0.9,0.32,2.8960000000000004,2.4,26.62,82.1,No,Yes,18,4,0.1,,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,39,39,0.5384615384615384,1,15,0.38461538461538464,0.53125,0.03227994396875,63,0.05128205128205128,393,10.076923076923077,0.10687022900763359,10.461538461538462,704,3,,No,No,12,0.3076923076923077,-0.17031923076923078,No,0.2564102564102564,16,0.41025641025641024,0.23076923076923078,0.6153846153846154,0.41025641025641024,3.3461538461538463,2.891666666666667,21.333333333333332,91.1,Yes,Yes,15,1,0.07692307692307693,5,1
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,31,31,0.6129032258064516,,14,0.45161290322580644,0.5357142857142857,0.03805714314285713,19,0.03225806451612903,313,10.096774193548388,0.09904153354632587,7.193548387096774,591,,1,Yes,No,10,0.3225806451612903,-0.09627580645161292,No,0.2903225806451613,13,0.41935483870967744,0.0967741935483871,0.6451612903225806,0.3870967741935484,3.0032258064516126,2.7,21.107142857142858,54.9,No,Yes,14,2,0.0967741935483871,3,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 2,16,36,36,0.6111111111111112,4,18,0.5,0.5588235294117647,0.10856555702941179,34,0.027777777777777776,497,13.805555555555555,0.1891348088531187,12.13888888888889,854,6,2,Yes,Yes,12,0.3333333333333333,-0.13911250000000003,Yes,0.3333333333333333,22,0.6111111111111112,0.1388888888888889,0.7222222222222222,0.3888888888888889,3.3138888888888887,2.6999999999999997,25.11764705882353,95.8,No,No,18,4,0.16666666666666666,2,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,39,39,0.5128205128205128,4,19,0.48717948717948717,0.5,0.012983702052631607,,,520,13.333333333333334,0.24423076923076922,12.564102564102564,852,3,4,Yes,Yes,13,0.3333333333333333,-0.10442820512820515,Yes,0.46153846153846156,15,0.38461538461538464,0.15384615384615385,0.7435897435897436,0.3076923076923077,3.112820512820513,2.6153846153846154,22.42105263157895,99,No,No,19,2,0.07692307692307693,1,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Closed,Cover 3,17,44,44,0.5227272727272727,1,19,0.4318181818181818,0.5116279069767442,0.051674718976744194,81,0.06818181818181818,517,11.75,0.13539651837524178,9.136363636363637,1049,1,2,No,No,17,0.38636363636363635,-0.050362499999999984,No,0.36363636363636365,27,0.6136363636363636,0.25,0.8181818181818182,0.2727272727272727,3.1068181818181815,2.4823529411764707,24.34090909090909,66.2,No,Yes,19,3,0.045454545454545456,,
24,New York,Giants,True,DAL,NFC,NFC East,Open,Open,Cover 4,17,42,42,0.5714285714285714,7,19,0.4523809523809524,0.525,0.08485950802500003,56,0.047619047619047616,504,12,0.10912698412698413,13.428571428571429,1016,3,2,No,Yes,15,0.35714285714285715,-0.14371071428571427,Yes,0.35714285714285715,27,0.6428571428571429,0.2857142857142857,0.7142857142857143,0.40476190476190477,3.4785714285714286,3.24,25.4,113.6,No,Yes,19,,0.047619047619047616,2,
