teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Cover 4,17,178,178,0.797752808988764,6,132,0.7415730337078652,0.8424242424242424,0.024342221854545376,7,4,29,0.03932584269662921,1029,5.780898876404494,0.6695821185617103,6.230337078651686,572,4,6,No,No,33,0.1853932584269663,-0.14229578651685396,No,0.05056179775280899,0.11235955056179775,0.02247191011235955,0.702247191011236,0.11235955056179775,0.6179775280898876,2.4747191011235956,2.4696969696969697,3.4047619047619047,95.5,Yes,Yes,59,,,,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 3,17,156,156,0.7371794871794872,7,104,0.6666666666666666,0.8029197080291971,-0.0211423201678832,12,5,16,0.038461538461538464,832,5.333333333333333,0.7127403846153846,4.7243589743589745,480,2,5,No,No,50,0.32051282051282054,0.036563782051282044,Yes,0.057692307692307696,0.1282051282051282,0.02564102564102564,0.6730769230769231,0.10256410256410256,0.5641025641025641,2.2211538461538463,2.11,3.4532374100719423,76.1,No,Yes,44,3,1,0.00641025641025641,0.00641025641025641
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,158,158,0.7784810126582279,9,111,0.7025316455696202,0.7905405405405406,-0.013694169054053962,7,2,-12,0.0379746835443038,851,5.386075949367089,0.7955346650998825,6.2405063291139244,444,9,8,No,No,46,0.2911392405063291,-0.0678775316455696,No,0.0759493670886076,0.15822784810126583,0.0379746835443038,0.6708860759493671,0.10759493670886076,0.620253164556962,2.6563291139240506,2.7065217391304346,2.9798657718120807,99.4,No,No,43,1,1,0.006329113924050633,0.006329113924050633
11,Detroit,Lions,,CHI,NFC,NFC North,Closed,Closed,Cover 3,17,144,144,0.8263888888888888,8,100,0.6944444444444444,0.7910447761194029,-0.0031338639253731815,4,5,27,0.041666666666666664,855,5.9375,0.5543859649122806,6.111111111111111,633,8,1,Yes,No,37,0.2569444444444444,-0.07630347222222225,No,0.09027777777777778,0.09027777777777778,0.020833333333333332,0.7152777777777778,0.0625,0.5972222222222222,2.5069444444444446,2.6135135135135137,4.688888888888889,94.5,No,Yes,47,3,,,
13,Houston,Texans,True,IND,AFC,AFC South,Open,Closed,Cover 3,17,151,151,0.7483443708609272,4,95,0.6291390728476821,0.803030303030303,-0.013900094787878792,6,8,53,0.0728476821192053,683,4.52317880794702,0.767203513909224,4.324503311258278,452,3,1,No,No,33,0.2185430463576159,-0.0776360927152318,Yes,0.06622516556291391,0.10596026490066225,0.019867549668874173,0.7019867549668874,0.06622516556291391,0.6026490066225165,2.2920529801324503,2.293939393939394,3.2992700729927007,74.5,No,Yes,38,2,,,0.026490066225165563
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Prevent,17,188,188,0.8191489361702128,11,138,0.7340425531914894,0.8465909090909091,0.0348177623125,8,2,46,0.05851063829787234,1141,6.069148936170213,0.6301489921121823,5.962765957446808,670,8,8,No,No,44,0.23404255319148937,-0.10305398936170213,No,0.06382978723404255,0.11170212765957446,0.026595744680851064,0.6542553191489362,0.1276595744680851,0.6436170212765957,2.529255319148936,2.534090909090909,3.764044943820225,93.9,No,No,64,4,1,0.005319148936170213,0.005319148936170213
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,169,169,0.8224852071005917,8,126,0.7455621301775148,0.8580645161290322,0.061966344554838626,9,4,42,0.04142011834319527,1182,6.994082840236686,0.61082910321489,7.556213017751479,706,7,3,Yes,No,44,0.2603550295857988,-0.0667955621301775,No,0.04142011834319527,0.08875739644970414,,0.6390532544378699,0.14792899408284024,0.6568047337278107,2.4715976331360947,2.4909090909090907,4.564102564102564,104.7,No,Yes,63,1,1,0.005917159763313609,0.005917159763313609
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,173,173,0.7976878612716763,13,125,0.7225433526011561,0.7962962962962963,-0.021269497185185227,5,6,28,0.023121387283236993,1160,6.705202312138728,0.7379310344827587,7.630057803468208,555,8,3,Yes,No,37,0.2138728323699422,-0.09893294797687861,No,0.08092485549132948,0.12138728323699421,,0.7341040462427746,0.10404624277456648,0.630057803468208,2.3884393063583813,2.5513513513513515,3.4049079754601226,105.6,No,Yes,65,,,,
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,144,144,0.75,6,99,0.6875,0.7969924812030075,-0.017045493759398567,8,3,18,0.04861111111111111,790,5.486111111111111,0.6506329113924051,6.736111111111111,463,9,3,No,No,41,0.2847222222222222,-0.03666631944444444,Yes,0.027777777777777776,0.1597222222222222,0.013888888888888888,0.6597222222222222,0.09027777777777778,0.5833333333333334,2.4381944444444446,2.4073170731707316,3.481203007518797,103.1,No,Yes,43,,,,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 2,17,185,185,0.7351351351351352,12,121,0.654054054054054,0.7751479289940828,-0.02806469711834325,11,4,52,0.05405405405405406,1025,5.54054054054054,0.6624390243902439,5.72972972972973,724,4,2,No,Yes,40,0.21621621621621623,-0.1076283783783784,No,0.05405405405405406,0.16216216216216217,0.016216216216216217,0.6918918918918919,0.13513513513513514,0.6108108108108108,2.4524324324324325,2.3925,4.233918128654971,84.6,No,No,47,1,1,0.005405405405405406,0.005405405405405406
