teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTouchdownsTotal,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,teamIsHomeTeam
28,Seattle,Seahawks,SF,NFC,NFC West,Closed,Closed,Cover 3,17,93,93,0.8387096774193549,3,61,0.6559139784946236,0.7931034482758621,0.01985846406896552,3,3,65,0.08602150537634409,491,5.279569892473118,0.5478615071283096,4.795698924731183,442,1,1,Yes,No,24,0.25806451612903225,-0.03948548387096772,No,0.021505376344086023,0.07526881720430108,0.010752688172043012,0.5268817204301075,0.12903225806451613,0.6989247311827957,2.3000000000000003,2.4125,5.080459770114943,74.3,No,Yes,20,,,,,
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Open,Cover 2,17,90,90,0.8111111111111111,5,65,0.7222222222222222,0.8072289156626506,0.04294310284337355,2,1,12,0.022222222222222223,738,8.2,0.5067750677506775,9.311111111111112,526,,2,No,No,26,0.28888888888888886,-0.04191555555555557,No,0.022222222222222223,0.1,,0.5666666666666667,0.044444444444444446,0.7,2.491111111111111,2.4884615384615385,6.183908045977011,115,No,Yes,38,5,1,0.011111111111111112,0.011111111111111112,
22,New England,Patriots,MIA,AFC,AFC East,Closed,Closed,Cover 1,17,105,105,0.7333333333333333,1,65,0.6190476190476191,0.7446808510638298,-0.01814451651063842,5,5,49,0.047619047619047616,666,6.3428571428571425,0.521021021021021,5.866666666666666,567,2,,Yes,No,36,0.34285714285714286,-0.03946428571428569,Yes,,0.14285714285714285,0.047619047619047616,0.47619047619047616,0.11428571428571428,0.5714285714285714,2.791428571428572,2.6527777777777777,5.845360824742268,78.5,No,Yes,33,2,,,,True
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Prevent,17,101,101,0.8217821782178217,6,75,0.7425742574257426,0.7755102040816326,0.00983226628571432,1,2,15,0.009900990099009901,747,7.396039603960396,0.4484605087014726,7,624,4,2,No,No,38,0.37623762376237624,0.04828663366336634,No,0.009900990099009901,0.1485148514851485,0.07920792079207921,0.5346534653465347,0.1188118811881188,0.6435643564356436,2.476237623762376,2.2473684210526317,6.36734693877551,101.4,No,Yes,43,7,,,0.019801980198019802,True
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 0,17,133,133,0.7443609022556391,7,86,0.6466165413533834,0.7398373983739838,-0.02761835660975609,4,4,20,0.03759398496240601,807,6.067669172932331,0.46220570012391576,5.654135338345864,817,3,1,No,No,39,0.2932330827067669,-0.0229612781954887,Yes,,0.18045112781954886,0.05263157894736842,0.5112781954887218,0.12781954887218044,0.5939849624060151,2.406766917293233,2.4333333333333336,6.536,81.9,No,No,42,4,2,0.015037593984962405,,True
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Prevent,17,110,110,0.8363636363636363,5,78,0.7090909090909091,0.87,0.11121090194000005,4,5,63,0.08181818181818182,851,7.736363636363636,0.4406580493537015,7.1,646,2,3,No,No,28,0.2545454545454545,-0.08895227272727275,No,,0.06363636363636363,0.01818181818181818,0.5818181818181818,0.09090909090909091,0.6454545454545455,2.5663636363636364,2.492857142857143,6.333333333333333,88.9,No,Yes,48,1,1,0.00909090909090909,,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 0,17,84,84,0.7976190476190477,3,55,0.6547619047619048,0.8076923076923077,0.04312729978205132,1,3,36,0.09523809523809523,629,7.488095238095238,0.4546899841017488,6.059523809523809,483,4,2,No,Yes,30,0.35714285714285715,0.04090535714285716,Yes,0.011904761904761904,0.11904761904761904,0.05952380952380952,0.6785714285714286,0.05952380952380952,0.5952380952380952,2.4083333333333337,2.1966666666666668,6.0375,79.9,No,No,30,3,,,,True
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Open,Cover 2,17,163,163,0.803680981595092,8,113,0.6932515337423313,0.8175675675675675,0.06031184134459455,3,11,43,0.049079754601226995,1153,7.07361963190184,0.401561144839549,6.153374233128834,984,6,1,Yes,No,47,0.2883435582822086,-0.03322944785276075,No,,0.09815950920245399,0.024539877300613498,0.6196319018404908,0.06748466257668712,0.6441717791411042,2.4392638036809817,2.321276595744681,6.604026845637584,86.3,No,Yes,57,6,,,,True
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 0,17,53,53,0.6981132075471698,3,31,0.5849056603773585,0.7906976744186046,0.03799033269767449,7,1,9,0.05660377358490566,325,6.132075471698113,0.48,6.7924528301886795,289,1,2,No,No,21,0.39622641509433965,0.039440566037735866,No,,0.11320754716981132,,0.4339622641509434,0.09433962264150944,0.5849056603773585,2.6433962264150943,2.5095238095238095,6.4222222222222225,93.7,No,Yes,18,4,1,0.018867924528301886,0.03773584905660377,
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,95,95,0.8421052631578947,5,74,0.7789473684210526,0.8369565217391305,0.06336840058695647,,3,15,0.031578947368421054,708,7.4526315789473685,0.4209039548022599,7.557894736842106,537,2,,Yes,No,22,0.23157894736842105,-0.08503684210526317,No,0.010526315789473684,0.11578947368421053,0.021052631578947368,0.631578947368421,0.11578947368421053,0.7368421052631579,2.4105263157894736,2.3545454545454545,5.836956521739131,106.5,No,Yes,35,5,,,,True
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Prevent,17,93,93,0.8709677419354839,5,74,0.7956989247311828,0.9080459770114943,0.13463937421839078,1,5,44,0.053763440860215055,711,7.645161290322581,0.41068917018284107,8.236559139784946,529,1,1,No,No,25,0.26881720430107525,-0.04895053763440859,No,0.021505376344086023,0.053763440860215055,,0.5591397849462365,0.12903225806451613,0.7526881720430108,2.417204301075269,2.32,6.080459770114943,112,No,Yes,40,5,,,0.021505376344086023,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 0,17,112,112,0.8392857142857143,8,85,0.7589285714285714,0.8490566037735849,0.09579399351886797,1,3,25,0.044642857142857144,927,8.276785714285714,0.4401294498381877,8.142857142857142,732,3,1,Yes,Yes,27,0.24107142857142858,-0.11254107142857141,Yes,0.008928571428571428,0.10714285714285714,0.03571428571428571,0.6517857142857143,0.0625,0.7232142857142857,2.625,2.644444444444445,6.761467889908257,106.5,No,Yes,46,6,,,0.017857142857142856,True
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 0,17,95,95,0.8421052631578947,6,66,0.6947368421052632,0.8369565217391305,0.08495003285869573,2,,77,0.11578947368421053,708,7.4526315789473685,0.4307909604519774,7.347368421052631,633,2,1,No,No,31,0.3263157894736842,-0.005552631578947367,Yes,,0.12631578947368421,0.042105263157894736,0.6210526315789474,0.08421052631578947,0.6631578947368421,2.4989473684210526,2.5548387096774197,6.806451612903226,96.3,No,No,44,4,1,0.010526315789473684,0.021052631578947368,
