teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsSpiked,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 4,17,223,223,0.34977578475336324,19,0.21965317919075145,-0.4126822615260116,23,5,16,371,0.17040358744394618,2451,10,No,Yes,97,0.4349775784753363,0.03319237668161434,No,0.017937219730941704,0.37668161434977576,45,0.20179372197309417,0.013452914798206279,0.03139013452914798,0.5515695067264574,0.03587443946188341,0.14349775784753363,2.897309417040359,2.568041237113402,13.782122905027933,39.6,No,No
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 0,17,168,168,0.2976190476190476,19,0.21052631578947367,-0.43319871734586457,24,2,6,246,0.16666666666666666,1756,9,No,No,78,0.4642857142857143,0.06965297619047621,Yes,0.011904761904761904,0.47619047619047616,38,0.2261904761904762,0.017857142857142856,0.041666666666666664,0.5892857142857143,0.05357142857142857,0.16666666666666666,2.8607142857142858,2.471794871794872,13.205882352941176,39.6,No,No
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,169,169,0.21893491124260356,19,0.18181818181818182,-0.43999783051239677,37,2,8,179,0.1301775147928994,1735,7,No,No,88,0.5207100591715976,0.08827307692307691,Yes,0.023668639053254437,0.46745562130177515,30,0.17751479289940827,0.005917159763313609,,0.5384615384615384,0.03550295857988166,0.11242603550295859,3.0798816568047336,2.5875,14.270491803278688,39.6,No,No
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Prevent,17,157,157,0.31210191082802546,15,0.23140495867768596,-0.40363007842148757,19,3,12,210,0.17834394904458598,1721,12,No,No,71,0.45222929936305734,0.009509872611464947,No,0.012738853503184714,0.4267515923566879,32,0.20382165605095542,0.06369426751592357,0.01910828025477707,0.47770700636942676,0.05732484076433121,0.14012738853503184,3.137579617834395,2.5408450704225354,13.951219512195122,39.6,No,No
13,Houston,Texans,True,IND,AFC,AFC South,Open,Open,Cover 2,17,200,200,0.33,11,0.21232876712328766,-0.4196912756712329,30,2,14,263,0.155,2121,2,No,No,88,0.44,0.043132999999999984,Yes,0.02,0.38,37,0.185,0.045,0.04,0.52,0.03,0.22,2.8739999999999997,2.522727272727273,13.772727272727273,39.6,No,Yes
21,Minnesota,Vikings,True,GB,NFC,NFC North,Open,Open,Red Zone,17,160,160,0.24375,13,0.23148148148148148,-0.4564996109814815,30,1,18,179,0.15625,1161,6,Yes,Yes,75,0.46875,0.09586593749999998,Yes,0.00625,0.41875,16,0.1,0.04375,0.00625,0.4875,0.04375,0.15,2.7356249999999998,2.3466666666666667,10.45945945945946,39.6,No,No
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 2,17,200,200,0.35,17,0.18292682926829268,-0.4307318921768292,23,,9,386,0.15,2486,3,Yes,Yes,83,0.415,-0.0026100000000000277,Yes,0.015,0.435,46,0.23,0.06,0.04,0.605,0.03,0.155,2.9960000000000004,2.701204819277108,14.797619047619047,39.6,No,No
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,169,169,0.25443786982248523,13,0.192,-0.4330789735119999,24,5,13,251,0.14201183431952663,1786,11,No,Yes,65,0.38461538461538464,-0.08153076923076924,No,0.011834319526627219,0.46745562130177515,33,0.1952662721893491,0.08284023668639054,0.029585798816568046,0.5443786982248521,0.029585798816568046,0.11834319526627218,3.2715976331360945,2.672307692307692,14.062992125984252,39.6,No,No
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,179,179,0.2011173184357542,15,0.13970588235294118,-0.5140788174191175,23,3,12,102,0.10614525139664804,1848,11,No,Yes,81,0.45251396648044695,0.05134329608938547,No,0.0223463687150838,0.5363128491620112,33,0.18435754189944134,0.027932960893854747,0.00558659217877095,0.547486033519553,0.07262569832402235,0.10614525139664804,2.897765363128492,2.3246913580246913,13.049295774647888,39.6,No,No
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Open,Cover 4,17,217,217,0.3087557603686636,21,0.1724137931034483,-0.4602138166494252,27,1,9,184,0.1382488479262673,2349,23,No,Yes,97,0.4470046082949309,0.04287419354838706,No,0.004608294930875576,0.46543778801843316,45,0.2073732718894009,0.06451612903225806,0.013824884792626729,0.5898617511520737,0.06451612903225806,0.12903225806451613,2.9170506912442398,2.5195876288659793,12.988888888888889,39.6,No,No
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,215,215,0.25116279069767444,29,0.15950920245398773,-0.4896572517730061,34,2,10,190,0.12093023255813953,2115,13,No,Yes,93,0.4325581395348837,0.026974883720930223,Yes,0.013953488372093023,0.4790697674418605,35,0.16279069767441862,0.046511627906976744,0.03255813953488372,0.5627906976744186,0.03255813953488372,0.13488372093023257,2.924186046511628,2.5806451612903225,12.529411764705882,39.6,No,No
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Red Zone,17,182,182,0.24725274725274726,14,0.15267175572519084,-0.5280176615572519,38,4,6,88,0.10989010989010989,1462,4,Yes,Yes,91,0.5,0.07070521978021982,Yes,0.016483516483516484,0.43956043956043955,26,0.14285714285714285,0.06043956043956044,0.005494505494505495,0.47802197802197804,0.054945054945054944,0.14285714285714285,3.0598901098901097,2.6153846153846154,10.829629629629629,39.6,No,No
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 6,17,135,135,0.3037037037037037,12,0.22123893805309736,-0.41549055999115037,17,1,2,235,0.18518518518518517,1591,13,No,Yes,57,0.4222222222222222,-0.02377370370370368,Yes,0.022222222222222223,0.5111111111111111,32,0.23703703703703705,0.05185185185185185,0.02962962962962963,0.5555555555555556,0.044444444444444446,0.17037037037037037,3.1592592592592594,2.585964912280702,13.947826086956521,39.6,No,No
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 4,17,179,179,0.3240223463687151,17,0.19014084507042253,-0.46460843621830994,26,1,6,259,0.15083798882681565,1792,10,Yes,Yes,65,0.36312849162011174,-0.022671229050279317,No,0.0111731843575419,0.43575418994413406,30,0.16759776536312848,0.03910614525139665,0.0223463687150838,0.6312849162011173,0.03910614525139665,0.2122905027932961,2.810614525139665,2.64,12.210884353741497,39.6,No,No
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Closed,Cover 1,17,207,207,0.34782608695652173,23,0.21637426900584794,-0.4523176960877194,25,,6,263,0.178743961352657,1957,6,No,No,88,0.4251207729468599,0.06715410628019321,No,0.014492753623188406,0.4396135265700483,34,0.1642512077294686,0.05314009661835749,0.004830917874396135,0.5652173913043478,0.09178743961352658,0.15942028985507245,2.65024154589372,2.3613636363636363,11.085227272727273,39.6,No,No
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Open,Cover 6,17,167,167,0.2754491017964072,12,0.16793893129770993,-0.4789826528778626,25,2,6,218,0.1317365269461078,1693,6,No,Yes,81,0.48502994011976047,0.0669880239520958,Yes,,0.46107784431137727,30,0.17964071856287425,0.059880239520958084,0.023952095808383235,0.5568862275449101,0.05389221556886228,0.15568862275449102,2.996407185628742,2.5703703703703704,12.632352941176471,39.6,No,No
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Open,Open,Miscellaneous,17,175,175,0.2742857142857143,21,0.16666666666666666,-0.45621717513768123,20,5,11,253,0.13142857142857142,2017,12,No,No,75,0.42857142857142855,0.042725714285714304,No,0.011428571428571429,0.48,42,0.24,0.04,0.02857142857142857,0.6057142857142858,0.017142857142857144,0.15428571428571428,2.806857142857143,2.513333333333333,14.428571428571429,39.6,No,No
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 0,17,196,196,0.25510204081632654,17,0.11333333333333333,-0.5480700547733334,26,4,10,74,0.08673469387755102,1894,12,No,No,82,0.41836734693877553,0.03518316326530611,Yes,0.015306122448979591,0.45408163265306123,35,0.17857142857142858,0.03571428571428571,0.015306122448979591,0.5612244897959183,0.05102040816326531,0.12755102040816327,2.7928571428571427,2.497560975609756,12.147435897435898,39.6,No,No
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,154,154,0.2727272727272727,14,0.08108108108108109,-0.5667356967117116,25,,7,98,0.05844155844155844,1462,14,No,Yes,74,0.4805194805194805,0.0613233766233766,No,0.006493506493506494,0.42857142857142855,26,0.16883116883116883,0.025974025974025976,0.025974025974025976,0.5194805194805194,0.045454545454545456,0.18831168831168832,3.0051948051948054,2.539189189189189,12.098360655737705,39.6,No,No
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Cover 2,17,216,216,0.3148148148148148,27,0.1952662721893491,-0.4501280157928994,25,5,10,272,0.1527777777777778,2241,11,No,No,100,0.46296296296296297,0.04867569444444442,Yes,0.032407407407407406,0.4398148148148148,42,0.19444444444444445,0.032407407407407406,0.027777777777777776,0.5046296296296297,0.0787037037037037,0.14814814814814814,2.972685185185185,2.5789999999999997,12.841807909604519,39.6,No,Yes
