teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingIncompletionsBatted,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingIncompletionsThrownAway
13,Houston,Texans,True,IND,AFC,AFC South,Closed,Open,Cover 4,15,19,19,0.21052631578947367,1,0.16666666666666666,-0.42365348644444445,33,0.15789473684210525,-45,297,19,No,Yes,10,0.5263157894736842,0.13979210526315788,No,0.05263157894736842,0.6842105263157895,5,0.2631578947368421,0.631578947368421,0.7894736842105263,0.05263157894736842,2.8157894736842106,2.57,15.631578947368421,No,No,,,,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 1,14,15,15,,3,,-0.49460436830769233,,,-45,301,15,No,No,5,0.3333333333333333,-0.13441666666666668,No,,0.7333333333333333,8,0.5333333333333333,0.8,0.7333333333333333,,3.2866666666666666,2.7600000000000002,21.5,No,No,1,,,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 2,15,23,23,0.13043478260869565,5,0.045454545454545456,-0.5117430539545454,8,0.043478260869565216,-45,414,23,No,No,9,0.391304347826087,-0.07049565217391303,No,,0.8260869565217391,9,0.391304347826087,0.9130434782608695,0.6956521739130435,0.043478260869565216,3.252173913043478,2.9000000000000004,18.695652173913043,No,No,,0.08695652173913043,,
1,Arizona,Cardinals,,LA,NFC,NFC West,Closed,Closed,Cover 1,15,10,10,,,,-0.5891044259999999,,,-45,102,10,No,No,4,0.4,-0.016575000000000006,No,,0.5,1,0.1,0.5,0.5,,2.9899999999999998,2.35,14.571428571428571,Yes,Yes,3,,,
24,New York,Giants,True,DAL,NFC,NFC East,Open,Closed,Cover 3,13,9,9,0.2222222222222222,,0.25,-0.445484986625,9,0.2222222222222222,-45,79,9,Yes,Yes,4,0.4444444444444444,0.13731111111111108,No,,0.5555555555555556,1,0.1111111111111111,0.5555555555555556,0.8888888888888888,,2.3555555555555556,2.125,9.875,No,No,1,,,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Red Zone,12,6,6,,1,,-0.6240934655,,,-45,77,6,No,No,2,0.3333333333333333,-0.10221666666666669,No,,1,2,0.3333333333333333,1,0.8333333333333334,,3.1,2.45,12.833333333333334,No,Yes,,,1,
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Open,Closed,Cover 1,13,15,15,,,,-0.632210838125,,,-45,106,15,No,No,5,0.3333333333333333,-0.04701666666666669,No,0.06666666666666667,0.5333333333333333,1,0.06666666666666667,0.5333333333333333,0.26666666666666666,,2.7800000000000002,2.54,11.777777777777779,No,No,6,,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 2,13,10,10,0.1,1,0.1111111111111111,-0.49788574877777775,-4,0.1,-45,140,10,No,No,6,0.6,0.104075,No,,0.7,3,0.3,0.6,0.4,,3.45,2.4833333333333334,14,No,No,,0.1,2,
4,Buffalo,Bills,,CLV,AFC,AFC North,Closed,Open,Cover 6,13,13,13,0.23076923076923078,,0.1,-0.49282751140000003,2,0.07692307692307693,-45,206,13,Yes,No,3,0.23076923076923078,-0.09597307692307694,No,0.07692307692307693,0.5384615384615384,4,0.3076923076923077,0.6923076923076923,0.6153846153846154,,2.4692307692307693,1.7333333333333334,18.727272727272727,No,No,3,0.07692307692307693,,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Red Zone,15,13,13,0.5384615384615384,2,0.25,-0.357388967,36,0.23076923076923078,-45,183,13,No,No,4,0.3076923076923077,-0.09070384615384615,No,,0.38461538461538464,3,0.23076923076923078,0.46153846153846156,0.6153846153846154,,2.8846153846153846,2.5,15.25,No,No,1,0.3076923076923077,1,
