teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingRunPassOptionPercentage
2,Atlanta,Falcons,True,NO,NFC,NFC South,Closed,Closed,Cover 3,17,57,-6.421052631578948,57,20,5,-366,1,Yes,Yes,56,0.9824561403508771,0.9824561403508771,No,3.363157894736842,2.3892857142857147,No,No,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,42,-5.928571428571429,42,11,7,-249,1,No,Yes,42,1,1,No,3.8476190476190473,2.6285714285714286,No,No,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Cover 6,17,35,-5.714285714285714,35,13,2,-200,1,No,Yes,34,0.9714285714285714,0.9714285714285714,No,3.7857142857142856,2.7029411764705884,No,No,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 6,17,53,-7.113207547169812,53,20,5,-377,1,No,Yes,53,1,1,No,3.5283018867924527,2.5867924528301884,No,No,0.018867924528301886
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,42,-5.9523809523809526,42,10,5,-250,1,No,Yes,42,1,1,No,4.15,2.6142857142857143,No,No,0.023809523809523808
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Open,Closed,Cover 3,17,48,-6.0625,48,9,3,-291,1,No,Yes,47,0.9791666666666666,0.9791666666666666,No,3.502083333333333,2.459574468085106,No,No,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Closed,Cover 1,17,20,-7.95,20,8,2,-159,1,Yes,Yes,20,1,1,Yes,3.44,2.605,No,No,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,35,-4.514285714285714,35,16,4,-158,1,Yes,Yes,34,0.9714285714285714,0.9714285714285714,Yes,3.442857142857143,2.4647058823529413,No,No,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Open,Cover 2,17,30,-6.333333333333333,30,6,7,-190,1,Yes,Yes,28,0.9333333333333333,0.9333333333333333,Yes,3.646666666666667,2.4464285714285716,No,No,0.06666666666666667
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Open,Closed,Cover 3,17,36,-6.277777777777778,36,10,5,-226,1,No,Yes,36,1,1,No,3.8388888888888886,2.5305555555555554,No,No,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Red Zone,17,30,-6.833333333333333,30,2,3,-205,1,No,Yes,30,1,1,No,3.2866666666666666,2.46,No,No,
6,Chicago,Bears,True,DET,NFC,NFC North,Closed,Closed,Cover 3,17,35,-5.828571428571428,35,13,1,-204,1,Yes,Yes,34,0.9714285714285714,0.9714285714285714,No,3.968571428571429,2.9205882352941175,No,No,
24,New York,Giants,True,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,39,-6.82051282051282,39,8,1,-266,1,Yes,Yes,39,1,1,No,3.5435897435897434,2.41025641025641,No,No,0.05128205128205128
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Closed,Cover 3,17,39,-6.333333333333333,39,9,4,-247,1,Yes,Yes,39,1,1,No,3.923076923076923,2.5076923076923077,No,No,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Red Zone,17,68,-6.235294117647059,68,13,9,-424,1,No,Yes,67,0.9852941176470589,0.9852941176470589,No,3.5941176470588236,2.491044776119403,No,No,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Closed,Cover 1,16,47,-6.851063829787234,47,16,5,-322,1,Yes,Yes,47,1,1,Yes,3.3617021276595747,2.3893617021276596,No,No,0.0425531914893617
22,New England,Patriots,True,MIA,AFC,AFC East,Open,Open,Cover 4,17,35,-6.3428571428571425,35,16,9,-222,1,No,Yes,35,1,1,No,4.017142857142857,2.5085714285714285,No,No,
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Open,Cover 2,17,37,-7.648648648648648,37,15,3,-283,1,Yes,Yes,37,1,1,Yes,3.564864864864865,2.5216216216216214,No,No,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Red Zone,16,47,-6.468085106382978,47,20,6,-304,1,No,Yes,47,1,1,No,3.5,2.459574468085106,No,No,
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,42,-7.190476190476191,42,10,5,-302,1,No,Yes,41,0.9761904761904762,0.9761904761904762,No,3.3214285714285716,2.526829268292683,No,No,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,30,-6.3,30,8,3,-189,1,No,Yes,30,1,1,No,3.9099999999999997,2.5133333333333336,No,No,
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Cover 4,17,36,-6,36,5,2,-216,1,No,Yes,36,1,1,Yes,3.658333333333333,2.5444444444444443,No,No,
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 4,17,39,-6.205128205128205,39,15,3,-242,1,No,Yes,37,0.9487179487179487,0.9487179487179487,No,3.6948717948717946,2.6270270270270273,No,No,
25,New York,Jets,,BUF,AFC,AFC East,Open,Closed,Cover 3,17,26,-6.730769230769231,26,9,1,-175,1,No,Yes,24,0.9230769230769231,0.9230769230769231,No,3.319230769230769,2.720833333333333,No,No,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,45,-5.688888888888889,45,15,9,-256,1,No,Yes,45,1,1,No,3.7266666666666666,2.6222222222222222,No,No,
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Open,Cover 4,17,32,-7.0625,32,9,4,-226,1,No,Yes,32,1,1,No,4.2,2.6593750000000003,No,No,
13,Houston,Texans,True,IND,AFC,AFC South,Open,Closed,Cover 3,17,47,-7.787234042553192,47,9,4,-366,1,Yes,Yes,44,0.9361702127659575,0.9361702127659575,No,3.721276595744681,2.6159090909090907,No,No,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Open,Open,Cover 4,17,49,-6.673469387755102,49,11,11,-327,1,No,Yes,46,0.9387755102040817,0.9387755102040817,Yes,3.773469387755102,2.3,No,No,0.02040816326530612
11,Detroit,Lions,,CHI,NFC,NFC North,Closed,Closed,Cover 3,17,49,-6.775510204081633,49,8,2,-332,1,Yes,Yes,47,0.9591836734693877,0.9591836734693877,No,3.7020408163265306,2.6361702127659576,No,No,0.061224489795918366
23,New Orleans,Saints,,ATL,NFC,NFC South,Closed,Closed,Cover 3,17,45,-6.444444444444445,45,10,4,-290,1,Yes,Yes,44,0.9777777777777777,0.9777777777777777,No,3.8244444444444445,2.6568181818181817,No,No,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,35,-7,35,11,5,-245,1,Yes,Yes,34,0.9714285714285714,0.9714285714285714,No,3.742857142857143,2.552941176470588,No,No,
