teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,17,145,122,0.8032786885245902,5,92,0.7540983606557377,0.8508771929824561,0.07187005247368417,6,1,21,0.040983606557377046,1034,8.475409836065573,0.5899419729206963,8.007633587786259,620,8,2,9,3,10,-55,0.06206896551724138,Yes,No,50,0.3448275862068966,0.02844931034482757,Yes,0.11724137931034483,0.13114754098360656,7,0.05737704918032787,0.02459016393442623,0.040983606557377046,0.7377049180327869,0.09016393442622951,0.639344262295082,2.7549180327868856,3.8666666666666663,5.735714285714286,2.812,5.48695652173913,115.3,No,Yes,54,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,146,129,0.7674418604651163,5,90,0.6976744186046512,0.7786885245901639,0.03820010952459019,4,3,13,0.03875968992248062,1161,9,0.5788113695090439,8.963235294117647,1008,7,1,7,5,4,-37,0.04794520547945205,Yes,No,59,0.4041095890410959,0.03463390410958905,Yes,0.08904109589041095,0.17054263565891473,17,0.13178294573643412,0.015503875968992248,0.023255813953488372,0.627906976744186,0.06976744186046512,0.6356589147286822,2.9992248062015503,4.557142857142857,5.25,2.935593220338983,8.262295081967213,112.6,No,Yes,54,True
3,Baltimore,Ravens,PIT,AFC,AFC North,Open,Open,Cover 0,17,157,144,0.7708333333333334,5,104,0.7222222222222222,0.803030303030303,0.03383987699999991,6,3,14,0.013888888888888888,1055,7.326388888888889,0.5497630331753555,7.136054421768708,878,5,2,3,,1,-16,0.01910828025477707,Yes,No,52,0.33121019108280253,-0.018063375796178324,No,0.1337579617834395,0.14583333333333334,11,0.0763888888888889,0.027777777777777776,0.020833333333333332,0.6388888888888888,0.18055555555555555,0.6597222222222222,2.7826388888888887,3.466666666666667,4.88,2.9384615384615387,6.5661764705882355,98.6,No,Yes,49,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Red Zone,17,169,151,0.7019867549668874,8,94,0.6225165562913907,0.7443609022556391,-0.014546528067669207,15,,7,0.033112582781456956,939,6.218543046357616,0.5111821086261981,6.280254777070064,927,8,2,6,2,10,-23,0.03550295857988166,Yes,Yes,82,0.48520710059171596,0.06685473372781067,Yes,0.08284023668639054,0.16556291390728478,13,0.08609271523178808,0.046357615894039736,0.039735099337748346,0.5231788079470199,0.09271523178807947,0.5033112582781457,3.2894039735099336,4.216666666666667,5.658333333333334,2.995121951219512,6.8161764705882355,92,No,No,53,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,189,170,0.788235294117647,8,121,0.711764705882353,0.8,0.06006465118064519,11,1,72,0.01764705882352941,1484,8.729411764705882,0.5950134770889488,8.691428571428572,1203,6,1,5,1,8,-38,0.026455026455026454,Yes,No,69,0.36507936507936506,0.010324603174603202,No,0.0582010582010582,0.11764705882352941,21,0.12352941176470589,0.011764705882352941,0.047058823529411764,0.6352941176470588,0.11764705882352941,0.6588235294117647,2.860588235294118,3.78,5.321428571428571,2.782608695652174,7.6265822784810124,107.1,No,Yes,69,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,198,180,0.8222222222222222,15,136,0.7555555555555555,0.8674698795180723,0.10567026011445779,13,1,47,0.044444444444444446,1650,9.166666666666666,0.5721212121212121,11.106951871657754,1088,23,,7,1,7,-33,0.03535353535353535,Yes,No,57,0.2878787878787879,-0.054496212121212126,No,0.1111111111111111,0.09444444444444444,11,0.06111111111111111,0.005555555555555556,0.016666666666666666,0.7388888888888889,0.07222222222222222,0.6444444444444445,2.7583333333333333,3.6999999999999997,5.5636363636363635,3.06140350877193,6.554216867469879,142.8,No,Yes,84,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,160,136,0.7352941176470589,5,88,0.6470588235294118,0.7661290322580645,0.0054817281612903335,9,3,46,0.051470588235294115,1036,7.617647058823529,0.6776061776061776,6.875,879,6,3,8,5,11,-31,0.05,Yes,No,63,0.39375,0.07096999999999998,No,0.13125,0.16911764705882354,14,0.10294117647058823,0.022058823529411766,0.014705882352941176,0.6838235294117647,0.08823529411764706,0.5514705882352942,2.7764705882352945,3.8375,5.1499999999999995,2.7634920634920634,7.088709677419355,93.3,No,Yes,47,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,170,153,0.7581699346405228,9,105,0.6862745098039216,0.8085106382978723,0.07479841921985808,9,2,64,0.058823529411764705,1211,7.915032679738562,0.4715111478117259,6.39375,1202,6,6,7,1,8,-38,0.041176470588235294,Yes,No,58,0.3411764705882353,0.0029608823529411617,No,0.12941176470588237,0.16993464052287582,21,0.13725490196078433,0.0457516339869281,0.032679738562091505,0.6928104575163399,0.0718954248366013,0.5555555555555556,2.75359477124183,3.814285714285714,4.71,2.927586206896552,8.450704225352112,89,No,Yes,59,True
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,157,142,0.7183098591549296,9,89,0.6267605633802817,0.768,0.029903575488000045,14,1,55,0.04929577464788732,973,6.852112676056338,0.5323741007194245,5.233333333333333,1053,5,5,8,2,3,-63,0.050955414012738856,Yes,No,62,0.39490445859872614,0.03063312101910826,Yes,0.11464968152866242,0.15492957746478872,17,0.11971830985915492,0.056338028169014086,0.07746478873239436,0.6408450704225352,0.09154929577464789,0.5140845070422535,2.9098591549295776,3.3125,4.814285714285715,2.770967741935484,8.291338582677165,79.9,No,Yes,42,True
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 0,17,194,167,0.7724550898203593,12,108,0.6467065868263473,0.7452229299363057,0.04651777185350314,7,1,167,0.05389221556886228,1314,7.868263473053892,0.4010654490106545,6.830601092896175,1673,11,4,16,5,6,-104,0.08247422680412371,Yes,Yes,72,0.3711340206185567,0.016030412371134,Yes,0.11855670103092783,0.16766467065868262,28,0.16766467065868262,0.041916167664670656,0.0658682634730539,0.718562874251497,0.07784431137724551,0.49700598802395207,2.9664670658682635,3.7937499999999997,5.163636363636363,2.9124999999999996,10.522012578616351,100.7,No,Yes,65,
