teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTowThrowPercentage
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 2,17,39,39,1,2,24,0.6153846153846154,0.8717948717948718,0.14789973605128215,89,0.2564102564102564,267,6.846153846153846,0.3445692883895131,5.6923076923076925,323,1,1,No,No,10,0.2564102564102564,-0.07563974358974357,Yes,5,0.1282051282051282,0.02564102564102564,0.6923076923076923,0.10256410256410256,2.5,2.73,8.282051282051283,71.2,No,Yes,14,,,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 4,17,47,47,1,3,34,0.723404255319149,0.851063829787234,0.157401288212766,38,0.1276595744680851,364,7.74468085106383,0.2032967032967033,8.063829787234043,471,1,1,Yes,Yes,12,0.2553191489361702,-0.11783723404255322,No,7,0.14893617021276595,0.0425531914893617,0.6170212765957447,0.1276595744680851,2.7382978723404254,2.3833333333333333,10.02127659574468,107,No,Yes,22,True,3,,
18,Los Angeles,Chargers,HST,AFC,AFC South,Closed,Closed,Cover 3,16,29,29,1,2,22,0.7586206896551724,0.9310344827586207,0.1661930574827586,35,0.1724137931034483,194,6.689655172413793,0.35051546391752575,5.827586206896552,172,1,1,Yes,No,6,0.20689655172413793,-0.16024827586206897,No,1,0.034482758620689655,,0.7931034482758621,0.10344827586206896,2.703448275862069,2.733333333333333,5.931034482758621,90.3,No,Yes,11,True,1,0.034482758620689655,
25,New York,Jets,BUF,AFC,AFC East,Closed,Open,Cover 2,17,25,25,1,1,22,0.88,0.92,0.16243202,30,0.04,260,10.4,0.5076923076923077,11.2,166,,,No,No,3,0.12,-0.19618,No,2,0.08,0.08,0.76,0.08,2.408,2.8333333333333335,6.64,123.3,No,Yes,13,,1,0.08,0.04
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Cover 2,16,33,33,1,2,30,0.9090909090909091,0.9393939393939394,0.21408477096969702,4,0.030303030303030304,351,10.636363636363637,0.36182336182336183,11.848484848484848,258,,,No,Yes,9,0.2727272727272727,-0.04573181818181818,No,4,0.12121212121212122,0.09090909090909091,0.7575757575757576,0.12121212121212122,2.4212121212121214,2.411111111111111,7.818181818181818,131.2,No,Yes,16,,2,0.030303030303030304,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Cover 2,17,38,38,1,4,31,0.8157894736842105,0.9210526315789473,0.1882884742105263,11,0.10526315789473684,329,8.657894736842104,0.2826747720364742,10.236842105263158,314,,1,No,No,15,0.39473684210526316,0.015930263157894725,No,4,0.10526315789473684,0.10526315789473684,0.6052631578947368,0.13157894736842105,2.7710526315789474,2.566666666666667,8.263157894736842,129.1,Yes,Yes,16,,3,0.02631578947368421,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,32,32,1,,27,0.84375,1,0.30003171153124997,66,0.15625,304,9.5,0.18421052631578946,10.125,314,,1,No,Yes,9,0.28125,-0.10740156249999999,Yes,6,0.1875,0.15625,0.59375,0.15625,2.828125,2.822222222222222,9.8125,116.7,Yes,Yes,16,,1,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,27,27,1,3,20,0.7407407407407407,0.9259259259259259,0.18000771074074084,30,0.18518518518518517,226,8.37037037037037,0.3495575221238938,9.851851851851851,209,,,No,No,10,0.37037037037037035,-0.007040740740740714,No,2,0.07407407407407407,0.037037037037037035,0.6296296296296297,0.14814814814814814,2.7629629629629626,2.66,7.7407407407407405,123.4,No,Yes,11,,2,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Open,Cover 2,17,32,32,1,1,24,0.75,0.875,0.14378487634375003,48,0.125,224,7,0.375,7.625,250,,1,No,No,8,0.25,-0.1494328125,No,4,0.125,0.03125,0.59375,0.09375,2.890625,2.7,7.8125,104.2,No,Yes,9,True,1,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 2,17,45,45,1,4,30,0.6666666666666666,0.7555555555555555,0.08423242702222222,26,0.08888888888888889,409,9.088888888888889,0.22982885085574573,10.866666666666667,511,,,No,Yes,8,0.17777777777777778,-0.18685555555555555,No,6,0.13333333333333333,0.1111111111111111,0.8444444444444444,0.022222222222222223,2.688888888888889,2.6875,11.355555555555556,125.1,Yes,Yes,21,,4,0.022222222222222223,
23,New Orleans,Saints,ATL,NFC,NFC South,Closed,Open,Cover 4,17,27,27,1,2,21,0.7777777777777778,0.9629629629629629,0.22306707874074072,85,0.18518518518518517,187,6.925925925925926,0.5347593582887701,8.407407407407407,196,,3,No,No,6,0.2222222222222222,-0.16924444444444442,No,3,0.1111111111111111,,0.7407407407407407,0.037037037037037035,2.8444444444444446,2.6,7.2592592592592595,120.2,Yes,Yes,11,,2,0.037037037037037035,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Cover 2,17,26,26,1,1,22,0.8461538461538461,0.9615384615384616,0.21637500850000002,41,0.11538461538461539,219,8.423076923076923,0.4657534246575342,9.192307692307692,196,,,No,No,10,0.38461538461538464,0.05521923076923079,No,1,0.038461538461538464,,0.7692307692307693,0.11538461538461539,2.4846153846153842,2.2600000000000002,7.538461538461538,114.6,Yes,Yes,14,True,1,0.038461538461538464,
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 2,17,23,23,1,2,19,0.8260869565217391,0.9130434782608695,0.17818088043478253,20,0.08695652173913043,198,8.608695652173912,0.3333333333333333,8.391304347826088,183,1,,No,No,9,0.391304347826087,0.06450434782608695,Yes,2,0.08695652173913043,0.08695652173913043,0.782608695652174,0.17391304347826086,2.4695652173913043,2.433333333333333,7.956521739130435,113.4,No,Yes,12,True,2,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Open,Cover 2,16,28,28,1,2,18,0.6428571428571429,0.75,0.08475372999999997,62,0.10714285714285714,216,7.714285714285714,0.39351851851851855,6.821428571428571,361,1,1,No,No,8,0.2857142857142857,-0.13628214285714282,No,5,0.17857142857142858,0.03571428571428571,0.75,0.07142857142857142,3.0214285714285714,2.525,12.892857142857142,84.8,No,Yes,13,True,1,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 4,17,49,49,1,5,33,0.673469387755102,0.8163265306122449,0.09780479291836741,59,0.14285714285714285,367,7.489795918367347,0.34332425068119893,8.306122448979592,431,,,No,No,14,0.2857142857142857,-0.054432653061224516,No,6,0.12244897959183673,0.061224489795918366,0.7551020408163265,0.04081632653061224,2.546938775510204,2.292857142857143,8.795918367346939,103,Yes,Yes,21,,2,,0.02040816326530612
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Prevent,17,27,27,1,2,19,0.7037037037037037,0.8888888888888888,0.1617248533333333,38,0.18518518518518517,232,8.592592592592593,0.33189655172413796,9.333333333333334,228,,,No,No,3,0.1111111111111111,-0.21391111111111114,No,3,0.1111111111111111,0.037037037037037035,0.7407407407407407,0.1111111111111111,2.4592592592592593,2.466666666666667,8.444444444444445,108.9,No,Yes,11,,1,0.037037037037037035,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,15,29,29,1,3,20,0.6896551724137931,0.8620689655172413,0.15908145889655168,60,0.1724137931034483,263,9.068965517241379,0.39543726235741444,11.137931034482758,293,,,No,Yes,3,0.10344827586206896,-0.24109310344827586,No,4,0.13793103448275862,0.034482758620689655,0.7931034482758621,0.10344827586206896,2.572413793103448,3.033333333333333,10.10344827586207,131.8,Yes,Yes,11,True,3,0.06896551724137931,0.034482758620689655
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Open,Cover 2,17,24,24,1,3,15,0.625,0.7916666666666666,0.053522624416666664,40,0.16666666666666666,125,5.208333333333333,0.368,6.041666666666667,187,,1,No,No,7,0.2916666666666667,-0.02313333333333334,No,2,0.08333333333333333,,0.6666666666666666,0.08333333333333333,2.4,2.542857142857143,7.791666666666667,89.8,No,Yes,7,,1,0.041666666666666664,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,16,28,28,1,2,20,0.7142857142857143,0.8928571428571429,0.13133549910714293,59,0.17857142857142858,191,6.821428571428571,0.5078534031413613,7.357142857142857,180,1,,No,No,8,0.2857142857142857,-0.037094642857142875,No,3,0.10714285714285714,0.07142857142857142,0.7857142857142857,0.10714285714285714,2.4464285714285716,2.1625,6.428571428571429,110.9,No,Yes,12,True,3,0.07142857142857142,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,28,28,1,2,17,0.6071428571428571,0.8571428571428571,0.17622208057142852,78,0.25,234,8.357142857142858,0.358974358974359,9.785714285714286,303,,,No,Yes,6,0.21428571428571427,-0.13686250000000003,Yes,2,0.07142857142857142,,0.8571428571428571,,2.6107142857142853,2.566666666666667,10.821428571428571,111.3,Yes,Yes,13,True,2,,
