teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingHeroThrowPercentage
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,209,209,1,199,0.9521531100478469,0.9665071770334929,0.1409354407464115,10,0.014354066985645933,1528,7.311004784688995,0.6040575916230366,7.382775119617225,667,3,1,4,No,No,33,0.15789473684210525,-0.12199258373205743,No,0.07177033492822966,2,0.009569377990430622,0.009569377990430622,0.7416267942583732,0.10526315789473684,1,2.1976076555023925,2.590909090909091,3.1913875598086126,99.9,No,Yes,72,,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Cover 4,17,152,152,1,140,0.9210526315789473,0.9407894736842105,0.1116017092828947,3,0.019736842105263157,1116,7.342105263157895,0.6272401433691757,7.868421052631579,466,4,,3,No,No,28,0.18421052631578946,-0.11526875000000002,No,0.07894736842105263,1,0.006578947368421052,,0.7894736842105263,0.09868421052631579,1,2.311184210526316,2.4214285714285713,3.0657894736842106,106,No,Yes,56,1,0.006578947368421052
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 4,17,154,154,1,142,0.922077922077922,0.961038961038961,0.12810719643506485,10,0.03896103896103896,1273,8.266233766233766,0.7517674783974863,8.655844155844155,390,3,,6,No,No,32,0.2077922077922078,-0.07553214285714288,No,0.06493506493506493,3,0.01948051948051948,,0.7532467532467533,0.09090909090909091,1,2.2175324675324677,2.34375,2.5324675324675323,107.6,No,Yes,54,1,0.006493506493506494
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,151,151,1,137,0.9072847682119205,0.9602649006622517,0.12500208258278145,49,0.052980132450331126,1254,8.304635761589404,0.7567783094098883,9.364238410596027,371,8,,2,No,No,34,0.2251655629139073,-0.07386953642384106,No,0.09933774834437085,2,0.013245033112582781,,0.6754966887417219,0.1390728476821192,1,2.3086092715231787,2.4588235294117644,2.456953642384106,118.9,No,Yes,62,2,0.006622516556291391
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,196,196,1,184,0.9387755102040817,0.9642857142857143,0.14331768864795913,23,0.025510204081632654,1538,7.846938775510204,0.6430429128738622,7.923469387755102,671,3,1,2,No,No,40,0.20408163265306123,-0.10887015306122448,No,0.0663265306122449,4,0.02040816326530612,,0.7244897959183674,0.14285714285714285,1,2.3892857142857142,2.5975,3.423469387755102,102.3,No,Yes,68,2,0.00510204081632653
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,199,199,1,185,0.9296482412060302,0.9698492462311558,0.14346715918090447,14,0.04020100502512563,1437,7.221105527638191,0.6325678496868476,7.723618090452261,626,5,,4,Yes,No,44,0.22110552763819097,-0.09568819095477386,Yes,0.035175879396984924,5,0.02512562814070352,,0.5879396984924623,0.1658291457286432,1,2.4115577889447235,2.4727272727272727,3.1457286432160805,105.1,No,Yes,63,2,0.01507537688442211
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,17,185,185,1,174,0.9405405405405406,0.9675675675675676,0.14202808375675668,23,0.02702702702702703,1583,8.556756756756757,0.6835123183828175,9.421621621621622,600,8,,6,Yes,No,28,0.15135135135135136,-0.15999864864864866,Yes,0.04864864864864865,2,0.010810810810810811,0.005405405405405406,0.6864864864864865,0.12972972972972974,1,2.38,2.5749999999999997,3.2432432432432434,116.7,No,Yes,73,5,0.02702702702702703
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,199,199,1,187,0.9396984924623115,0.9748743718592965,0.16529897934170856,49,0.035175879396984924,1735,8.71859296482412,0.6172910662824207,9.321608040201005,778,6,,2,No,No,51,0.2562814070351759,-0.06510653266331659,No,0.05527638190954774,4,0.020100502512562814,,0.6482412060301508,0.12060301507537688,1,2.4381909547738694,2.4313725490196076,3.909547738693467,113,No,Yes,84,3,0.010050251256281407
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Cover 0,17,207,207,1,193,0.9323671497584541,0.9710144927536232,0.1542565491497585,60,0.03864734299516908,1666,8.048309178743962,0.6134453781512605,8.70048309178744,761,9,1,4,No,No,41,0.19806763285024154,-0.1146490338164251,No,0.04830917874396135,2,0.00966183574879227,,0.7198067632850241,0.12560386473429952,1,2.3879227053140095,2.302439024390244,3.676328502415459,112.7,No,Yes,79,4,0.004830917874396135
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 3,17,126,126,1,118,0.9365079365079365,0.9761904761904762,0.15218921730952373,-1,0.03968253968253968,1127,8.944444444444445,0.6690328305235137,9.261904761904763,399,2,,1,Yes,No,33,0.2619047619047619,-0.05590714285714286,Yes,0.06349206349206349,3,0.023809523809523808,,0.6031746031746031,0.1349206349206349,1,2.4174603174603178,2.3515151515151516,3.1666666666666665,109.2,No,Yes,56,2,0.007936507936507936
