teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTouchdownsTotal
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Open,Closed,Cover 1,17,42,42,1,1,29,0.6904761904761905,0.8571428571428571,0.15699108752380941,39,0.16666666666666666,431,10.261904761904763,0.3805104408352668,10.261904761904763,432,1,No,Yes,13,0.30952380952380953,-0.05579404761904764,No,0.023809523809523808,8,0.19047619047619047,0.023809523809523808,0.7619047619047619,0.047619047619047616,2.6928571428571426,2.6384615384615384,10.285714285714286,102.4,Yes,Yes,20,,,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Open,Cover 2,17,19,19,1,,15,0.7894736842105263,0.8947368421052632,0.1526814073157895,1,0.10526315789473684,239,12.578947368421053,0.42677824267782427,10.210526315789474,150,,Yes,No,1,0.05263157894736842,-0.2594447368421053,No,0.15789473684210525,3,0.15789473684210525,0.05263157894736842,0.8947368421052632,0.05263157894736842,2.384210526315789,2.7,7.894736842105263,96.8,No,Yes,9,1,0.10526315789473684,
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 0,15,27,27,1,1,21,0.7777777777777778,0.8518518518518519,0.14306553240740738,8,0.07407407407407407,290,10.74074074074074,0.4724137931034483,12.962962962962964,246,,Yes,No,6,0.2222222222222222,-0.13793888888888886,No,0.037037037037037035,3,0.1111111111111111,,0.7777777777777778,,2.662962962962963,2.6,9.11111111111111,148.5,Yes,Yes,17,,,3
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 1,15,22,22,1,1,17,0.7727272727272727,0.8636363636363636,0.12099217740909085,4,0.09090909090909091,202,9.181818181818182,0.3910891089108911,9.181818181818182,166,1,Yes,Yes,8,0.36363636363636365,0.01041590909090908,Yes,,2,0.09090909090909091,,0.5909090909090909,,2.622727272727273,2.6875,7.545454545454546,104.7,No,Yes,10,,,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Closed,Cover 1,16,25,25,1,,19,0.76,0.92,0.14732806156,9,0.16,220,8.8,0.40454545454545454,8.8,151,,No,No,4,0.16,-0.1893,No,,2,0.08,,0.68,0.12,2.6,2.525,6.04,102.1,Yes,Yes,11,,,
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,16,20,20,1,1,15,0.75,0.95,0.17615791859999996,21,0.2,138,6.9,0.34782608695652173,4.65,127,,No,No,5,0.25,-0.07428750000000002,Yes,,1,0.05,,0.6,0.2,2.455,2.38,6.35,72.5,No,Yes,7,1,,
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Closed,Closed,Cover 3,15,26,26,1,,16,0.6153846153846154,0.9230769230769231,0.1861768601153847,37,0.3076923076923077,190,7.3076923076923075,0.2578947368421053,7.3076923076923075,221,1,No,No,8,0.3076923076923077,-0.030992307692307677,No,0.11538461538461539,3,0.11538461538461539,0.038461538461538464,0.6538461538461539,0.11538461538461539,2.5384615384615383,2.5,8.5,83.8,Yes,Yes,12,,,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Closed,Cover 1,15,26,26,1,3,22,0.8461538461538461,0.9230769230769231,0.23134381569230777,16,0.07692307692307693,301,11.576923076923077,0.18604651162790697,13.884615384615385,292,,Yes,No,8,0.3076923076923077,-0.04426153846153847,No,0.11538461538461539,6,0.23076923076923078,0.11538461538461539,0.7307692307692307,0.11538461538461539,2.6153846153846154,2.7875,11.23076923076923,153.4,No,Yes,13,,,3
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 1,16,29,29,1,1,26,0.896551724137931,1,0.24719393927586208,5,0.10344827586206896,304,10.482758620689655,0.3717105263157895,11.172413793103448,199,,Yes,Yes,9,0.3103448275862069,0.0003034482758620355,Yes,,4,0.13793103448275862,0.06896551724137931,0.6551724137931034,0.06896551724137931,2.372413793103448,2.5999999999999996,6.862068965517241,121.8,No,Yes,13,,,1
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Closed,Cover 3,13,21,21,1,1,15,0.7142857142857143,0.9523809523809523,0.300842042095238,7,0.23809523809523808,210,10,0.19523809523809524,10.952380952380953,194,2,No,No,5,0.23809523809523808,-0.2089547619047619,No,,2,0.09523809523809523,0.09523809523809523,0.7142857142857143,0.047619047619047616,3.1666666666666665,3.08,9.238095238095237,119.1,No,Yes,9,,,1
