teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingTargetedReadFirstPercentage
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Bracket,17,38,38,0.9473684210526315,33,0.868421052631579,0.9473684210526315,0.08436202384210512,2,0.07894736842105263,262,6.894736842105263,0.8435114503816794,5.7105263157894735,52,1,2,No,Yes,21,0.5526315789473685,0.09710789473684213,Yes,0.05263157894736842,1,0.02631578947368421,0.02631578947368421,0.9736842105263158,0.8421052631578947,3.2157894736842105,2.5238095238095237,1.368421052631579,84.4,No,Yes,6,,,,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,16,31,31,0.8387096774193549,20,0.6451612903225806,0.8387096774193549,-0.05077182151612902,3,0.1935483870967742,138,4.451612903225806,1.0724637681159421,4.451612903225806,4,,5,No,No,12,0.3870967741935484,-0.10855000000000001,No,0.16129032258064516,,,,1,0.7419354838709677,3.448387096774194,2.9333333333333336,0.12903225806451613,74.4,No,Yes,5,True,,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Closed,Cover 1,17,26,26,0.8461538461538461,19,0.7307692307692307,0.8076923076923077,-0.06889311065384618,-3,0.07692307692307693,145,5.576923076923077,0.9172413793103448,5.576923076923077,23,,1,Yes,No,15,0.5769230769230769,0.12345961538461535,Yes,0.15384615384615385,,,,1,0.5769230769230769,3.2038461538461536,2.493333333333333,0.8846153846153846,86.2,No,Yes,4,True,,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 6,17,30,30,0.8333333333333334,20,0.6666666666666666,0.7666666666666667,-0.09094550146666658,3,0.1,193,6.433333333333334,0.8393782383419689,7.766666666666667,60,,3,No,Yes,15,0.5,0.009249999999999996,No,0.16666666666666666,,,,1,0.6333333333333333,3.42,2.8666666666666667,2,106.7,No,No,11,True,2,,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 6,17,29,29,0.8620689655172413,22,0.7586206896551724,0.8275862068965517,-0.059639655448275875,-6,0.06896551724137931,126,4.344827586206897,0.8888888888888888,4.344827586206897,11,,,No,Yes,12,0.41379310344827586,0.011553448275862094,No,0.13793103448275862,,,,1,0.6551724137931034,2.9068965517241376,2.591666666666667,0.3793103448275862,83.4,No,No,4,,,,,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Closed,Cover 1,15,33,33,0.7878787878787878,22,0.6666666666666666,0.78125,-0.09553577874999997,,0.09090909090909091,204,6.181818181818182,0.8921568627450981,6.181818181818182,38,,3,Yes,No,17,0.5151515151515151,0.07123787878787877,Yes,0.21212121212121213,,,,1,0.6666666666666666,3.1484848484848484,2.6,1.2121212121212122,83.4,No,Yes,6,,,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Closed,Cover 3,15,29,29,0.9310344827586207,25,0.8620689655172413,0.9310344827586207,0.06323513455172414,2,0.06896551724137931,220,7.586206896551724,0.8590909090909091,7.586206896551724,42,,1,No,Yes,19,0.6551724137931034,0.1958293103448276,Yes,0.034482758620689655,,,,1,0.7241379310344828,3.237931034482759,2.9263157894736844,1.4482758620689655,98.3,No,Yes,6,,,,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,35,35,0.8857142857142857,30,0.8571428571428571,0.8857142857142857,0.0005190132285713966,1,0.02857142857142857,168,4.8,0.9047619047619048,4.8,18,,2,No,Yes,15,0.42857142857142855,-0.018807142857142876,Yes,0.11428571428571428,,,,1,0.7142857142857143,3.1685714285714286,2.5733333333333333,0.5142857142857142,86.7,No,No,5,True,,,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 4,17,27,27,0.9259259259259259,23,0.8518518518518519,0.8888888888888888,0.020170836518518476,3,0.037037037037037035,134,4.962962962962963,0.7910447761194029,4.962962962962963,38,,1,No,Yes,13,0.48148148148148145,-0.00901296296296301,No,0.07407407407407407,,,,1,0.7777777777777778,3.4185185185185185,2.8846153846153846,1.4074074074074074,87.3,Yes,Yes,6,,,,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,18,18,0.9444444444444444,16,0.8888888888888888,0.8888888888888888,0.011729090777777729,,,79,4.388888888888889,0.8860759493670886,4.388888888888889,16,,1,No,No,7,0.3888888888888889,-0.03516111111111112,No,0.05555555555555555,,,,1,0.7222222222222222,3.033333333333333,2.257142857142857,0.8888888888888888,85,No,Yes,4,True,,,,
5,Carolina,Panthers,TB,NFC,NFC South,Open,Closed,Cover 3,17,41,41,0.926829268292683,35,0.8536585365853658,0.9024390243902439,0.021820534878048803,4,0.04878048780487805,205,5,0.9414634146341463,5,17,,,No,No,15,0.36585365853658536,-0.05749512195121948,No,0.07317073170731707,,,,0.975609756097561,0.7073170731707317,3.029268292682927,2.64,0.4146341463414634,87.5,No,Yes,10,,,0.024390243902439025,,
6,Chicago,Bears,DET,NFC,NFC North,Closed,Open,Cover 2,17,36,36,0.8611111111111112,26,0.7222222222222222,0.8611111111111112,-0.02136549663888887,8,0.1388888888888889,94,2.611111111111111,0.9361702127659575,1.3611111111111112,20,1,,No,Yes,14,0.3888888888888889,-0.02318194444444445,No,0.1388888888888889,,,0.027777777777777776,0.9722222222222222,0.75,2.963888888888889,2.642857142857143,0.5555555555555556,63.2,No,No,5,True,,,1,0.027777777777777776
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Bracket,16,27,27,1,24,0.8888888888888888,0.9629629629629629,0.12384378814814812,8,0.07407407407407407,159,5.888888888888889,0.9119496855345912,5.888888888888889,22,,2,No,Yes,13,0.48148148148148145,0.02101481481481479,Yes,,,,,1,0.7407407407407407,3.244444444444444,2.8230769230769233,0.8148148148148148,91.2,No,Yes,6,True,,,,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 2,17,26,26,0.8461538461538461,19,0.7307692307692307,0.8461538461538461,-0.04775982269230772,-2,0.11538461538461539,93,3.576923076923077,0.978494623655914,4.346153846153846,3,,2,Yes,Yes,13,0.5,0.06245961538461541,No,0.11538461538461539,,,,0.9615384615384616,0.6923076923076923,3.1115384615384616,2.6769230769230767,0.11538461538461539,90.7,No,Yes,5,True,1,,,
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Open,Cover 2,17,43,43,0.7906976744186046,28,0.6511627906976745,0.7619047619047619,-0.12325008723809527,3,0.09302325581395349,161,3.744186046511628,0.937888198757764,3.744186046511628,24,,1,No,Yes,22,0.5116279069767442,0.054816279069767423,No,0.18604651162790697,,,,1,0.5581395348837209,3.223255813953488,2.8181818181818183,0.6511627906976745,71.9,No,Yes,8,,,,,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 4,17,52,52,0.8653846153846154,44,0.8461538461538461,0.8653846153846154,-0.01207278953846147,-2,0.019230769230769232,316,6.076923076923077,0.8734177215189873,6.076923076923077,47,,1,No,No,16,0.3076923076923077,-0.11856923076923079,No,0.11538461538461539,,,,1,0.7307692307692307,3.0461538461538464,2.6125,0.9038461538461539,92,No,Yes,10,True,,,,
