teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingRunPassOptionPercentage
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Open,Cover 4,12,10,10,0.5,1,3,0.3,0.4,-0.015019579999999921,30,0.1,146,14.6,0.3767123287671233,16.6,265,1,No,No,5,0.5,0.13689999999999997,No,0.4,8,0.8,0.4,0.9,0.4,2.68,2.46,26.5,112.5,Yes,No,3,,,,,
20,Miami,Dolphins,TB,NFC,NFC South,Open,Open,Cover 4,10,8,8,0.75,,3,0.375,0.625,0.24082906337499999,63,0.25,115,14.375,0.30434782608695654,14.375,234,,No,No,3,0.375,-0.026050000000000018,No,0.25,8,1,0.5,0.75,0.375,2.9,2.6666666666666665,29.25,85.4,No,No,3,True,1,,,
30,Tampa Bay,Buccaneers,MIA,AFC,AFC East,Open,Open,Cover 4,10,23,23,0.2608695652173913,7,6,0.2608695652173913,0.2608695652173913,-0.20344132999999998,,,134,5.826086956521739,0.13432835820895522,10.173913043478262,585,5,No,No,6,0.2608695652173913,-0.13868043478260872,No,0.6956521739130435,17,0.7391304347826086,0.17391304347826086,0.8260869565217391,0.2608695652173913,2.891304347826087,2.4166666666666665,25.434782608695652,90.9,No,No,6,,1,,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Open,Closed,Cover 1,12,21,21,0.42857142857142855,6,8,0.38095238095238093,0.42857142857142855,0.021417285285714238,19,0.047619047619047616,300,14.285714285714286,0.3,8.80952380952381,616,1,No,No,7,0.3333333333333333,-0.07428809523809525,No,0.47619047619047616,16,0.7619047619047619,0.42857142857142855,0.9047619047619048,0.42857142857142855,2.9380952380952383,2.742857142857143,29.333333333333332,62.2,No,Yes,8,,1,3,0.047619047619047616,
12,Green Bay,Packers,BLT,AFC,AFC North,Closed,Closed,Cover 1,14,15,15,0.5333333333333333,5,7,0.4666666666666667,0.4666666666666667,0.06336596946666667,,,204,13.6,0.11274509803921569,13.266666666666667,435,2,No,No,4,0.26666666666666666,-0.17693333333333333,No,0.4666666666666667,13,0.8666666666666667,0.3333333333333333,0.8,0.4666666666666667,3.146666666666667,3.225,29,104.9,No,Yes,7,True,,1,0.13333333333333333,
25,New York,Jets,BUF,AFC,AFC East,Open,Open,Cover 0,10,13,13,0.5384615384615384,6,4,0.3076923076923077,0.38461538461538464,-0.06322057976923073,20,0.07692307692307693,105,8.076923076923077,0.10476190476190476,12.692307692307692,344,3,No,No,4,0.3076923076923077,-0.05620384615384614,No,0.46153846153846156,9,0.6923076923076923,0.15384615384615385,0.9230769230769231,0.5384615384615384,2.6846153846153844,2.55,26.46153846153846,101,Yes,Yes,4,,,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Red Zone,10,15,15,0.4666666666666667,3,4,0.26666666666666666,0.3333333333333333,-0.00644481413333331,37,0.06666666666666667,174,11.6,0.08620689655172414,12.933333333333334,568,1,No,No,4,0.26666666666666666,-0.14818333333333336,No,0.5333333333333333,15,1,0.3333333333333333,0.9333333333333333,0.3333333333333333,2.98,2.725,37.86666666666667,97.6,No,No,4,,,,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 4,8,10,10,0.2,5,2,0.2,0.2,-0.2638104784,,,36,3.6,0.1388888888888889,5.6,228,1,No,No,5,0.5,0.20590000000000003,No,0.8,5,0.5,0.1,1,0.2,2.2800000000000002,1.8,22.8,75.4,Yes,No,2,True,,,,
13,Houston,Texans,LV,AFC,AFC West,Open,Closed,Cover 3,9,16,16,0.625,1,7,0.4375,0.5,0.08824465481249999,42,0.0625,196,12.25,0.15306122448979592,10.6875,455,1,No,No,4,0.25,-0.115471875,No,0.375,15,0.9375,0.4375,0.75,0.5625,2.69375,2.55,28.4375,84.4,No,No,7,True,,1,0.125,
11,Detroit,Lions,CHI,NFC,NFC North,Closed,Closed,Cover 3,11,18,18,0.6111111111111112,1,6,0.3333333333333333,0.4444444444444444,0.06029105277777774,65,0.1111111111111111,216,12,0.18518518518518517,10.333333333333334,540,3,Yes,No,2,0.1111111111111111,-0.2506472222222222,No,0.3333333333333333,16,0.8888888888888888,0.5,0.9444444444444444,0.4444444444444444,2.6722222222222225,2.95,30,79.9,Yes,Yes,6,,,2,0.16666666666666666,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,15,19,19,0.631578947368421,4,8,0.42105263157894735,0.5263157894736842,0.1282547354210526,88,0.10526315789473684,250,13.157894736842104,0.172,13.947368421052632,583,3,No,Yes,8,0.42105263157894735,0.010015789473684195,No,0.3684210526315789,14,0.7368421052631579,0.47368421052631576,0.8947368421052632,0.47368421052631576,2.9578947368421056,2.6750000000000003,30.68421052631579,106.9,No,Yes,8,,2,1,0.10526315789473684,
21,Minnesota,Vikings,NYG,NFC,NFC East,Closed,Closed,Cover 1,9,10,10,0.4,3,4,0.4,0.4,0.011691672200000003,,,189,18.9,0.32275132275132273,22.9,307,2,No,Yes,4,0.4,0.009299999999999998,Yes,0.6,8,0.8,0.2,0.9,0.3,2.84,2.575,30.7,127.1,No,Yes,4,,,,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,11,20,20,0.55,6,11,0.55,0.55,0.18024263620000003,,,430,21.5,0.16046511627906976,24.25,666,5,No,Yes,4,0.2,-0.1907,Yes,0.45,17,0.85,0.5,0.9,0.5,2.84,2.55,33.3,118.8,No,Yes,11,,,1,0.05,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Closed,Cover 1,13,13,13,0.38461538461538464,3,3,0.23076923076923078,0.23076923076923078,-0.21242695107692305,,,139,10.692307692307692,0.2589928057553957,12.23076923076923,379,1,Yes,Yes,8,0.6153846153846154,0.19575769230769233,Yes,0.6153846153846154,9,0.6923076923076923,0.23076923076923078,0.8461538461538461,0.3076923076923077,3.0076923076923077,2.3,29.153846153846153,97.3,Yes,Yes,3,True,,,0.07692307692307693,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,10,18,18,0.3333333333333333,4,4,0.2222222222222222,0.2222222222222222,-0.17784477216666666,,,88,4.888888888888889,0.06818181818181818,2.111111111111111,517,2,No,Yes,6,0.3333333333333333,-0.01884166666666667,No,0.6666666666666666,15,0.8333333333333334,0.2777777777777778,0.8888888888888888,0.2777777777777778,2.6166666666666667,2.2333333333333334,28.72222222222222,44.9,No,Yes,4,True,1,2,0.05555555555555555,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,11,18,18,0.6111111111111112,1,10,0.5555555555555556,0.5555555555555556,0.12652729788888895,,,310,17.22222222222222,0.1774193548387097,19.444444444444443,501,2,No,Yes,4,0.2222222222222222,-0.11749444444444447,No,0.3888888888888889,12,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.4444444444444444,2.5444444444444443,2.2,27.833333333333332,137.5,No,No,10,,,,0.05555555555555555,
7,Cincinnati,Bengals,ARZ,NFC,NFC West,Closed,Closed,Cover 1,12,9,9,0.6666666666666666,2,4,0.4444444444444444,0.5555555555555556,0.09646812244444453,31,0.1111111111111111,113,12.555555555555555,0.1415929203539823,9.777777777777779,212,1,No,No,3,0.3333333333333333,-0.03321666666666667,No,0.3333333333333333,5,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.6666666666666666,2.7,2.1666666666666665,23.555555555555557,88.7,No,Yes,4,True,,1,0.1111111111111111,
8,Cleveland,Browns,CHI,NFC,NFC North,Closed,Closed,Cover 1,9,14,14,0.6428571428571429,2,6,0.42857142857142855,0.5,0.11879180192857142,25,0.07142857142857142,196,14,0.08163265306122448,16.857142857142858,415,2,No,Yes,4,0.2857142857142857,-0.026621428571428574,Yes,0.35714285714285715,13,0.9285714285714286,0.42857142857142855,1,0.5714285714285714,2.3857142857142857,2.375,29.642857142857142,129.5,No,Yes,6,,,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,9,12,12,0.5,2,3,0.25,0.3333333333333333,-0.07662900508333331,31,0.08333333333333333,88,7.333333333333333,0.07954545454545454,9,340,1,No,Yes,2,0.16666666666666666,-0.29188333333333333,No,0.5,10,0.8333333333333334,0.3333333333333333,0.75,0.4166666666666667,3.233333333333333,2.1,28.333333333333332,85.4,No,No,3,True,,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Closed,Cover 1,11,13,13,0.6923076923076923,2,8,0.6153846153846154,0.6153846153846154,0.16927510846153848,,,228,17.53846153846154,0.16666666666666666,20.615384615384617,332,2,Yes,Yes,3,0.23076923076923078,-0.11056923076923078,Yes,0.3076923076923077,10,0.7692307692307693,0.46153846153846156,0.7692307692307693,0.6153846153846154,2.553846153846154,2.766666666666667,25.53846153846154,145,Yes,Yes,8,,,,,
