teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,65,65,0.8461538461538461,2,47,0.7230769230769231,0.7538461538461538,-0.0004621159538461539,8,0.03076923076923077,472,7.2615384615384615,0.298728813559322,5.8,454,2,3,4,No,No,20,0.3076923076923077,-0.06177692307692307,No,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.7076923076923077,0.6307692307692307,2.7169230769230768,2.745,6.984615384615385,83.6,Yes,Yes,29,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,90,90,0.8666666666666667,4,72,0.8,0.8539325842696629,0.10688853167415724,21,0.044444444444444446,772,8.577777777777778,0.3588082901554404,8.244444444444444,654,3,2,5,No,No,22,0.24444444444444444,-0.10274722222222224,No,0.022222222222222223,0.12222222222222222,0.011111111111111112,0.7,0.7666666666666667,2.5877777777777777,2.559090909090909,7.3,104.3,No,Yes,44,2,0.022222222222222223,0.011111111111111112
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,82,82,0.8536585365853658,1,57,0.6951219512195121,0.7654320987654321,0.0067289164938271195,32,0.06097560975609756,616,7.512195121951219,0.42045454545454547,6.353658536585366,550,2,3,,No,No,27,0.32926829268292684,-0.005937195121951225,No,0.012195121951219513,0.10975609756097561,0.036585365853658534,0.6829268292682927,0.6585365853658537,2.518292682926829,2.403703703703704,6.829268292682927,84.2,No,Yes,31,1,0.012195121951219513,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Closed,Cover 3,17,85,85,0.8823529411764706,4,60,0.7058823529411765,0.8117647058823529,0.05242059669411758,61,0.10588235294117647,669,7.870588235294117,0.4663677130044843,7.223529411764706,578,4,3,9,No,No,18,0.21176470588235294,-0.16858529411764703,No,0.011764705882352941,0.11764705882352941,,0.5882352941176471,0.6705882352941176,2.7800000000000002,2.677777777777778,6.8,94.7,No,No,29,2,0.023529411764705882,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Closed,Cover 3,17,54,54,0.9074074074074074,1,46,0.8518518518518519,0.8703703703703703,0.09779713068518514,4,0.018518518518518517,494,9.148148148148149,0.4574898785425101,9.518518518518519,346,1,,2,No,No,13,0.24074074074074073,-0.09578148148148148,No,0.037037037037037035,0.09259259259259259,0.018518518518518517,0.6296296296296297,0.7037037037037037,2.525925925925926,2.4000000000000004,6.407407407407407,111,No,No,29,,,
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Open,Cover 2,17,104,104,0.875,1,80,0.7692307692307693,0.8349514563106796,0.06303964976699028,39,0.057692307692307696,707,6.798076923076923,0.314002828854314,6.5576923076923075,652,1,1,,Yes,No,28,0.2692307692307692,-0.08686971153846154,No,,0.09615384615384616,0.019230769230769232,0.6923076923076923,0.7692307692307693,2.639423076923077,2.4035714285714285,6.346153846153846,93.7,No,Yes,31,,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,66,66,0.8181818181818182,,45,0.6818181818181818,0.7727272727272727,0.005514868454545407,34,0.09090909090909091,400,6.0606060606060606,0.345,5.681818181818182,429,1,1,,No,No,18,0.2727272727272727,-0.09826590909090908,No,,0.12121212121212122,0.030303030303030304,0.6363636363636364,0.6060606060606061,2.725757575757576,2.6055555555555556,6.5,82.9,No,Yes,22,1,0.015151515151515152,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Cover 4,17,97,97,0.8556701030927835,1,76,0.7835051546391752,0.8247422680412371,0.06877259476288655,35,0.041237113402061855,632,6.515463917525773,0.25316455696202533,5.587628865979381,678,,2,3,No,Yes,21,0.21649484536082475,-0.1559237113402062,No,,0.13402061855670103,0.030927835051546393,0.5979381443298969,0.6804123711340206,2.734020618556701,2.6,6.989690721649485,85.2,No,Yes,27,,,
5,Carolina,Panthers,,TB,NFC,NFC South,Open,Open,Cover 2,17,110,110,0.8636363636363636,1,83,0.7545454545454545,0.8,0.05659216258181832,39,0.045454545454545456,882,8.018181818181818,0.3526077097505669,7.381818181818182,846,1,2,6,No,No,20,0.18181818181818182,-0.18473181818181822,No,0.03636363636363636,0.12727272727272726,0.02727272727272727,0.6818181818181818,0.7909090909090909,2.7,2.585,7.6909090909090905,93.8,No,Yes,43,2,0.01818181818181818,0.02727272727272727
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 2,17,85,85,0.8941176470588236,1,66,0.7764705882352941,0.8452380952380952,0.06268746002380943,20,0.058823529411764705,489,5.752941176470588,0.24948875255623723,6.223529411764706,489,2,,1,Yes,No,20,0.23529411764705882,-0.11299117647058823,No,0.023529411764705882,0.09411764705882353,0.047058823529411764,0.7294117647058823,0.7058823529411765,2.5941176470588236,2.67,5.811764705882353,98.5,No,Yes,21,,,0.011764705882352941
