teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsReceivingReceptionsContested,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 2 Man,11,8,No,Yes,No,39,7,No,1,No,5,0.7143,0.1795,2,0.2857,29,14,3,58,2,0.1429,0.1429,0.1429,0.5714,4,0.5714,8.2857,44.3,0.7436,4.1429,-3.1615,0.2857,14.5,7,1.5,2,,,,,,,,,,
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 2 Man,9,7,No,No,No,32,4,Yes,,No,2,0.5,0.125,2,0.5,10,3,3,93,,0.25,0.25,0.5,,3,0.75,23.25,56.3,0.3125,2.5,-7.8938,,5,1.5,1.5,,,,,,,,,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 2 Man,6,7,No,No,No,34,5,No,2,No,4,0.8,0.1471,3,0.6,18,2,2,40,,,,0.6,0.4,2,0.4,8,67.1,0.5294,3.6,-4.1356,,6,0.6667,0.6667,2,1,1,0.3333,,,,,,,
7,Cincinnati,Bengals,,MIA,AFC,AFC East,Open,Open,Cover 2 Man,12,8,No,Yes,No,39,5,No,,Yes,5,1,0.1282,5,1,87,9,2,78,,,,0.6,0.4,4,0.8,15.6,118.8,2.2308,17.4,8.0339,,17.4,1.8,0.4,4,,,,,,,,,,
8,Cleveland,Browns,1,PIT,AFC,AFC North,Open,Open,Cover 2 Man,10,5,No,No,No,24,5,No,2,Yes,5,1,0.2083,4,0.8,47,26,7,35,,,0.2,0.6,0.2,5,1,7,105.8,1.9583,9.4,1.7064,,11.75,6.5,1.75,3,1,,,,,,,,,
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 2 Man,11,8,No,No,No,38,5,No,2,No,4,0.8,0.1316,2,0.4,21,14,3,41,2,0.2,,0.4,0.4,4,0.8,8.2,52.9,0.5526,4.2,-3.8576,0.4,10.5,7,1.5,2,1,,,,,,,,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 2 Man,15,21,No,Yes,No,93,16,No,4,No,11,0.6875,0.172,8,0.5,54,21,10,139,1,0.0625,,0.4375,0.5,12,0.75,8.6875,31.8,0.5806,3.375,-4.1086,0.0625,6.75,2.625,1.25,2,3,1,0.125,2,0.125,,,,,
27,Pittsburgh,Steelers,,CLV,AFC,AFC North,Open,Open,Cover 2 Man,14,23,No,No,No,109,15,No,2,Yes,13,0.8667,0.1376,10,0.6667,107,61,23,106,2,0.2,,0.4,0.4,12,0.8,7.0667,87.4,0.9817,7.1333,-0.4049,0.1333,10.7,6.1,2.3,6,1,,,2,0.1333,1,,,,
29,San Francisco,49ers,,IND,AFC,AFC South,Open,Open,Cover 2 Man,3,1,No,No,No,5,1,No,,Yes,1,1,0.2,1,1,19,18,4,1,,1,,,,,,1,118.8,3.8,19,13.2706,,19,18,4,1,,,,,,,,,,
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Open,Open,Cover 2 Man,13,33,No,No,No,149,26,No,9,No,17,0.6538,0.1745,12,0.4615,103,34,1,331,1,0.1154,0.0385,0.4231,0.4231,19,0.7308,12.7308,57.1,0.6913,3.9615,-5.1064,0.0385,8.5833,2.8333,0.0833,8,4,1,0.0833,1,0.0385,1,2,2,,
