teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Closed,Open,Cover 4,17,96,Yes,No,No,408,77,Yes,12,Yes,66,0.8571,5,0.1887,62,9,0.8052,585,291,102,587,2,11,0.1774,0.1169,0.0649,0.4416,0.3766,58,0.7532,10,0.1299,7.6234,98.3,1.4338,7.5974,0.1651,0.026,9.4355,4.6935,1.6452,25,10,,,
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,163,No,Yes,No,710,138,No,21,Yes,114,0.8261,8,0.1944,101,13,0.7319,1082,468,146,1236,6,16,0.1584,0.2101,0.0942,0.2899,0.4058,105,0.7609,15,0.1087,8.9565,98.2,1.5239,7.8406,0.075,0.0435,10.7129,4.6337,1.4455,45,14,2,6,4
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 4,17,128,No,Yes,No,529,92,No,13,No,69,0.75,3,0.1739,62,8,0.6739,700,349,141,735,3,9,0.1452,0.1304,0.0761,0.337,0.4565,67,0.7283,13,0.1413,7.9891,96.3,1.3233,7.6087,0.0629,0.0326,11.2903,5.629,2.2742,35,10,,3,
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Open,Open,Cover 4,17,30,No,No,No,107,27,No,2,Yes,24,0.8889,,0.2523,20,1,0.7407,164,140,62,123,3,5,0.25,0.0741,0.1852,0.2593,0.4815,20,0.7407,10,0.3704,4.5556,73.7,1.5327,6.0741,-1.1005,0.1111,8.2,7,3.1,8,5,,,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 4,17,41,No,No,No,170,32,No,3,Yes,26,0.8125,1,0.1882,24,3,0.75,218,152,61,169,1,4,0.1667,0.2812,0.0625,0.2188,0.4375,21,0.6562,9,0.2812,5.2812,103.4,1.2824,6.8125,-0.2248,0.0312,9.0833,6.3333,2.5417,10,4,,1,1
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 4,17,96,No,Yes,No,404,77,No,18,No,59,0.7662,2,0.1906,48,11,0.6234,553,335,86,626,5,12,0.25,0.1818,0.0779,0.3377,0.4026,53,0.6883,12,0.1558,8.1299,76.4,1.3688,7.1818,-0.4426,0.0649,11.5208,6.9792,1.7917,20,7,2,2,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Open,Cover 4,17,104,Yes,No,No,394,91,Yes,8,Yes,82,0.9011,3,0.231,76,6,0.8352,794,485,125,498,4,5,0.0658,0.1648,0.1648,0.3956,0.2747,65,0.7143,20,0.2198,5.4725,101.2,2.0152,8.7253,1.747,0.044,10.4474,6.3816,1.6447,34,10,2,2,2
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Open,Cover 4,17,85,No,No,No,364,70,No,6,Yes,52,0.7429,2,0.1923,46,3,0.6571,445,267,64,436,3,16,0.3478,0.1714,0.0857,0.2714,0.4714,45,0.6429,9,0.1286,6.2286,71.4,1.2225,6.3571,-1.0205,0.0429,9.6739,5.8043,1.3913,20,11,,,
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 4,17,133,No,No,No,592,115,Yes,16,Yes,98,0.8522,5,0.1943,88,11,0.7652,855,363,126,880,5,13,0.1477,0.2,0.1391,0.287,0.3739,80,0.6957,14,0.1217,7.6522,107.7,1.4443,7.4348,-0.1406,0.0435,9.7159,4.125,1.4318,39,13,,5,4
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Open,Open,Cover 4,17,80,Yes,Yes,No,346,67,No,8,No,56,0.8358,6,0.1936,47,3,0.7015,469,203,78,552,4,4,0.0851,0.1343,0.0746,0.3433,0.4478,51,0.7612,6,0.0896,8.2388,86,1.3555,7,-0.5762,0.0597,9.9787,4.3191,1.6596,22,11,2,3,3
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,165,No,No,No,694,138,No,25,Yes,112,0.8116,4,0.1988,98,15,0.7101,1116,567,187,1133,7,15,0.1531,0.1667,0.0942,0.3478,0.3913,106,0.7681,11,0.0797,8.2101,87.7,1.6081,8.087,0.4097,0.0507,11.3878,5.7857,1.9082,51,12,2,2,
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 4,17,109,No,No,No,497,90,No,17,No,76,0.8444,5,0.1811,67,13,0.7444,773,341,85,860,7,6,0.0896,0.1333,0.1222,0.2778,0.4667,66,0.7333,7,0.0778,9.5556,99,1.5553,8.5889,0.5916,0.0778,11.5373,5.0896,1.2687,35,8,1,1,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Open,Cover 4,17,68,No,No,Yes,282,60,No,9,Yes,56,0.9333,1,0.2128,47,5,0.7833,389,205,59,283,6,7,0.1489,0.3,0.0667,0.2833,0.35,41,0.6833,11,0.1833,4.7167,92.3,1.3794,6.4833,-0.322,0.1,8.2766,4.3617,1.2553,16,6,,1,
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Cover 4,17,93,No,No,No,400,75,No,7,Yes,62,0.8267,4,0.1875,47,1,0.6267,434,250,74,550,9,7,0.1489,0.16,0.08,0.2933,0.4667,53,0.7067,8,0.1067,7.3333,75.1,1.085,5.7867,-1.5468,0.12,9.234,5.3191,1.5745,23,14,1,3,2
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 4,17,62,No,Yes,No,282,51,No,9,No,44,0.8627,2,0.1809,39,4,0.7647,365,153,40,414,4,3,0.0769,0.1569,0.2157,0.2941,0.3333,35,0.6863,3,0.0588,8.1176,107.1,1.2943,7.1569,-0.4157,0.0784,9.359,3.9231,1.0256,13,4,1,3,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Open,Cover 4,17,91,No,Yes,No,383,82,No,6,No,68,0.8293,2,0.2141,59,1,0.7195,544,276,107,544,5,10,0.1695,0.2683,0.0854,0.2927,0.3537,54,0.6585,13,0.1585,6.6341,84.6,1.4204,6.6341,-0.6807,0.061,9.2203,4.678,1.8136,25,10,,,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,115,No,No,No,495,98,Yes,12,Yes,81,0.8265,4,0.198,72,7,0.7347,732,440,153,729,5,15,0.2083,0.2245,0.0612,0.3673,0.3469,68,0.6939,15,0.1531,7.4388,91.9,1.4788,7.4694,-0.0987,0.051,10.1667,6.1111,2.125,31,16,,3,2
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,17,106,No,No,No,457,92,No,17,Yes,74,0.8043,9,0.2013,64,11,0.6957,579,224,109,774,2,8,0.125,0.1522,0.1522,0.2609,0.4348,67,0.7283,13,0.1413,8.413,96.2,1.267,6.2935,-1.5385,0.0217,9.0469,3.5,1.7031,28,24,1,4,3
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Open,Cover 4,17,104,No,Yes,No,451,89,No,9,No,73,0.8202,5,0.1973,66,6,0.7416,596,316,121,594,3,6,0.0909,0.2135,0.1798,0.2809,0.3258,51,0.573,9,0.1011,6.6742,89,1.3215,6.6966,-0.6251,0.0337,9.0303,4.7879,1.8333,29,9,1,3,2
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Open,Cover 4,17,112,No,No,Yes,495,92,No,11,Yes,71,0.7717,4,0.1859,66,8,0.7174,730,372,139,795,3,11,0.1667,0.1087,0.1739,0.2609,0.4565,66,0.7174,7,0.0761,8.6413,85.9,1.4747,7.9348,0.4799,0.0326,11.0606,5.6364,2.1061,30,5,1,,
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 4,17,48,No,Yes,No,211,42,No,5,No,34,0.8095,3,0.1991,29,1,0.6905,313,163,60,392,3,5,0.1724,0.0952,0.1905,0.2619,0.4524,34,0.8095,6,0.1429,9.3333,102.6,1.4834,7.4524,-0.4705,0.0714,10.7931,5.6207,2.069,14,11,,4,1
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,133,No,Yes,No,573,110,No,12,No,93,0.8455,5,0.192,81,6,0.7364,959,554,187,676,5,12,0.1481,0.2,0.1909,0.2455,0.3636,78,0.7091,15,0.1364,6.1455,111.1,1.6736,8.7182,1.5257,0.0455,11.8395,6.8395,2.3086,36,7,1,5,3
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Cover 4,17,82,No,Yes,Yes,352,68,No,17,No,62,0.9118,5,0.1932,54,11,0.7941,490,190,65,491,2,7,0.1296,0.2353,0.1765,0.1912,0.3971,35,0.5147,6,0.0882,7.2206,121.2,1.392,7.2059,-0.3972,0.0294,9.0741,3.5185,1.2037,20,17,,5,4
