teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 0,17,216,No,No,No,964,216,No,28,Yes,196,0.9074,9,0.2241,179,22,0.8287,1434,647,278,988,9,7,10,31,0.1732,0.1481,0.1204,0.3472,0.3796,157,0.7269,4.5741,102.4,1.4876,6.6389,0.3646,0.0463,8.0112,3.6145,1.5531,84,36,,,
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,212,No,No,No,965,212,No,42,Yes,185,0.8726,4,0.2197,158,24,0.7453,1368,612,252,1044,5,1,14,17,0.1076,0.1226,0.1132,0.316,0.4481,144,0.6792,4.9245,91.1,1.4176,6.4528,-0.0797,0.066,8.6582,3.8734,1.5949,73,27,1,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,221,No,Yes,No,999,221,No,25,Yes,191,0.8643,10,0.2212,170,18,0.7692,1826,1083,426,981,14,6,15,25,0.1471,0.1222,0.1765,0.3394,0.362,153,0.6923,4.4389,118,1.8278,8.2624,1.8968,0.0679,10.7412,6.3706,2.5059,105,36,,3,0.0136
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Open,Open,Cover 6,17,211,No,Yes,No,957,211,No,27,No,189,0.8957,10,0.2205,165,16,0.782,1703,1026,368,926,10,7,15,29,0.1758,0.1517,0.237,0.2749,0.3365,135,0.6398,4.3886,110.2,1.7795,8.0711,1.6716,0.0711,10.3212,6.2182,2.2303,88,31,,2,0.0095
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 6,17,182,No,Yes,No,829,182,No,21,No,155,0.8516,7,0.2195,141,12,0.7747,1182,578,232,838,7,2,7,18,0.1277,0.1209,0.1593,0.3132,0.4011,122,0.6703,4.6044,99.7,1.4258,6.4945,0.0583,0.0385,8.383,4.0993,1.6454,68,27,,,
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,216,No,Yes,No,982,216,No,47,Yes,188,0.8704,6,0.22,156,29,0.7222,1239,529,230,1053,2,1,15,11,0.0705,0.1111,0.0972,0.3287,0.463,160,0.7407,4.875,77.7,1.2617,5.7361,-0.76,0.0694,7.9423,3.391,1.4744,63,22,1,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,213,No,No,No,927,213,No,29,Yes,183,0.8592,3,0.2298,159,17,0.7465,1324,696,247,878,5,2,15,18,0.1132,0.1268,0.1362,0.3756,0.3615,152,0.7136,4.1221,94.1,1.4283,6.216,0.0871,0.0704,8.327,4.3774,1.5535,59,25,,,
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,277,No,No,Yes,1283,277,No,39,Yes,245,0.8845,12,0.2159,207,21,0.7473,1805,907,322,1239,12,5,20,35,0.1691,0.1047,0.1769,0.3718,0.3466,195,0.704,4.4729,102.9,1.4069,6.5162,0.1718,0.0722,8.7198,4.3816,1.5556,87,46,2,2,0.0072
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 4,17,251,No,No,No,1156,251,No,33,Yes,216,0.8606,8,0.2171,197,27,0.7849,1504,693,244,1073,10,5,13,18,0.0914,0.1833,0.1673,0.3426,0.3068,161,0.6414,4.2749,101.6,1.301,5.992,-0.3609,0.0518,7.6345,3.5178,1.2386,79,35,2,2,0.008
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,179,Yes,No,No,804,179,No,24,Yes,152,0.8492,10,0.2226,128,15,0.7151,1093,569,218,790,9,6,15,16,0.125,0.1173,0.1006,0.3743,0.4022,132,0.7374,4.4134,96.9,1.3595,6.1061,-0.2071,0.0838,8.5391,4.4453,1.7031,55,28,,2,0.0112
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,255,No,No,No,1185,255,No,35,Yes,228,0.8941,10,0.2152,202,22,0.7922,1649,746,288,1174,13,7,18,21,0.104,0.1333,0.1843,0.3294,0.3529,175,0.6863,4.6039,110.6,1.3916,6.4667,0.1335,0.0706,8.1634,3.6931,1.4257,98,47,1,,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,212,Yes,No,Yes,970,212,No,34,Yes,191,0.9009,6,0.2186,171,24,0.8066,1488,704,259,1002,11,4,14,17,0.0994,0.1604,0.184,0.2972,0.3585,140,0.6604,4.7264,111.2,1.534,7.0189,0.5388,0.066,8.7018,4.117,1.5146,84,32,1,2,0.0094
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Closed,Cover 3,17,221,No,No,No,1015,221,No,25,Yes,195,0.8824,10,0.2177,169,14,0.7647,1325,619,194,980,13,5,18,14,0.0828,0.1538,0.19,0.3258,0.3303,155,0.7014,4.4344,99.1,1.3054,5.9955,-0.3625,0.0814,7.8402,3.6627,1.1479,73,32,1,2,0.009
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 4,17,229,No,No,No,1034,229,No,42,No,199,0.869,10,0.2215,167,21,0.7293,1432,667,256,1099,12,6,21,13,0.0778,0.131,0.1354,0.2969,0.4367,179,0.7817,4.7991,99.1,1.3849,6.2533,-0.2137,0.0917,8.5749,3.994,1.5329,80,41,1,1,0.0044
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Cover 4,17,252,No,No,No,1130,252,No,43,Yes,221,0.877,5,0.223,186,26,0.7381,1611,732,237,1177,5,3,19,24,0.129,0.0635,0.1349,0.3333,0.4683,199,0.7897,4.6706,90.2,1.4257,6.3929,-0.0229,0.0754,8.6613,3.9355,1.2742,78,27,1,2,0.0079
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Prevent,17,269,No,No,No,1231,269,No,34,Yes,235,0.8736,15,0.2185,211,21,0.7844,1885,897,314,1274,10,7,15,24,0.1137,0.1413,0.1636,0.2974,0.3978,174,0.6468,4.7361,105.2,1.5313,7.0074,0.5296,0.0558,8.9336,4.2512,1.4882,103,43,1,1,0.0037
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,238,No,No,No,1091,238,No,42,Yes,206,0.8655,14,0.2181,172,24,0.7227,1355,645,270,1035,10,7,19,23,0.1337,0.1891,0.1555,0.2899,0.3655,150,0.6303,4.3487,94.8,1.242,5.6933,-0.7224,0.0798,7.8779,3.75,1.5698,74,39,,,
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,17,278,No,No,No,1296,278,No,49,Yes,234,0.8417,9,0.2145,211,35,0.759,1689,753,342,1265,10,6,10,25,0.1185,0.1727,0.1727,0.3525,0.3022,178,0.6403,4.5504,95.1,1.3032,6.0755,-0.3271,0.036,8.0047,3.5687,1.6209,89,50,1,2,0.0072
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Closed,Cover 1,17,217,No,Yes,Yes,1001,217,No,37,No,187,0.8618,5,0.2168,171,24,0.788,1486,732,259,1019,8,4,4,21,0.1228,0.1336,0.1843,0.3364,0.3456,133,0.6129,4.6959,103.6,1.4845,6.8479,0.4367,0.0184,8.6901,4.2807,1.5146,71,20,3,,
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,253,Yes,No,Yes,1133,253,No,45,Yes,217,0.8577,13,0.2233,194,28,0.7668,1699,802,268,1199,6,3,8,22,0.1134,0.1225,0.1739,0.3043,0.3992,174,0.6877,4.7391,90.3,1.4996,6.7154,0.2484,0.0316,8.7577,4.134,1.3814,90,31,1,1,0.004
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 1,17,244,No,Yes,Yes,1119,244,No,24,No,218,0.8934,6,0.2181,196,14,0.8033,1675,921,264,1022,6,3,15,26,0.1327,0.1557,0.1885,0.3484,0.3074,154,0.6311,4.1885,96.6,1.4969,6.8648,0.5245,0.0615,8.5459,4.699,1.3469,74,26,,1,0.0041
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,204,No,Yes,No,934,204,No,30,No,176,0.8627,8,0.2184,156,15,0.7647,1331,654,224,913,9,3,3,12,0.0769,0.098,0.2206,0.3284,0.3529,141,0.6912,4.4755,103.6,1.4251,6.5245,0.1679,0.0147,8.5321,4.1923,1.4359,69,29,2,1,0.0049
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,245,No,No,Yes,1117,245,No,45,Yes,214,0.8735,8,0.2193,192,32,0.7837,1415,592,238,1092,5,2,9,17,0.0885,0.1469,0.1388,0.2939,0.4204,175,0.7143,4.4571,95.8,1.2668,5.7755,-0.5953,0.0367,7.3698,3.0833,1.2396,68,40,,,
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Red Zone,17,236,Yes,Yes,Yes,1084,236,No,39,No,199,0.8432,6,0.2177,179,29,0.7585,1363,587,231,1074,9,3,9,19,0.1061,0.1398,0.1907,0.2712,0.3983,142,0.6017,4.5508,100.3,1.2574,5.7754,-0.6276,0.0381,7.6145,3.2793,1.2905,73,33,2,1,0.0042
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,201,Yes,No,No,907,201,No,35,Yes,177,0.8806,6,0.2216,152,17,0.7562,1465,814,296,889,9,4,9,14,0.0921,0.1542,0.1045,0.3582,0.3831,145,0.7214,4.4229,110.4,1.6152,7.2886,0.9089,0.0448,9.6382,5.3553,1.9474,92,30,,1,0.005
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 4,17,198,No,No,No,908,198,No,30,Yes,169,0.8535,3,0.2181,147,16,0.7424,1379,679,264,959,4,2,10,21,0.1429,0.1061,0.1263,0.3384,0.4192,150,0.7576,4.8434,91.3,1.5187,6.9646,0.528,0.0505,9.381,4.619,1.7959,69,26,1,1,0.0051
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Open,Cover 4,17,269,No,Yes,No,1206,269,No,55,No,237,0.881,8,0.2231,205,35,0.7621,1612,726,275,1217,9,4,19,20,0.0976,0.1301,0.1338,0.2714,0.461,197,0.7323,4.5242,90.9,1.3367,5.9926,-0.3891,0.0706,7.8634,3.5415,1.3415,84,33,1,2,0.0074
13,Houston,Texans,1,IND,AFC,AFC South,Open,Open,Prevent,17,195,No,No,No,889,195,No,36,Yes,167,0.8564,4,0.2193,136,22,0.6974,1061,502,201,853,5,3,17,18,0.1324,0.1744,0.1436,0.3692,0.3077,130,0.6667,4.3744,78.6,1.1935,5.441,-0.9329,0.0872,7.8015,3.6912,1.4779,55,18,,,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Closed,Cover 3,17,212,No,No,No,960,212,No,32,Yes,188,0.8868,9,0.2208,161,14,0.7594,1317,621,224,939,10,6,13,18,0.1118,0.1368,0.1415,0.3538,0.3679,154,0.7264,4.4292,103,1.3719,6.2123,-0.2213,0.0613,8.1801,3.8571,1.3913,73,33,,1,0.0047
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,195,No,No,No,879,195,No,26,Yes,170,0.8718,7,0.2218,152,15,0.7795,1292,637,247,895,7,5,8,18,0.1184,0.1026,0.2103,0.2769,0.4103,140,0.7179,4.5897,102,1.4699,6.6256,0.1999,0.041,8.5,4.1908,1.625,71,20,1,,
21,Minnesota,Vikings,1,GB,NFC,NFC North,Open,Open,Red Zone,17,179,Yes,Yes,Yes,772,179,No,25,No,151,0.8436,1,0.2319,130,13,0.7263,1180,624,251,795,,,12,24,0.1846,0.1061,0.1732,0.352,0.3687,121,0.676,4.4413,85.4,1.5285,6.5922,0.2144,0.067,9.0769,4.8,1.9308,49,23,,2,0.0112
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 4,17,227,No,No,No,1044,227,No,27,No,203,0.8943,10,0.2174,186,21,0.8194,1599,755,332,1098,9,7,11,26,0.1398,0.1498,0.1674,0.3304,0.3524,149,0.6564,4.837,105.6,1.5316,7.0441,0.5408,0.0485,8.5968,4.0591,1.7849,81,33,,1,0.0044
