teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 3,17,42,Yes,No,No,192,42,No,7,Yes,26,0.619,3,0.2188,19,4,0.4524,573,123,9,1036,2,1,2,0.0238,0.0714,0.3571,0.5476,34,0.8095,24.6667,107.7,2.9844,13.6429,1.9272,0.0476,30.1579,6.4737,0.4737,19,2,,,,,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 4,17,41,No,No,No,178,38,No,13,Yes,21,0.5526,2,0.2135,14,4,0.3684,378,51,11,917,1,,,,0.0789,0.2105,0.7105,35,0.9211,24.1316,72,2.1236,9.9474,-1.6653,,27,3.6429,0.7857,14,1,1,3,,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Open,Cover 2,17,32,Yes,No,No,145,31,No,6,Yes,14,0.4516,3,0.2138,10,3,0.3226,347,63,8,815,3,1,1,0.0323,0.0645,0.2903,0.6129,26,0.8387,26.2903,81,2.3931,11.1935,-0.8819,0.0323,34.7,6.3,0.8,10,,,1,,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,40,Yes,No,No,177,39,No,6,Yes,24,0.6154,6,0.2203,17,3,0.4359,415,55,11,830,3,2,4,0.0769,0.0513,0.2308,0.641,34,0.8718,21.2821,108.4,2.3446,10.641,-0.2931,0.1026,24.4118,3.2353,0.6471,17,2,,,1,0.0588,,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Closed,Cover 3,17,42,Yes,Yes,No,187,41,No,9,No,20,0.4878,6,0.2193,16,6,0.3902,398,48,17,962,3,2,2,,0.0732,0.1951,0.7317,28,0.6829,23.4634,79.1,2.1283,9.7073,-2.0572,0.0488,24.875,3,1.0625,16,4,,1,2,0.125,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,45,No,Yes,Yes,208,44,Yes,7,Yes,25,0.5682,7,0.2115,20,6,0.4545,579,118,40,1091,1,1,3,0.0455,0.0682,0.3182,0.5682,32,0.7273,24.7955,90.2,2.7837,13.1591,1.6209,0.0682,28.95,5.9,2,20,1,,,1,0.05,,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Open,Cover 2,17,42,No,No,Yes,187,40,No,9,No,20,0.5,7,0.2139,17,5,0.425,415,36,8,907,4,2,,,0.05,0.225,0.725,35,0.875,22.675,82.8,2.2193,10.375,-0.8093,,24.4118,2.1176,0.4706,17,3,,2,2,0.1176,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,36,No,Yes,Yes,159,34,No,8,Yes,20,0.5882,7,0.2138,17,7,0.5,561,77,9,947,8,5,2,0.0294,0.0882,0.1176,0.7647,31,0.9118,27.8529,123.2,3.5283,16.5,4.1906,0.0588,33,4.5294,0.5294,17,3,,3,,,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Closed,Cover 3,16,43,No,No,No,191,40,No,12,Yes,24,0.6,2,0.2094,18,7,0.45,567,119,32,1011,1,,2,0.025,0.075,0.275,0.625,36,0.9,25.275,89.6,2.9686,14.175,2.2922,0.05,31.5,6.6111,1.7778,18,1,1,1,2,0.1111,,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 2,17,57,Yes,Yes,Yes,254,54,No,18,No,31,0.5741,2,0.2126,20,6,0.3704,538,68,15,1332,3,2,3,,0.037,0.2037,0.7593,44,0.8148,24.6667,77.5,2.1181,9.963,-1.3903,0.0556,26.9,3.4,0.75,20,1,,1,,,1,0.0185
