teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingTouchdownsInEndzone
1,Arizona,Cardinals,LA,NFC,NFC West,Closed,Closed,Cover 3,17,42,Yes,No,Yes,185,39,No,12,Yes,26,0.6667,3,0.2108,17,5,3,0.4359,459,70,23,945,2,3,1,0.0588,0.1538,0.2308,0.6154,31,0.7949,24.2308,93.9,2.4811,11.7692,-0.0841,0.0769,27,4.1176,1.3529,17,6,,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Prevent,17,28,No,No,No,116,28,Yes,5,Yes,13,0.4643,2,0.2414,8,1,1,0.2857,248,42,9,621,1,3,1,0.125,0.1429,0.3214,0.5357,22,0.7857,22.1786,61,2.1379,8.8571,-2.3924,0.1071,31,5.25,1.125,8,2,,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Closed,Cover 3,17,39,No,Yes,Yes,170,36,No,9,No,22,0.6111,2,0.2118,19,6,4,0.5278,563,141,49,855,1,1,3,0.1579,0.0833,0.25,0.6389,28,0.7778,23.75,67.8,3.3118,15.6389,4.1991,0.0278,29.6316,7.4211,2.5789,19,2,1,0.0278,
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 2,17,38,Yes,No,No,173,38,No,9,No,21,0.5526,3,0.2197,15,3,,0.3947,393,66,29,941,2,2,1,0.0667,0.1053,0.3421,0.5263,29,0.7632,24.7632,56,2.2717,10.3421,-1.6595,0.0526,26.2,4.4,1.9333,15,3,1,0.0263,1
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 1,17,31,No,No,Yes,126,30,No,4,No,18,0.6,1,0.2381,13,2,,0.4333,306,50,18,611,1,4,,,0.0667,0.3,0.6,19,0.6333,20.3667,77.9,2.4286,10.2,-1.0261,0.1333,23.5385,3.8462,1.3846,13,,1,0.0333,1
11,Detroit,Lions,CHI,NFC,NFC North,Open,Closed,Cover 3,17,53,No,Yes,Yes,235,51,No,12,No,30,0.5882,3,0.217,20,8,5,0.3922,641,119,29,1291,5,4,1,0.05,0.0784,0.2745,0.6471,42,0.8235,25.3137,103.2,2.7277,12.5686,0.5079,0.0784,32.05,5.95,1.45,20,3,,,1
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 6,17,35,No,Yes,Yes,163,33,No,9,Yes,18,0.5455,2,0.2025,14,5,1,0.4242,411,51,11,844,3,4,4,0.2857,0.1212,0.2727,0.6061,23,0.697,25.5758,81.8,2.5215,12.4545,0.4094,0.1212,29.3571,3.6429,0.7857,14,1,,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,40,No,Yes,No,183,40,No,7,No,19,0.475,7,0.2186,16,4,,0.4,489,99,21,997,3,,,,0.05,0.25,0.65,25,0.625,24.925,100.9,2.6721,12.225,0.4912,,30.5625,6.1875,1.3125,16,1,,0.05,3
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 3,17,31,No,No,No,145,30,Yes,5,Yes,16,0.5333,5,0.2069,10,,,0.3333,307,89,8,709,1,3,,,0.0667,0.2667,0.6667,18,0.6,23.6333,69.7,2.1172,10.2333,-1.7639,0.1,30.7,8.9,0.8,9,3,1,,1
3,Baltimore,Ravens,PIT,AFC,AFC North,Open,Closed,Cover 1,17,54,No,No,No,241,49,No,14,Yes,27,0.551,6,0.2033,21,7,2,0.4286,596,85,21,1228,3,1,1,0.0476,0.0816,0.2449,0.6735,36,0.7347,25.0612,83.4,2.473,12.1633,0.036,0.0204,28.381,4.0476,1,21,5,,,2
