teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Closed,Open,Cover 4,17,184,No,No,No,798,176,No,24,Yes,149,0.8466,9,0.2206,139,18,1,0.7898,1193,680,280,757,8,4,5,23,0.1655,0.1932,0.1307,0.3125,0.3636,130,0.7386,18,0.1023,4.3011,103,1.495,6.7784,0.2304,0.0284,8.5827,4.8921,2.0144,66,26
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 2,17,185,No,Yes,No,789,170,No,19,No,136,0.8,12,0.2155,121,13,,0.7118,1025,679,190,724,4,2,10,21,0.1736,0.2118,0.0824,0.2765,0.4235,128,0.7529,20,0.1176,4.2588,91.9,1.2991,6.0294,-0.5834,0.0588,8.4711,5.6116,1.5702,47,33
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,144,No,No,Yes,609,133,No,13,Yes,108,0.812,6,0.2184,99,11,1,0.7444,790,514,223,463,9,3,7,16,0.1616,0.203,0.1429,0.218,0.4361,95,0.7143,22,0.1654,3.4812,111.4,1.2972,5.9398,-0.519,0.0526,7.9798,5.1919,2.2525,43,21
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,17,165,Yes,No,Yes,680,162,No,18,Yes,143,0.8827,9,0.2382,124,5,,0.7654,1072,730,182,613,7,2,11,19,0.1532,0.1667,0.142,0.3457,0.3395,115,0.7099,23,0.142,3.784,95,1.5765,6.6173,0.0913,0.0679,8.6452,5.8871,1.4677,53,24
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,173,Yes,No,No,688,163,No,18,Yes,138,0.8466,13,0.2369,125,10,,0.7669,1160,856,251,555,8,5,4,19,0.152,0.1902,0.1472,0.2515,0.411,127,0.7791,29,0.1779,3.4049,112,1.686,7.1166,0.7167,0.0245,9.28,6.848,2.008,65,31
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,156,Yes,No,No,641,144,No,13,Yes,111,0.7708,4,0.2246,99,7,,0.6875,848,596,229,509,1,,8,16,0.1616,0.1806,0.0556,0.3125,0.4444,115,0.7986,24,0.1667,3.5347,77.5,1.3229,5.8889,-0.5278,0.0556,8.5657,6.0202,2.3131,40,19
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,228,No,No,No,945,212,Yes,38,Yes,175,0.8255,12,0.2243,157,25,,0.7406,1257,786,252,816,6,3,11,25,0.1592,0.1509,0.1179,0.283,0.4481,166,0.783,34,0.1604,3.8491,90.1,1.3302,5.9292,-0.5729,0.0519,8.0064,5.0064,1.6051,71,26
13,Houston,Texans,1,IND,AFC,AFC South,Open,Closed,Cover 3,17,151,No,No,Yes,600,133,No,18,Yes,113,0.8496,4,0.2217,95,11,2,0.7143,683,524,155,452,3,3,11,16,0.1684,0.2256,0.1053,0.2331,0.4286,106,0.797,31,0.2331,3.3985,87.4,1.1383,5.1353,-1.4782,0.0827,7.1895,5.5158,1.6316,38,10
21,Minnesota,Vikings,1,GB,NFC,NFC North,Closed,Closed,Cover 3,17,156,No,No,Yes,600,137,No,10,Yes,115,0.8394,7,0.2283,104,4,1,0.7591,832,593,256,480,2,,6,22,0.2115,0.1387,0.1314,0.3431,0.3869,105,0.7664,21,0.1533,3.5036,89.4,1.3867,6.073,-0.3744,0.0438,8,5.7019,2.4615,44,21
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,158,No,No,No,629,148,No,15,No,123,0.8311,9,0.2353,111,7,1,0.75,851,677,161,444,9,5,6,12,0.1081,0.1554,0.1622,0.25,0.4324,106,0.7162,27,0.1824,3,106,1.3529,5.75,-0.7263,0.0405,7.6667,6.0991,1.4505,43,25
11,Detroit,Lions,,CHI,NFC,NFC North,Closed,Closed,Cover 3,17,144,Yes,No,No,590,134,No,17,Yes,119,0.8881,8,0.2271,100,4,1,0.7463,855,474,149,633,8,4,6,11,0.11,0.1642,0.1269,0.3358,0.3731,103,0.7687,18,0.1343,4.7239,101.4,1.4492,6.3806,-0.3774,0.0448,8.55,4.74,1.49,47,20
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Prevent,17,188,No,No,No,751,176,No,16,No,154,0.875,11,0.2344,138,10,,0.7841,1141,719,192,670,8,5,11,23,0.1667,0.2386,0.0966,0.2557,0.4091,123,0.6989,25,0.142,3.8068,101.7,1.5193,6.483,-0.0995,0.0625,8.2681,5.2101,1.3913,64,29
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,169,Yes,No,No,726,156,No,16,Yes,139,0.891,8,0.2149,126,11,,0.8077,1182,722,218,712,7,5,7,17,0.1349,0.2115,0.109,0.2885,0.391,108,0.6923,19,0.1218,4.5641,110.5,1.6281,7.5769,0.8017,0.0449,9.381,5.7302,1.7302,63,22
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,160,No,No,No,665,150,No,19,No,131,0.8733,5,0.2256,114,10,1,0.76,1006,611,169,640,4,2,10,11,0.0965,0.2533,0.0933,0.2467,0.4067,112,0.7467,20,0.1333,4.2667,93.9,1.5128,6.7067,0.0187,0.0667,8.8246,5.3596,1.4825,56,19
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,168,No,Yes,No,721,155,No,21,Yes,134,0.8645,7,0.215,117,13,,0.7548,1214,880,299,589,6,2,12,18,0.1538,0.1871,0.1484,0.2968,0.3677,110,0.7097,18,0.1161,3.8,110.5,1.6838,7.8323,1.3653,0.0774,10.3761,7.5214,2.5556,69,22
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,150,No,Yes,No,607,142,No,25,Yes,120,0.8451,8,0.2339,96,12,1,0.6761,831,539,160,560,2,1,10,14,0.1458,0.2183,0.0845,0.2887,0.4085,106,0.7465,19,0.1338,3.9437,84.6,1.369,5.8521,-0.7854,0.0704,8.6562,5.6146,1.6667,46,19
