teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,teamIsHomeTeam
32,Washington,Commanders,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,79,No,No,Yes,338,75,No,9,No,61,0.8133,4,0.2219,56,8,0.7467,629,341,111,448,2,1,3,7,0.125,0.1333,0.0933,0.5333,0.2267,45,0.6,9,0.12,5.9733,85.9,1.8609,8.3867,1.3308,0.04,11.2321,6.0893,1.9821,33,10,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,73,No,No,No,317,68,No,6,Yes,66,0.9706,8,0.2145,60,6,0.8824,628,273,75,474,6,6,6,10,0.1667,0.1324,0.1912,0.4706,0.2059,40,0.5882,6,0.0882,6.9706,134.6,1.9811,9.2353,1.8689,0.0882,10.4667,4.55,1.25,31,13,1,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 0,17,95,No,No,No,413,86,No,14,Yes,82,0.9535,6,0.2082,75,10,0.8721,696,325,121,494,9,5,3,12,0.16,0.1279,0.1047,0.3837,0.3605,63,0.7326,7,0.0814,5.7442,135.3,1.6852,8.093,1.2431,0.0349,9.28,4.3333,1.6133,43,19,,1
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 0,17,94,Yes,Yes,Yes,417,91,No,25,Yes,83,0.9121,6,0.2182,73,17,0.8022,678,231,77,650,5,4,3,9,0.1233,0.1538,0.1319,0.4286,0.2857,61,0.6703,7,0.0769,7.1429,106.9,1.6259,7.4505,-0.0148,0.033,9.2877,3.1644,1.0548,37,17,1,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,17,67,No,No,No,307,63,No,12,Yes,56,0.8889,3,0.2052,50,8,0.7937,453,153,71,438,3,2,2,5,0.1,0.1746,0.1587,0.3968,0.2698,37,0.5873,3,0.0476,6.9524,105.9,1.4756,7.1905,-0.2056,0.0317,9.06,3.06,1.42,26,6,,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Cover 2,17,85,No,No,No,363,81,Yes,13,Yes,69,0.8519,7,0.2231,57,7,0.7037,648,289,73,611,6,5,7,8,0.1404,0.1481,0.1728,0.3827,0.2963,46,0.5679,4,0.0494,7.5432,103.3,1.7851,8,0.6771,0.0864,11.3684,5.0702,1.2807,29,12,1,1
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Prevent,17,107,No,No,No,488,96,No,26,Yes,88,0.9167,3,0.1967,70,16,0.7292,693,322,114,566,3,2,9,11,0.1571,0.1875,0.125,0.4167,0.2604,56,0.5833,6,0.0625,5.8958,90.3,1.4201,7.2188,0.4014,0.0938,9.9,4.6,1.6286,37,13,,1
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 2,17,93,No,No,No,400,88,No,17,Yes,75,0.8523,7,0.22,64,13,0.7273,564,264,79,530,7,4,8,3,0.0469,0.2045,0.1364,0.3409,0.3182,50,0.5682,7,0.0795,6.0227,92.2,1.41,6.4091,-0.5385,0.0909,8.8125,4.125,1.2344,35,10,,1
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 0,17,82,No,Yes,Yes,370,79,No,13,No,65,0.8228,3,0.2135,58,8,0.7342,612,275,102,506,4,3,3,6,0.1034,0.1139,0.1899,0.3671,0.3165,56,0.7089,8,0.1013,6.4051,91.3,1.6541,7.7468,0.6391,0.038,10.5517,4.7414,1.7586,33,12,,
25,New York,Jets,BUF,AFC,AFC East,Open,Closed,Cover 3,17,91,Yes,Yes,No,389,83,Yes,21,No,73,0.8795,2,0.2134,58,11,0.6988,552,270,86,466,4,1,8,6,0.1034,0.1566,0.0843,0.4096,0.3494,57,0.6867,7,0.0843,5.6145,104.1,1.419,6.6506,-0.2698,0.0964,9.5172,4.6552,1.4828,31,12,1,
