teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,309,No,No,No,1317,309,No,52,Yes,309,1,5,0.2346,309,52,6,1,3476,1687,618,1811,14,5,50,0.1618,0.1812,0.1262,0.2977,0.3948,216,0.699,36,0.1165,5.8608,128.6,2.6393,11.2492,4.187,11.2492,5.4595,2,157,23
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,348,No,No,Yes,1418,348,Yes,35,Yes,348,1,17,0.2454,348,35,1,1,4175,2534,882,1711,33,17,79,0.227,0.2011,0.1695,0.3017,0.3276,237,0.681,58,0.1667,4.9167,148.3,2.9443,11.9971,5.0513,11.9971,7.2816,2.5345,201,54
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,308,No,No,Yes,1274,308,Yes,27,Yes,308,1,13,0.2418,308,27,4,1,3220,1708,538,1583,25,13,34,0.1104,0.1948,0.1753,0.2565,0.3701,226,0.7338,48,0.1558,5.1396,137.3,2.5275,10.4545,3.5137,10.4545,5.5455,1.7468,161,35
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,331,No,Yes,No,1394,331,No,43,Yes,331,1,12,0.2374,331,43,6,1,3773,1655,557,2175,27,12,47,0.142,0.1813,0.1027,0.3021,0.4079,235,0.71,39,0.1178,6.571,141.4,2.7066,11.3988,4.1614,11.3988,5,1.6828,179,42
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,375,No,No,No,1626,375,No,50,Yes,375,1,15,0.2306,375,50,8,1,4128,1925,702,2274,31,15,57,0.152,0.1653,0.1467,0.3227,0.3653,269,0.7173,34,0.0907,6.064,140.1,2.5387,11.008,3.9425,11.008,5.1333,1.872,215,58
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,277,Yes,No,No,1142,277,No,34,Yes,277,1,14,0.2426,277,34,8,1,2894,1396,455,1550,19,14,40,0.1444,0.1949,0.065,0.3394,0.4007,197,0.7112,39,0.1408,5.5957,133.1,2.5342,10.4477,3.3484,10.4477,5.0397,1.6426,144,35
24,New York,Giants,1,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,358,No,No,No,1490,358,No,43,Yes,358,1,11,0.2403,358,43,9,1,3908,1809,578,2144,25,11,36,0.1006,0.2095,0.1201,0.2793,0.3883,266,0.743,51,0.1425,5.9888,135.4,2.6228,10.9162,3.7713,10.9162,5.0531,1.6145,195,48
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 0,17,355,Yes,Yes,Yes,1511,355,No,43,Yes,355,1,14,0.2349,355,43,8,1,4067,1715,524,2405,32,14,40,0.1127,0.1718,0.1662,0.3239,0.338,256,0.7211,35,0.0986,6.7746,144.4,2.6916,11.4563,4.1715,11.4563,4.831,1.4761,190,40
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,340,No,No,No,1311,340,No,37,Yes,340,1,10,0.2593,340,37,6,1,3487,1918,540,1627,18,10,33,0.0971,0.1765,0.1324,0.3441,0.3471,243,0.7147,64,0.1882,4.7853,127,2.6598,10.2559,3.43,10.2559,5.6412,1.5882,158,38
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,336,No,No,No,1428,336,No,43,Yes,336,1,9,0.2353,336,43,8,1,3657,1746,560,1948,20,9,38,0.1131,0.1994,0.1488,0.3125,0.3393,225,0.6696,41,0.122,5.7976,131.9,2.5609,10.8839,3.7528,10.8839,5.1964,1.6667,180,43
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,350,No,No,No,1450,350,No,45,Yes,350,1,16,0.2414,350,45,5,1,4371,2276,776,2138,33,16,48,0.1371,0.1371,0.1514,0.3486,0.36,263,0.7514,46,0.1314,6.1086,150.1,3.0145,12.4886,5.3753,12.4886,6.5029,2.2171,216,46
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,396,No,Yes,Yes,1689,396,Yes,43,Yes,396,1,12,0.2345,396,43,6,1,4437,2129,631,2352,30,12,68,0.1717,0.1591,0.154,0.303,0.3838,278,0.702,44,0.1111,5.9394,138.6,2.627,11.2045,4.1031,11.2045,5.3763,1.5934,202,42
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 4,17,398,No,No,No,1697,398,No,47,Yes,398,1,15,0.2345,398,47,8,1,4110,1931,624,2243,29,15,60,0.1508,0.2161,0.1457,0.3216,0.3166,273,0.6859,56,0.1407,5.6357,134,2.4219,10.3266,3.2268,10.3266,4.8518,1.5678,199,54
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Red Zone,17,343,No,No,No,1420,343,No,43,Yes,343,1,10,0.2415,343,43,6,1,3606,1611,453,2032,18,10,43,0.1254,0.1341,0.1429,0.3207,0.4023,265,0.7726,43,0.1254,5.9242,128,2.5394,10.5131,3.4426,10.5131,4.6968,1.3207,171,37
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Prevent,17,397,No,No,No,1693,397,No,45,Yes,397,1,17,0.2345,397,45,4,1,4462,2009,669,2511,24,16,48,0.1209,0.1562,0.1461,0.3199,0.3778,277,0.6977,44,0.1108,6.3249,133.6,2.6356,11.2393,4.0607,11.2393,5.0605,1.6851,216,54
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,17,376,No,No,No,1606,377,No,55,Yes,377,1,14,0.2347,377,55,9,1,3988,1747,664,2258,26,14,53,0.1406,0.1777,0.1512,0.3183,0.3501,253,0.6711,46,0.122,5.9894,133.7,2.4832,10.5782,3.4955,10.5782,4.634,1.7613,192,51
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,354,No,No,No,1481,354,No,31,Yes,354,1,18,0.239,354,31,8,1,4221,2021,586,2281,30,18,41,0.1158,0.1384,0.1864,0.2797,0.3955,256,0.7232,44,0.1243,6.4435,144.6,2.8501,11.9237,4.7252,11.9237,5.709,1.6554,195,47
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Closed,Cover 3,17,349,Yes,No,Yes,1449,350,No,46,Yes,350,1,16,0.2415,350,46,10,1,3512,1687,514,1902,25,16,37,0.1057,0.1914,0.1486,0.3,0.3514,228,0.6514,48,0.1371,5.4343,132.3,2.4237,10.0343,3.0075,10.0343,4.82,1.4686,171,34
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Prevent,17,380,No,No,No,1582,380,No,51,Yes,380,1,14,0.2402,379,51,5,0.9974,4332,2165,624,2255,30,14,58,0.153,0.1658,0.1553,0.3053,0.3711,256,0.6737,46,0.1211,5.9342,140.5,2.7383,11.4,4.2817,11.4301,5.7124,1.6464,206,34
