teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,13,8,No,No,No,39,7,No,No,1,0.1429,1,0.1795,99,1,1,7,1,14.1429,-9.8585,0.1429,1,,,,,,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,13,16,No,No,No,75,15,No,No,3,0.2,1,0.2,265,1,0.2667,13,0.8667,17.6667,-9.9004,0.0667,1,1,2,0.1333,0.6,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,12,12,No,No,No,52,9,No,No,2,0.2222,1,0.1731,96,1,0.4444,5,0.5556,10.6667,-7.8031,0.1111,2,1,1,0.1111,0.4444,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Red Zone,15,13,No,No,No,59,12,No,No,7,0.5833,2,0.2034,183,3,0.25,8,0.6667,15.25,-9.5816,0.25,3,1,3,0.0833,0.6667,,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Red Zone,14,11,No,No,No,48,9,No,No,1,0.1111,,0.1875,125,1,0.2222,8,0.8889,13.8889,-9.149,0.1111,,,,0.1111,0.5556,0.1111,1,0.1111
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Red Zone,12,6,No,No,No,27,6,No,Yes,,,1,0.2222,77,,0.6667,5,0.8333,12.8333,-8.6619,,1,1,,0.3333,,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 2,13,10,No,No,No,42,9,No,No,1,0.1111,1,0.2143,140,1,0.3333,4,0.4444,15.5556,-9.2497,0.1111,1,,,0.1111,0.5556,,1,0.1111
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Open,Closed,Cover 1,13,15,No,No,No,61,8,No,No,,,,0.1311,106,,0.25,4,0.5,13.25,-9.3816,,,1,,,0.625,0.125,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 1,14,15,No,No,No,71,13,No,No,,,3,0.1831,301,,0.3077,11,0.8462,23.1538,-11.1853,,1,,,,0.6154,0.0769,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,15,23,No,No,No,105,23,No,No,3,0.1304,5,0.219,430,1,0.2609,16,0.6957,18.6957,-10.2744,0.0435,3,1,2,0.087,0.6087,0.0435,,
