teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,170,Yes,No,No,584,142,No,16,Yes,116,0.8169,9,0.2432,105,10,3,0.7394,1211,571,142,1200,6,5,9,15,0.1429,0.1268,0.2394,0.2183,0.4085,106,0.7465,24,0.169,8.4507,95.7,2.0736,8.5282,0.8837,0.0634,11.5333,5.4381,1.3524,59,17
10,Denver,Broncos,1,LAC,AFC,AFC West,Closed,Closed,Cover 3,17,165,Yes,No,No,572,124,No,15,Yes,102,0.8226,6,0.2168,88,7,,0.7097,831,419,106,914,2,1,6,11,0.125,0.1048,0.2984,0.1613,0.4355,98,0.7903,22,0.1774,7.371,87.8,1.4528,6.7016,-0.6906,0.0484,9.4432,4.7614,1.2045,42,18
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,160,Yes,No,No,574,124,No,12,Yes,100,0.8065,5,0.216,88,6,,0.7097,1036,702,219,879,6,2,7,16,0.1818,0.1613,0.1774,0.2258,0.4113,93,0.75,28,0.2258,7.0887,102.1,1.8049,8.3548,0.8065,0.0565,11.7727,7.9773,2.4886,47,16
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,198,Yes,No,No,682,166,No,20,Yes,148,0.8916,15,0.2434,136,14,1,0.8193,1650,944,222,1088,23,13,8,12,0.0882,0.1627,0.241,0.1988,0.3976,133,0.8012,32,0.1928,6.5542,147.7,2.4194,9.9398,2.5487,0.0482,12.1324,6.9412,1.6324,84,31
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Open,Cover 0,17,157,Yes,No,No,564,134,No,17,Yes,111,0.8284,5,0.2376,104,11,,0.7761,1055,580,186,893,5,2,2,10,0.0962,0.194,0.1866,0.1642,0.4403,92,0.6866,22,0.1642,6.6642,105.7,1.8706,7.8731,0.4012,0.0149,10.1442,5.5769,1.7885,49,18
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Red Zone,17,169,Yes,Yes,Yes,628,133,No,22,No,106,0.797,8,0.2118,94,14,3,0.7068,939,480,134,927,8,3,5,12,0.1277,0.218,0.2256,0.1278,0.4286,79,0.594,24,0.1805,6.9699,107.3,1.4952,7.0602,-0.5517,0.0376,9.9894,5.1064,1.4255,53,17
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,17,145,Yes,No,Yes,497,115,No,7,Yes,98,0.8522,5,0.2314,92,5,,0.8,1034,610,118,631,8,4,5,14,0.1522,0.1478,0.3739,0.1478,0.313,90,0.7826,20,0.1739,5.487,120.1,2.0805,8.9913,1.8152,0.0435,11.2391,6.6304,1.2826,54,19
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,197,Yes,No,No,704,155,No,18,Yes,126,0.8129,10,0.2202,115,12,1,0.7419,1495,850,218,1255,10,6,6,18,0.1565,0.2194,0.2258,0.2129,0.3419,112,0.7226,29,0.1871,8.0968,120.2,2.1236,9.6452,1.8373,0.0387,13,7.3913,1.8957,69,22
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Closed,Closed,Cover 1,17,152,Yes,Yes,Yes,534,128,No,12,No,108,0.8438,6,0.2397,94,7,,0.7344,1125,572,161,1014,7,4,10,10,0.1064,0.2266,0.1484,0.2266,0.3906,88,0.6875,18,0.1406,7.9219,118.1,2.1067,8.7891,1.2343,0.0781,11.9681,6.0851,1.7128,50,15
21,Minnesota,Vikings,1,GB,NFC,NFC North,Open,Open,Red Zone,17,144,Yes,Yes,Yes,486,111,No,7,No,91,0.8198,7,0.2284,83,5,1,0.7477,919,565,140,611,5,2,7,11,0.1325,0.1622,0.2883,0.1712,0.3784,73,0.6577,20,0.1802,5.5045,106.4,1.8909,8.2793,1.0746,0.0631,11.0723,6.8072,1.6867,39,15
