teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsContested,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsHero
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Bracket,17,55,No,Yes,Yes,260,55,No,1,Yes,53,0.9636,0.2115,49,0.8909,357,366,90,-3,3,17,0.3469,0.8182,0.0727,0.1091,-0.0545,93.7,1.3731,6.4909,0.4694,0.0545,7.2857,7.4694,1.8367,12,4,,,,,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,40,No,No,No,190,40,No,1,Yes,34,0.85,0.2105,28,0.7,187,230,106,-36,6,11,0.3929,0.75,0.05,0.15,-0.9,79.9,0.9842,4.675,-1.0106,0.15,6.6786,8.2143,3.7857,7,4,1,1,,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Closed,Cover 1,17,39,Yes,No,Yes,189,39,No,1,Yes,35,0.8974,0.2063,31,0.7949,206,246,71,-34,3,6,0.1935,0.8718,0.0513,0.0769,-0.8718,88.7,1.0899,5.2821,-0.5724,0.0769,6.6452,7.9355,2.2903,7,,1,,,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 6,17,53,No,No,No,239,53,No,1,Yes,46,0.8679,0.2218,41,0.7736,324,378,133,-26,3,18,0.439,0.7358,0.2075,0.0566,-0.4906,110.9,1.3556,6.1132,0.2767,0.0566,7.9024,9.2195,3.2439,17,7,1,,3,,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 6,17,44,No,No,No,207,44,No,1,Yes,38,0.8636,0.2126,35,0.7955,147,195,66,-63,2,5,0.1429,0.7273,0.1591,0.0909,-1.4318,80.6,0.7101,3.3409,-2.2552,0.0455,4.2,5.5714,1.8857,5,1,,,,0.0227,,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Closed,Cover 1,16,43,Yes,No,Yes,196,43,No,3,Yes,35,0.814,0.2194,30,0.6977,266,270,95,6,4,6,0.2,0.7907,0.1163,0.0698,0.1395,86,1.3571,6.186,0.5687,0.093,8.8667,9,3.1667,8,4,,1,,0.0233,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Open,Cover 2,16,41,Yes,No,No,180,41,No,,Yes,36,0.878,0.2278,34,0.8293,250,253,78,-8,2,6,0.1765,0.7073,0.1463,0.0976,-0.1951,100.2,1.3889,6.0976,0.324,0.0488,7.3529,7.4412,2.2941,7,2,,,1,0.0488,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Open,Cover 6,17,53,Yes,No,No,253,53,No,1,Yes,47,0.8868,0.2095,46,0.8679,229,282,73,-57,1,9,0.1957,0.7547,0.1509,0.0943,-1.0755,84.7,0.9051,4.3208,-1.3354,0.0189,4.9783,6.1304,1.587,8,2,1,1,,,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 4,17,38,No,Yes,No,172,38,Yes,6,Yes,36,0.9474,0.2209,33,0.8684,193,203,66,-4,2,9,0.2727,0.7895,0.0526,0.1316,-0.1053,87.8,1.1221,5.0789,-0.6553,0.0526,5.8485,6.1515,2,8,1,,5,,0.0263,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 1,17,29,No,Yes,Yes,135,29,No,2,No,26,0.8966,0.2148,25,0.8621,116,148,61,-30,,7,0.28,0.8621,,0.1379,-1.0345,83.3,0.8593,4,-1.824,,4.64,5.92,2.44,6,5,1,1,,,,
