teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingAlignmentInlineTargetsPercentage,teamIsHomeTeam
25,New York,Jets,NO,NFC,NFC South,Closed,Open,Cover 6,14,17,Yes,No,No,75,17,No,2,No,12,0.7059,2,0.2267,10,0.5882,132,44,8,193,1,1,1,1,0.1,0.0588,0.1765,0.7647,11.3529,103.1,1.76,7.7647,-0.644,0.0588,13.2,4.4,0.8,5,2,,,,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Open,Cover 4,16,30,Yes,Yes,No,136,30,Yes,4,Yes,17,0.5667,6,0.2206,13,0.4333,214,62,13,466,3,3,3,1,0.0769,0.1,0.4667,0.3667,15.5333,87.4,1.5735,7.1333,-2.304,0.1,16.4615,4.7692,1,11,6,2,2,0.0333,
3,Baltimore,Ravens,GB,NFC,NFC North,Open,Open,Cover 4,15,30,Yes,Yes,No,144,30,No,7,Yes,20,0.6667,5,0.2083,17,0.5667,315,77,9,432,2,2,,1,0.0588,0.0333,0.4,0.5,14.4,101.4,2.1875,10.5,1.3487,,18.5294,4.5294,0.5294,15,6,5,3,0.0667,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Closed,Cover 3,17,29,Yes,Yes,No,137,29,Yes,8,Yes,22,0.7586,2,0.2117,20,0.6897,329,51,8,382,2,1,1,1,0.05,0.1379,0.2069,0.5517,13.1724,129.8,2.4015,11.3448,2.2254,0.0345,16.45,2.55,0.4,15,3,7,3,0.1034,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Open,Open,Cover 4,14,27,No,Yes,No,118,27,Yes,6,No,17,0.6296,2,0.2288,13,0.4815,229,51,12,408,,,1,1,0.0769,0.0741,0.3704,0.4815,15.1111,62.1,1.9407,8.4815,-1.5832,0.037,17.6154,3.9231,0.9231,10,5,2,2,0.0741,
18,Los Angeles,Chargers,HST,AFC,AFC South,Open,Open,Cover 4,16,18,No,Yes,No,86,18,No,3,Yes,10,0.5556,2,0.2093,8,0.4444,133,25,8,275,,,1,,,,0.4444,0.5,15.2778,46.8,1.5465,7.3889,-1.5925,0.0556,16.625,3.125,1,6,4,1,,0.0556,1
11,Detroit,Lions,CHI,NFC,NFC North,Open,Closed,Cover 3,15,23,Yes,Yes,Yes,106,23,No,3,No,12,0.5217,1,0.217,10,0.4348,185,27,12,398,1,1,1,2,0.2,0.0435,0.4348,0.5217,17.3043,68.2,1.7453,8.0435,-0.6895,0.0435,18.5,2.7,1.2,8,2,2,2,,
23,New Orleans,Saints,TEN,AFC,AFC South,Open,Closed,Cover 3,15,25,No,Yes,Yes,111,25,Yes,6,Yes,15,0.6,1,0.2252,9,0.36,148,33,12,353,,,4,2,0.2222,,0.32,0.6,14.12,40.1,1.3333,5.92,-3.3964,0.16,16.4444,3.6667,1.3333,7,3,2,,0.08,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Closed,Cover 3,16,19,Yes,Yes,No,81,19,Yes,,Yes,13,0.6842,1,0.2346,13,0.6842,234,57,13,290,1,,,1,0.0769,0.1053,0.3684,0.4737,15.2632,128,2.8889,12.3158,2.6069,,18,4.3846,1,9,2,,,0.0526,1
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 2,14,16,Yes,Yes,No,75,16,No,4,No,11,0.6875,,0.2133,6,0.375,97,25,7,209,,,2,,,0.0625,0.3125,0.375,13.0625,58.6,1.2933,6.0625,-2.7896,0.125,16.1667,4.1667,1.1667,4,,1,,0.25,1
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,14,17,No,Yes,No,79,17,Yes,3,Yes,12,0.7059,2,0.2152,10,0.5882,174,66,24,223,,,1,3,0.3,0.2353,0.1765,0.4118,13.1176,69.2,2.2025,10.2353,1.5187,0.0588,17.4,6.6,2.4,8,3,1,,0.1765,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Closed,Cover 1,16,31,Yes,Yes,Yes,147,31,Yes,5,Yes,20,0.6452,6,0.2109,14,0.4516,166,19,8,433,3,3,4,1,0.0714,0.0645,0.4839,0.3871,13.9677,94.3,1.1293,5.3548,-3.7969,0.129,11.8571,1.3571,0.5714,11,6,2,,0.0645,1
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Bracket,16,33,No,Yes,No,152,33,No,14,No,23,0.697,6,0.2171,16,0.4848,242,53,31,510,2,2,,3,0.1875,0.1212,0.3636,0.3939,15.4545,80.6,1.5921,7.3333,-1.6629,,15.125,3.3125,1.9375,11,7,6,,0.1212,1
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,15,22,No,Yes,No,105,22,No,5,No,15,0.6818,,0.2095,11,0.5,295,145,31,387,2,,,5,0.4545,0.0455,0.5455,0.4091,17.5909,107.2,2.8095,13.4091,3.558,,26.8182,13.1818,2.8182,10,1,1,1,,1
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Bracket,17,20,No,Yes,No,91,20,No,3,No,12,0.6,5,0.2198,11,0.55,198,47,4,274,2,2,1,1,0.0909,0.1,0.3,0.35,13.7,122.5,2.1758,9.9,0.4755,0.05,18,4.2727,0.3636,10,5,2,1,0.2,
2,Atlanta,Falcons,LA,NFC,NFC West,Open,Closed,Cover 3,16,23,No,Yes,No,111,23,Yes,4,Yes,18,0.7826,3,0.2072,15,0.6522,179,35,8,253,3,2,2,1,0.0667,0.087,0.3043,0.5652,11,128.4,1.6126,7.7826,-0.8135,0.087,11.9333,2.3333,0.5333,12,4,2,,0.0435,1
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,15,23,No,Yes,No,108,23,No,2,No,15,0.6522,3,0.213,12,0.5217,139,20,8,299,1,1,3,,,0.087,0.2609,0.3478,13,85.2,1.287,6.0435,-2.6892,0.1304,11.5833,1.6667,0.6667,9,3,2,,0.3043,
4,Buffalo,Bills,PHI,NFC,NFC East,Open,Open,Cover 2,15,25,No,Yes,No,116,25,Yes,5,Yes,16,0.64,5,0.2155,13,0.52,217,25,32,372,2,2,1,1,0.0769,0.08,0.44,0.44,14.88,108.3,1.8707,8.68,-0.9015,0.04,16.6923,1.9231,2.4615,12,4,3,2,0.04,1
1,Arizona,Cardinals,CIN,AFC,AFC North,Closed,Open,Bracket,16,19,No,Yes,No,86,19,Yes,4,Yes,10,0.5263,2,0.2209,10,0.5263,229,92,65,324,2,1,,4,0.4,0.0526,0.3684,0.4211,17.0526,109.3,2.6628,12.0526,2.3895,,22.9,9.2,6.5,10,3,3,,0.1579,
