teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 6,17,173,No,No,No,698,173,No,20,Yes,173,1,6,0.2479,159,14,0.9191,1700,1093,398,738,10,5,8,21,0.1321,0.1387,0.1272,0.3873,0.3468,121,0.6994,35,0.2023,4.2659,124.5,2.4355,9.8266,3.218,0.0462,10.6918,6.8742,2.5031,87,20,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,199,No,No,No,805,199,No,17,Yes,199,1,3,0.2472,187,12,0.9397,1735,1071,333,778,6,3,7,34,0.1818,0.2211,0.1106,0.3266,0.3417,129,0.6482,45,0.2261,3.9095,113,2.1553,8.7186,2.043,0.0352,9.2781,5.7273,1.7807,84,19,,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 0,17,207,No,No,No,839,207,No,20,Yes,207,1,4,0.2467,193,14,0.9324,1666,1022,266,761,9,3,8,36,0.1865,0.2319,0.0821,0.3285,0.3478,149,0.7198,40,0.1932,3.6763,112.7,1.9857,8.0483,1.4832,0.0386,8.6321,5.2953,1.3782,79,26,1,
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 2,17,143,Yes,No,No,555,143,No,26,Yes,143,1,4,0.2577,126,13,0.8811,1175,643,201,748,7,4,5,20,0.1587,0.1748,0.0839,0.2797,0.4615,106,0.7413,35,0.2448,5.2308,114.3,2.1171,8.2168,1.3056,0.035,9.3254,5.1032,1.5952,53,19,,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,17,142,No,No,No,566,142,Yes,15,Yes,142,1,2,0.2509,133,9,0.9366,1051,814,226,284,5,2,4,23,0.1729,0.2535,0.1549,0.2746,0.3169,97,0.6831,40,0.2817,2,109.2,1.8569,7.4014,1.1027,0.0282,7.9023,6.1203,1.6992,59,14,,
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 3,17,126,Yes,No,Yes,464,126,No,8,Yes,126,1,2,0.2716,118,4,0.9365,1127,754,247,399,2,2,5,24,0.2034,0.1746,0.1587,0.3254,0.3413,76,0.6032,30,0.2381,3.1667,109.2,2.4289,8.9444,2.5936,0.0397,9.5508,6.3898,2.0932,56,7,1,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,133,Yes,No,Yes,502,133,No,17,Yes,133,1,1,0.2649,122,12,0.9173,1048,775,211,344,3,1,7,17,0.1393,0.2481,0.0977,0.3158,0.3383,95,0.7143,41,0.3083,2.5865,107,2.0876,7.8797,1.3852,0.0526,8.5902,6.3525,1.7295,47,8,1,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,209,No,No,No,799,209,No,33,Yes,209,1,,0.2616,199,27,0.9522,1528,923,281,667,3,,3,22,0.1106,0.1914,0.1005,0.2727,0.4306,155,0.7416,56,0.2679,3.1914,99.9,1.9124,7.311,0.9204,0.0144,7.6784,4.6382,1.4121,72,13,1,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 4,17,154,No,No,No,599,154,No,14,Yes,154,1,1,0.2571,142,8,0.9221,1273,957,337,390,3,1,6,29,0.2042,0.2468,0.0584,0.3117,0.3701,116,0.7532,45,0.2922,2.5325,107.6,2.1252,8.2662,1.9529,0.039,8.9648,6.7394,2.3732,54,16,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,151,No,No,No,565,151,No,20,Yes,151,1,2,0.2673,137,10,0.9073,1254,949,263,371,8,1,8,18,0.1314,0.2252,0.0993,0.3311,0.3444,102,0.6755,42,0.2781,2.457,118.9,2.2195,8.3046,1.9647,0.053,9.1533,6.927,1.9197,62,22,,
