teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone
8,Cleveland,Browns,1,PIT,AFC,AFC North,Open,Open,Cover 4,15,17,No,No,No,66,17,No,3,Yes,17,1,0.2576,9,1,0.5294,58,36,8,82,7,1,0.1111,0.0588,0.2941,0.2941,0.3529,14,0.8235,4,0.2353,4.8235,60.4,0.8788,3.4118,-3.5539,0.4118,6.4444,4,0.8889,1,2,,,,
26,Philadelphia,Eagles,,BUF,AFC,AFC East,Open,Open,Cover 6,16,28,No,No,No,124,28,Yes,7,Yes,28,1,0.2258,10,3,0.3571,95,28,16,238,13,,,0.1786,0.0357,0.4286,0.3571,18,0.6429,,,8.5,46,0.7661,3.3929,-4.4226,0.4643,9.5,2.8,1.6,4,1,1,1,,
7,Cincinnati,Bengals,1,ARZ,NFC,NFC West,Open,Open,Cover 2,14,19,No,No,No,70,19,No,3,Yes,19,1,0.2714,11,,0.5789,102,104,20,91,4,1,0.0909,0.1579,0.1053,0.4737,0.2632,13,0.6842,5,0.2632,4.7895,33.1,1.4571,5.3684,-1.7785,0.2105,9.2727,9.4545,1.8182,6,3,1,,,
32,Washington,Commanders,1,DAL,NFC,NFC East,Open,Closed,Cover 3,15,21,No,No,No,79,21,No,6,Yes,21,1,0.2658,13,2,0.619,147,47,11,214,3,,,0.0952,0.1905,0.2381,0.4762,17,0.8095,2,0.0952,10.1905,98.7,1.8608,7,-1.2112,0.1429,11.3077,3.6154,0.8462,9,4,3,2,1,1
2,Atlanta,Falcons,1,NO,NFC,NFC South,Closed,Closed,Cover 1,16,21,No,Yes,Yes,88,21,No,7,Yes,21,1,0.2386,11,1,0.5238,143,60,4,174,6,,,0.0952,0.2381,0.2381,0.4286,15,0.7143,3,0.1429,8.2857,34.5,1.625,6.8095,-1.0209,0.2857,13,5.4545,0.3636,8,,1,4,,
4,Buffalo,Bills,1,PHI,NFC,NFC East,Open,Open,Cover 6,12,8,No,No,No,27,8,Yes,1,Yes,8,1,0.2963,7,1,0.875,50,33,14,18,1,2,0.2857,0.125,,0.375,0.5,6,0.75,2,0.25,2.25,132.3,1.8519,6.25,0.1999,0.125,7.1429,4.7143,2,4,3,1,,1,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Closed,Cover 3,15,15,No,Yes,No,73,15,No,3,Yes,15,1,0.2055,11,2,0.7333,140,30,11,116,4,1,0.0909,0.2667,0.3333,0.2,0.2,10,0.6667,,,7.7333,102.1,1.9178,9.3333,1.463,0.2667,12.7273,2.7273,1,6,3,,2,,
24,New York,Giants,1,DAL,NFC,NFC East,Closed,Closed,Cover 3,15,19,No,Yes,No,88,19,No,6,Yes,19,1,0.2159,13,4,0.6842,168,45,26,159,5,,,0.1579,0.1053,0.1579,0.5789,12,0.6316,1,0.0526,8.3684,113.5,1.9091,8.8421,1.1721,0.2632,12.9231,3.4615,2,6,2,,3,1,
5,Carolina,Panthers,,TB,NFC,NFC South,Open,Closed,Cover 3,15,17,No,Yes,No,71,17,No,4,Yes,17,1,0.2394,8,,0.4706,87,77,13,159,5,,,0.2941,0.1176,0.1765,0.4118,12,0.7059,3,0.1765,9.3529,62.6,1.2254,5.1176,-3.2283,0.2941,10.875,9.625,1.625,4,1,1,,,
6,Chicago,Bears,1,DET,NFC,NFC North,Closed,Closed,Cover 3,12,11,Yes,No,No,47,11,No,4,Yes,11,1,0.234,8,3,0.7273,102,20,4,141,2,,,0.0909,0.1818,0.1818,0.5455,10,0.9091,,,12.8182,103,2.1702,9.2727,0.6969,0.1818,12.75,2.5,0.5,6,2,1,2,2,1
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Open,Cover 2,16,21,No,No,No,100,21,No,5,Yes,21,1,0.21,14,2,0.6667,112,61,39,129,4,3,0.2143,0.1905,0.0476,0.381,0.381,12,0.5714,,,6.1429,79.9,1.12,5.3333,-1.5071,0.1905,8,4.3571,2.7857,5,1,1,1,,
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 4,15,24,No,No,No,105,24,Yes,5,Yes,24,1,0.2286,17,2,0.7083,149,24,15,195,4,1,0.0588,0.125,0.1667,0.2917,0.4167,17,0.7083,1,0.0417,8.125,87,1.419,6.2083,-1.2869,0.1667,8.7647,1.4118,0.8824,7,3,,5,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 3,14,25,Yes,No,No,107,25,Yes,7,Yes,25,1,0.2336,13,2,0.52,166,78,16,209,6,,,0.12,0.12,0.24,0.52,16,0.64,3,0.12,8.36,86.4,1.5514,6.64,-1.316,0.24,12.7692,6,1.2308,9,4,1,2,1,1
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Cover 2,15,28,No,Yes,No,117,28,No,6,Yes,28,1,0.2393,15,2,0.5357,143,60,15,164,7,1,0.0667,0.0714,0.1429,0.3929,0.3929,20,0.7143,2,0.0714,5.8571,68,1.2222,5.1071,-1.7885,0.25,9.5333,4,1,8,6,1,1,,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,13,23,Yes,Yes,Yes,93,23,Yes,5,Yes,23,1,0.2473,13,2,0.5652,137,63,9,210,5,2,0.1538,0.1304,0.1304,0.4348,0.3043,17,0.7391,1,0.0435,9.1304,74,1.4731,5.9565,-1.9191,0.2174,10.5385,4.8462,0.6923,6,3,2,2,,
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Closed,Cover 3,16,18,No,Yes,No,82,18,No,5,Yes,18,1,0.2195,11,1,0.6111,105,50,16,114,3,1,0.0909,0.1111,0.1111,0.4444,0.3333,12,0.6667,2,0.1111,6.3333,77.3,1.2805,5.8333,-1.3455,0.1667,9.5455,4.5455,1.4545,4,,,1,,
22,New England,Patriots,1,MIA,AFC,AFC East,Closed,Closed,Cover 3,14,20,No,No,No,92,20,No,3,Yes,20,1,0.2174,14,,0.7,112,28,12,115,3,,,0.25,0.15,0.35,0.25,12,0.6,1,0.05,5.75,83.7,1.2174,5.6,-1.3258,0.15,8,2,0.8571,3,,,2,,
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Open,Closed,Cover 3,15,27,No,Yes,No,114,27,No,11,Yes,27,1,0.2368,16,5,0.5926,148,43,9,249,5,2,0.125,0.1852,0.1111,0.3333,0.3704,24,0.8889,1,0.037,9.2222,86.7,1.2982,5.4815,-2.4273,0.1852,9.25,2.6875,0.5625,7,4,3,1,1,1
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,16,27,No,No,No,122,27,Yes,9,Yes,27,1,0.2213,13,3,0.4815,128,61,52,157,10,2,0.1538,0.1481,0.1481,0.2963,0.4074,17,0.6296,3,0.1111,5.8148,46.5,1.0492,4.7407,-2.4096,0.3704,9.8462,4.6923,4,6,3,2,1,,
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 2,15,14,No,Yes,No,60,14,No,3,Yes,14,1,0.2333,9,2,0.6429,87,26,11,105,2,1,0.1111,0.0714,0.2143,0.0714,0.6429,9,0.6429,,,7.5,105.4,1.45,6.2143,-0.9878,0.1429,9.6667,2.8889,1.2222,4,3,2,1,1,1
25,New York,Jets,,NO,NFC,NFC South,Open,Closed,Cover 3,15,18,No,No,Yes,70,18,Yes,4,Yes,18,1,0.2571,8,,0.4444,106,55,18,117,5,,,0.1111,0.2222,0.3889,0.2778,15,0.8333,2,0.1111,6.5,63.7,1.5143,5.8889,-1.4242,0.2778,13.25,6.875,2.25,4,3,,,,
20,Miami,Dolphins,,NE,AFC,AFC East,Closed,Closed,Cover 3,16,18,No,No,No,77,18,No,8,Yes,18,1,0.2338,12,3,0.6667,157,80,34,146,3,3,0.25,0.1667,0.0556,0.5,0.2222,13,0.7222,1,0.0556,8.1111,107.9,2.039,8.7222,1.1369,0.1667,13.0833,6.6667,2.8333,5,6,1,,2,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 2,13,14,No,No,No,59,14,No,3,Yes,14,1,0.2373,8,1,0.5714,88,36,6,139,4,1,0.125,0.0714,,0.5714,0.3571,11,0.7857,2,0.1429,9.9286,115.5,1.4915,6.2857,-2.1709,0.2857,11,4.5,0.75,4,3,1,,2,1
12,Green Bay,Packers,1,BLT,AFC,AFC North,Open,Open,Cover 2,15,16,No,No,No,74,16,No,2,Yes,16,1,0.2162,13,,0.8125,130,25,7,119,1,2,0.1538,0.1875,0.1875,0.0625,0.5625,8,0.5,1,0.0625,7.4375,100.5,1.7568,8.125,0.8154,0.0625,10,1.9231,0.5385,9,1,,2,,
