teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,259,No,No,No,1158,259,No,52,Yes,218,0.8417,10,0.2237,186,29,2,0.7181,2041,761,298,2046,14,7,15,22,0.1183,0.0772,0.1197,0.3475,0.4556,195,0.7529,1,0.0039,7.8996,101.5,1.7625,7.8803,0.3682,0.0579,10.9731,4.0914,1.6022,105,35
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,232,No,Yes,No,1020,232,No,34,Yes,189,0.8147,14,0.2275,166,25,1,0.7155,2042,1000,365,1716,19,9,14,24,0.1446,0.0474,0.1983,0.2845,0.4698,185,0.7974,3,0.0129,7.3966,120.3,2.002,8.8017,1.3873,0.0603,12.3012,6.0241,2.1988,119,40
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,226,No,No,Yes,1010,226,Yes,35,Yes,184,0.8142,18,0.2238,158,19,,0.6991,2125,1020,363,1953,13,9,14,31,0.1962,0.0752,0.1549,0.354,0.4159,169,0.7478,,,8.6416,109.5,2.104,9.4027,1.5571,0.0619,13.4494,6.4557,2.2975,108,33
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,254,No,Yes,No,1126,254,No,52,Yes,205,0.8071,14,0.2256,162,32,2,0.6378,1637,630,268,1942,6,3,22,12,0.0741,0.0866,0.122,0.3504,0.4409,185,0.7283,1,0.0039,7.6457,81.8,1.4538,6.4449,-1.0469,0.0866,10.1049,3.8889,1.6543,87,32
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,273,No,Yes,Yes,1216,273,Yes,43,Yes,224,0.8205,19,0.2245,186,21,2,0.6813,2143,880,304,2069,18,9,20,30,0.1613,0.0549,0.1209,0.3407,0.4835,215,0.7875,2,0.0073,7.5788,105.9,1.7623,7.8498,0.3559,0.0733,11.5215,4.7312,1.6344,113,56
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,208,No,No,Yes,912,208,Yes,27,Yes,161,0.774,12,0.2281,137,15,,0.6587,1370,568,189,1556,10,3,15,12,0.0876,0.0625,0.1683,0.3077,0.4615,168,0.8077,,,7.4808,88.4,1.5022,6.5865,-0.8027,0.0721,10,4.146,1.3796,80,35
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Open,Cover 4,17,250,No,No,No,1112,250,Yes,35,Yes,196,0.784,15,0.2248,166,22,2,0.664,1790,635,185,2127,16,9,17,18,0.1084,0.096,0.148,0.392,0.364,199,0.796,2,0.008,8.508,103.6,1.6097,7.16,-0.5979,0.068,10.7831,3.8253,1.1145,104,38
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Prevent,17,224,No,No,No,941,224,No,40,No,194,0.8661,12,0.238,166,23,3,0.7411,1742,739,214,1591,11,8,14,17,0.1024,0.067,0.1205,0.3839,0.4286,172,0.7679,3,0.0134,7.1027,105.2,1.8512,7.7768,0.5839,0.0625,10.494,4.4518,1.2892,85,29
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,207,No,No,No,920,207,No,33,Yes,163,0.7874,13,0.225,142,22,4,0.686,1620,619,210,1835,12,5,13,12,0.0845,0.058,0.1836,0.343,0.4155,155,0.7488,4,0.0193,8.8647,101.1,1.7609,7.8261,-0.0053,0.0628,11.4085,4.3592,1.4789,90,30
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 0,17,244,Yes,Yes,Yes,1072,244,No,31,Yes,200,0.8197,16,0.2276,179,23,1,0.7336,2160,948,284,1940,17,8,15,15,0.0838,0.0656,0.1721,0.3689,0.3934,189,0.7746,4,0.0164,7.9508,101.1,2.0149,8.8525,1.2624,0.0615,12.067,5.2961,1.5866,119,32
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,255,No,No,No,1159,255,No,32,Yes,217,0.851,21,0.22,193,23,3,0.7569,2094,789,271,1993,21,13,19,21,0.1088,0.0824,0.2,0.3294,0.3882,200,0.7843,,,7.8157,121.9,1.8067,8.2118,0.7567,0.0745,10.8497,4.0881,1.4041,120,53
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,190,Yes,No,No,832,190,No,21,Yes,150,0.7895,12,0.2284,125,13,3,0.6579,1402,541,168,1520,8,7,17,14,0.112,0.0684,0.0842,0.3684,0.4789,142,0.7474,2,0.0105,8,95.1,1.6851,7.3789,-0.1415,0.0895,11.216,4.328,1.344,77,27
14,Indianapolis,Colts,,HST,AFC,AFC South,Open,Open,Prevent,17,285,No,No,No,1254,285,No,46,Yes,239,0.8386,24,0.2273,206,30,3,0.7228,2470,944,323,2351,13,10,16,25,0.1214,0.0632,0.1509,0.3404,0.4456,221,0.7754,4,0.014,8.2491,103.4,1.9697,8.6667,1.0702,0.0561,11.9903,4.5825,1.568,130,49
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 4,17,236,No,No,No,1037,236,No,38,No,198,0.839,11,0.2276,164,23,5,0.6949,1845,652,235,1922,12,5,22,11,0.0671,0.0678,0.1186,0.3347,0.4788,192,0.8136,5,0.0212,8.1441,100.7,1.7792,7.8178,0.2236,0.0932,11.25,3.9756,1.4329,103,37
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Red Zone,17,284,No,No,No,1243,284,No,49,Yes,233,0.8204,16,0.2285,191,26,1,0.6725,2038,778,228,2154,6,4,20,21,0.1099,0.0423,0.162,0.3627,0.4331,224,0.7887,3,0.0106,7.5845,86.3,1.6396,7.1761,-0.2256,0.0704,10.6702,4.0733,1.1937,104,40
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,249,No,No,No,1121,249,Yes,45,Yes,201,0.8072,19,0.2221,159,25,1,0.6386,1770,738,254,1973,13,8,24,22,0.1384,0.0723,0.1727,0.3614,0.3936,185,0.743,,,7.9237,87.3,1.5789,7.1084,-0.4263,0.0964,11.1321,4.6415,1.5975,103,49
22,New England,Patriots,1,MIA,AFC,AFC East,Closed,Closed,Cover 1,17,220,Yes,No,Yes,965,221,No,35,Yes,169,0.7647,12,0.229,150,26,4,0.6787,1718,676,218,1782,11,8,8,18,0.12,0.0679,0.1448,0.2986,0.4842,161,0.7285,5,0.0226,8.0633,98.2,1.7803,7.7738,0.167,0.0362,11.4533,4.5067,1.4533,93,28
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Prevent,17,246,No,No,No,1095,246,No,42,Yes,209,0.8496,13,0.2247,182,27,1,0.7398,2246,963,281,1836,12,5,16,22,0.1209,0.0772,0.1423,0.3374,0.4431,185,0.752,1,0.0041,7.4634,109.6,2.0511,9.1301,1.7169,0.065,12.3407,5.2912,1.544,118,28
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,17,243,No,No,No,1110,243,No,48,Yes,196,0.8066,10,0.2189,172,31,4,0.7078,1830,664,272,1831,10,6,8,18,0.1047,0.0988,0.144,0.3498,0.4074,172,0.7078,,,7.535,99.3,1.6486,7.5309,0.1797,0.0329,10.6395,3.8605,1.5814,91,46
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Open,Cover 4,17,215,No,Yes,No,956,215,No,31,No,176,0.8186,12,0.2249,156,16,3,0.7256,1872,771,242,1710,11,5,4,15,0.0962,0.0884,0.1721,0.2791,0.4605,159,0.7395,2,0.0093,7.9535,106.2,1.9582,8.707,1.2323,0.0186,12,4.9423,1.5513,101,35
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,268,No,Yes,Yes,1177,268,Yes,50,Yes,204,0.7612,12,0.2277,179,33,1,0.6679,1957,640,224,2262,11,5,12,19,0.1061,0.0634,0.0933,0.347,0.4963,209,0.7799,3,0.0112,8.4403,94.1,1.6627,7.3022,-0.4223,0.0448,10.933,3.5754,1.2514,107,48
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Red Zone,17,202,Yes,Yes,Yes,905,202,No,43,No,166,0.8218,9,0.2232,146,28,4,0.7228,1563,492,188,1663,13,5,7,11,0.0753,0.0693,0.1683,0.2426,0.5198,135,0.6683,2,0.0099,8.2327,116,1.7271,7.7376,0.0424,0.0347,10.7055,3.3699,1.2877,93,30
20,Miami,Dolphins,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,208,Yes,No,Yes,920,208,No,27,Yes,175,0.8413,13,0.2261,155,20,1,0.7452,1680,729,196,1492,14,9,15,18,0.1161,0.0433,0.2115,0.3846,0.3558,156,0.75,1,0.0048,7.1731,112.3,1.8261,8.0769,0.6738,0.0721,10.8387,4.7032,1.2645,92,32
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,240,Yes,No,No,1027,240,No,38,Yes,197,0.8208,14,0.2337,168,22,,0.7,1992,896,261,1867,20,11,14,11,0.0655,0.075,0.1583,0.3333,0.4333,204,0.85,,,7.7792,122.8,1.9396,8.3,0.7664,0.0583,11.8571,5.3333,1.5536,127,36
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,199,No,No,No,901,199,No,31,Yes,154,0.7739,9,0.2209,134,20,,0.6734,1542,637,211,1578,8,5,12,11,0.0821,0.0553,0.1256,0.3618,0.4573,154,0.7739,1,0.005,7.9296,82.9,1.7114,7.7487,0.1479,0.0603,11.5075,4.7537,1.5746,81,30
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Open,Cover 4,17,263,No,Yes,No,1161,263,No,52,No,200,0.7605,16,0.2265,165,29,4,0.6274,1806,674,224,2229,12,7,17,15,0.0909,0.0608,0.1521,0.308,0.4753,208,0.7909,2,0.0076,8.4753,76,1.5556,6.8669,-0.8318,0.0646,10.9455,4.0848,1.3576,105,38
13,Houston,Texans,1,IND,AFC,AFC South,Open,Open,Prevent,17,217,No,No,No,975,217,No,40,Yes,178,0.8203,10,0.2226,142,23,2,0.6544,1401,482,189,1633,8,6,18,12,0.0845,0.0691,0.1751,0.3917,0.3641,168,0.7742,1,0.0046,7.5253,78.5,1.4369,6.4562,-0.9285,0.0829,9.8662,3.3944,1.331,81,30
21,Minnesota,Vikings,1,GB,NFC,NFC North,Open,Open,Red Zone,17,184,Yes,Yes,Yes,757,184,No,19,No,144,0.7826,11,0.2431,125,9,2,0.6793,1317,482,175,1397,6,5,13,13,0.104,0.0707,0.163,0.3696,0.3967,140,0.7609,4,0.0217,7.5924,92.6,1.7398,7.1576,-0.345,0.0707,10.536,3.856,1.4,63,31
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,17,258,Yes,Yes,Yes,1132,258,No,53,Yes,212,0.8217,20,0.2279,172,24,4,0.6667,1938,634,261,2307,14,9,16,14,0.0814,0.0543,0.1279,0.3566,0.4612,201,0.7791,3,0.0116,8.9419,94.1,1.712,7.5116,-0.2605,0.062,11.2674,3.686,1.5174,109,48
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,211,No,No,No,933,211,No,23,Yes,165,0.782,9,0.2262,146,14,1,0.6919,1554,564,199,1879,9,6,11,20,0.137,0.0284,0.1801,0.327,0.4645,163,0.7725,,,8.9052,90.8,1.6656,7.3649,-0.5078,0.0521,10.6438,3.863,1.363,87,22
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 4,17,189,No,No,No,824,189,No,21,No,157,0.8307,15,0.2294,139,15,,0.7354,1624,709,252,1511,10,8,14,14,0.1007,0.0952,0.1429,0.3333,0.4286,145,0.7672,5,0.0265,7.9947,112.4,1.9709,8.5926,1.0305,0.0741,11.6835,5.1007,1.8129,87,35
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Prevent,17,190,No,No,No,826,190,No,29,No,162,0.8526,12,0.23,139,18,,0.7316,1570,675,215,1396,12,8,15,14,0.1007,0.1,0.1263,0.3158,0.4526,141,0.7421,2,0.0105,7.3474,116.3,1.9007,8.2632,1.0367,0.0789,11.295,4.8561,1.5468,89,35
