teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsFirstDownsPassing,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
5,Carolina,Panthers,1,SEA,NFC,NFC West,Open,Open,Cover 0,9,4,No,Yes,Yes,19,4,No,1,No,2,0.5,0.2105,1,0.25,62,20,146,1,1,4,1,36.5,118.8,3.2632,15.5,2.011,62,20,1,,,,,,,,,,,,,,
13,Houston,Texans,1,LV,AFC,AFC West,Open,Closed,Cover 3,9,16,No,No,No,78,16,No,2,No,10,0.625,0.2051,7,0.4375,196,30,455,1,0.8125,12,0.75,28.4375,84.4,2.5128,12.25,-0.4344,28,4.2857,7,1,1,1,3,1,1,0.1875,0.0625,0.4286,1,,,,
6,Chicago,Bears,1,DET,NFC,NFC North,Closed,Closed,Cover 3,12,15,Yes,No,No,66,15,Yes,3,Yes,7,0.4667,0.2273,6,0.4,251,40,432,2,0.5333,13,0.8667,28.8,99.3,3.803,16.7333,4.9719,41.8333,6.6667,6,4,2,1,4,,1,0.3333,0.0667,0.6667,4,0.0667,0.0667,,
29,San Francisco,49ers,1,SEA,NFC,NFC West,Closed,Closed,Cover 1,11,15,No,No,Yes,68,15,Yes,3,Yes,8,0.5333,0.2206,6,0.4,164,20,372,1,0.6,14,0.9333,24.8,103.2,2.4118,10.9333,-0.9097,27.3333,3.3333,6,3,2,2,7,1,1,0.2667,0.0667,1.1667,1,,0.1333,,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,15,19,No,Yes,No,84,19,No,5,Yes,12,0.6316,0.2262,8,0.4211,250,43,583,3,0.7368,17,0.8947,30.6842,106.9,2.9762,13.1579,0.6876,31.25,5.375,8,4,2,,16,1,2,0.1579,0.1053,2,2,,0.1053,1,0.125
11,Detroit,Lions,,CHI,NFC,NFC North,Closed,Closed,Cover 3,11,18,Yes,No,No,79,18,Yes,8,Yes,11,0.6111,0.2278,6,0.3333,216,40,540,3,0.7778,17,0.9444,30,79.9,2.7342,12,-0.3341,36,6.6667,6,1,3,1,3,1,2,0.0556,0.1111,0.5,,,0.1667,,
21,Minnesota,Vikings,,NYG,NFC,NFC East,Closed,Closed,Cover 1,9,10,No,Yes,Yes,41,10,No,1,Yes,4,0.4,0.2439,4,0.4,189,61,307,2,0.8,9,0.9,30.7,127.1,4.6098,18.9,6.4837,47.25,15.25,4,3,1,,33,,,0.2,,8.25,2,,,,
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Closed,Cover 1,13,13,Yes,Yes,Yes,64,13,Yes,2,Yes,5,0.3846,0.2031,3,0.2308,139,36,379,1,0.5385,11,0.8462,29.1538,97.3,2.1719,10.6923,-1.2431,46.3333,12,3,3,,,3,,,0.3077,,1,3,0.0769,0.0769,,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 4,11,20,No,Yes,Yes,87,20,No,4,Yes,11,0.55,0.2299,11,0.55,430,69,666,5,0.7,18,0.9,33.3,118.8,4.9425,21.5,8.4875,39.0909,6.2727,11,6,4,2,14,4,,0.25,,1.2727,1,,0.05,,
20,Miami,Dolphins,1,TB,NFC,NFC South,Open,Open,Cover 4,10,8,No,No,No,36,8,No,5,No,6,0.75,0.2222,3,0.375,115,35,234,,0.75,6,0.75,29.25,85.4,3.1944,14.375,1.4984,38.3333,11.6667,3,,2,1,14,,2,0.125,0.25,4.6667,,0.125,,1,0.3333
