teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 3,1,1,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,8,13,2,-5,1,1,1,1,1,-5,100,4,8,2.1289,8,13,2,1,,,,,,,
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Closed,Cover 3,2,2,No,Yes,No,9,2,No,No,,,0.2222,,,,,,1,0.5,,,,,0.5,39.6,,,-5.6803,,,,,0.5,,,,,,
13,Houston,Texans,,SEA,NFC,NFC West,Open,Open,Cover 6,2,2,No,No,No,8,2,No,Yes,1,0.5,0.25,1,0.5,6,8,,-2,0.5,1,0.5,1,0.5,-1,56.3,0.75,3,-2.7435,6,8,,,0.5,,,,,,
30,Tampa Bay,Buccaneers,,BUF,AFC,AFC East,Closed,Closed,Cover 1,4,2,No,Yes,Yes,7,2,No,No,1,0.5,0.2857,1,0.5,5,6,1,4,,1,0.5,1,0.5,2,56.3,0.7143,2.5,-3.1321,5,6,1,1,0.5,1,0.5,1,,,
9,Dallas,Cowboys,1,LAC,AFC,AFC West,Open,Open,Cover 2,4,1,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,12,3,1,9,,,,,,9,116.7,2.4,12,4.5461,12,3,1,1,,,1,1,,,
17,Los Angeles,Rams,,CAR,NFC,NFC South,Open,Closed,Cover 3,3,2,Yes,No,No,9,2,No,Yes,2,1,0.2222,2,1,14,12,4,2,,,,,,1,95.8,1.5556,7,1.1705,7,6,2,,0.5,,,,0.5,,
22,New England,Patriots,1,MIA,AFC,AFC East,Closed,Closed,Cover 1,3,1,Yes,No,Yes,4,1,No,Yes,1,1,0.25,1,1,-3,5,1,-8,,,,,,-8,79.2,-0.75,-3,-7.5287,-3,5,1,,,,,,,,
28,Seattle,Seahawks,,TEN,AFC,AFC South,Open,Closed,Cover 3,6,3,No,Yes,Yes,10,3,No,Yes,3,1,0.3,3,1,30,37,2,-7,0.3333,1,0.3333,1,0.3333,-2.3333,108.3,3,10,4.7262,10,12.3333,0.6667,1,0.6667,,,,,1,0.3333
25,New York,Jets,1,DAL,NFC,NFC East,Open,Closed,Cover 3,1,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,1,2,1,-1,,1,1,1,1,-1,79.2,1,1,-3.9014,1,2,1,,1,,,,,,
8,Cleveland,Browns,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,3,4,Yes,Yes,No,13,4,No,Yes,4,1,0.3077,4,1,5,6,4,-1,0.5,1,0.25,1,0.25,-0.25,79.2,0.3846,1.25,-4.6619,1.25,1.5,1,1,0.25,,,1,,1,0.25
