Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,ScramblesTouchdowns,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,TouchdownsTotal,HeroThrowPercentage,TargetedReadFirstPercentage,RunPassOptionPercentage,IncompletionsBatted
Kenny Pickett,LV,QB,7,7,2,0.6667,1,2,0.6667,0.6667,0.0334,7,28,9.3333,0.0357,4,38,2,1,0.2857,-8,0.2857,2,17,No,Yes,7,1,1.8586,0.7345,No,0.3333,1,0.3333,0.3333,4.1667,4.9,5.4,2.4714,12.6667,96.5,No,No,1,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,3.1,3.1,6,,,,,,,,,,,,
Lamar Jackson,BLT,QB,46,46,16,0.45,2,8,0.4,0.5714,-0.0458,46,142,7.1,0.3239,1.3,198,10,2,0.2174,-58,0.2174,16,114,No,Yes,46,1,16.6288,0.6385,Yes,0.25,4,0.2,0.15,5.395,5,5.5875,2.7717,14.1429,44.2,No,No,6,22.08,22.08,22.08,22.08,22.08,25.08,25.08,21.08,21.08,21.08,21.08,23.5,22.5,13,6,1,1,0.1,0.15,,,,,,,
Chris Oladokun,KC,QB,8,8,1,0.6667,,4,0.6667,0.8,0.1096,8,66,11,0.4697,8,48,1,1,0.125,-10,0.125,1,2,No,Yes,8,1,4.1658,0.4793,No,0.1667,,,,4.6,5.1,6.7,2.3375,9.6,103.5,No,Yes,3,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.5,3.5,3,1,,,0.1667,0.5,,,,,,,
Brandon Allen,TEN,QB,3,3,3,0.3333,,1,0.3333,0.3333,-0.4204,3,5,1.6667,2.6,1.6667,14,,,,,,,,No,Yes,3,1,1.8414,0.3862,No,0.6667,,,0.3333,4.1333,,,2.4,4.6667,42.4,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,1,,,,0.6667,,,,,,,,
Jayden Daniels,WAS,QB,41,41,25,0.6,2,5,0.5,1,0.3402,41,51,5.1,0.1569,4.1875,70,6,3,0.1667,-4,0.1463,25,178,No,Yes,36,0.878,6.667,0.7154,No,,1,0.1,,4.44,5.8833,4.296,2.6694,11.6667,98.3,No,No,4,23.84,23.84,23.84,23.84,23.84,26.84,26.84,23.84,23.84,23.84,23.84,24.35,24.35,7,4,,,,0.1,21,0.1,1,0.1,0.1,,
Sam Darnold,SEA,QB,34,34,4,0.6429,,17,0.6071,0.7391,0.0755,34,317,11.3214,0.4259,9.9667,265,2,,0.0667,-18,0.0588,4,26,No,Yes,30,0.8824,20.2167,0.2877,No,0.1786,3,0.1071,0.0357,4.7607,3.1,4.875,2.68,11.5217,99.9,No,Yes,11,15.28,15.28,15.28,15.28,15.28,18.28,18.28,15.28,15.28,15.28,15.28,18.45,18.45,17,5,,,,0.4643,,,,,0.1071,,
Andy Dalton,CAR,QB,5,5,1,1,,1,0.3333,0.3333,-0.2324,5,17,5.6667,,3.25,55,1,,0.2,-4,0.2,1,1,No,Yes,5,1,1.9621,0.6076,No,,1,0.3333,,4.3667,4.7,5.6,2.7,18.3333,53.5,No,No,1,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-1.22,-1.22,-1.22,-1.22,-1.22,-0.05,-1.05,4,,,,,0.6667,,,,,,,
Trevor Lawrence,JAX,QB,23,23,15,1,,5,1,1,0.2776,23,83,16.6,0.4578,9.375,45,3,1,0.1364,-8,0.1304,15,110,Yes,Yes,22,0.9565,3.161,0.8191,No,,1,0.2,0.4,4.24,4.9,5.1267,2.8227,9,118.8,No,No,3,14.32,14.32,14.32,14.32,14.32,17.32,17.32,14.32,14.32,14.32,14.32,15.15,15.15,17,,,,,0.8,,,,0.2,,,
Bo Nix,DEN,QB,73,73,20,0.551,2,17,0.3469,0.5897,-0.0984,73,196,4,0.3469,2.3585,439,4,1,0.0571,-26,0.0548,20,164,No,Yes,70,0.9589,32.3475,0.5158,Yes,0.2449,8,0.1633,0.1224,4.402,5,4.64,2.5471,11.2564,39.2,No,No,8,34.24,34.24,34.24,34.24,34.24,37.24,36.24,32.24,32.24,32.24,32.24,36.2,34.2,17,10,1,2,0.0612,0.3673,68,0.1224,,0.0204,0.0204,0.0137,
Russell Wilson,NYG,QB,15,15,6,0.25,1,1,0.125,0.3333,-0.2634,15,3,0.375,,0.1111,47,1,1,0.0667,-2,0.0667,6,31,No,Yes,15,1,4.2779,0.7148,No,0.125,1,0.125,,3.675,6,4.6333,2.4,15.6667,39.6,No,No,,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.25,3.25,6,4,,,,0.25,,,,,0.125,,1
Joe Burrow,CIN,QB,21,21,6,0.6667,3,8,0.6667,0.8889,0.2949,21,151,12.5833,0.3444,12.3333,137,3,1,0.1429,-26,0.1429,6,20,No,Yes,21,1,8.0901,0.6148,No,0.0833,3,0.25,,4.4833,3.7333,5.3833,2.6095,15.2222,149.3,No,No,8,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,21.55,21.55,8,3,,,,0.5833,,,3,0.1667,0.1667,,
Joshua Dobbs,NE,QB,1,1,1,,,,,,,1,,,,,,,,,,,1,2,Yes,Yes,1,1,,1,No,,,,,,,7,3.6,,,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,,,,,,,,,,,,
