Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Kenny Pickett,LV,QB,5,5,5,0.8,1,4,0.8,0.8,0.0773,5,38,7.6,0.1579,7.6,43,No,No,4,0.8,2.816,0.2368,No,0.2,1,0.2,0.2,0.2,0.2,3.84,2.475,8.6,98.3,No,No,1,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.9,1.9,6,,,,,,,,,
Teddy Bridgewater,TB,QB,1,1,1,,,,,,,1,,,,,,Yes,Yes,1,1,0.7288,0.2712,No,,,,,,,4.8,2.3,,39.6,No,No,,,,,,,,,,,,,,,4,1,,,,,,,,
Justin Fields,NYJ,QB,22,20,20,0.5,,8,0.4,0.8333,0.0354,20,75,3.75,0.4,3.75,57,No,No,14,0.7,12.2472,0.0876,Yes,0.1,,,0.35,,0.4,4.125,2.5286,4.75,51,No,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3.75,3.75,9,6,2,10,0.1,,,,,
Dillon Gabriel,CLV,QB,27,27,27,0.5556,3,11,0.4074,0.5385,-0.1536,27,139,5.1481,0.5036,3.4815,279,No,No,15,0.5556,14.8131,0.0069,No,0.4074,3,0.1111,0.4815,0.037,0.4444,3.7556,2.7133,10.3333,42.1,No,No,6,4.56,4.56,4.56,4.56,4.56,4.56,4.56,3.56,3.56,3.56,3.56,5.95,4.95,10,,,47,0.1111,1,0.0741,0.037,,
Brock Purdy,SF,QB,46,45,45,0.6444,7,25,0.5556,0.7714,0.0598,45,282,6.2667,0.3369,7.0444,313,No,Yes,29,0.6444,33.1583,-0.0924,No,0.1333,2,0.0444,0.2667,0.0889,0.5556,4.8467,2.9586,8.9429,94.9,No,Yes,17,26.28,26.28,26.28,26.28,26.28,26.28,26.28,25.28,25.28,25.28,25.28,29.1,28.1,9,10,,10,0.0444,1,0.0222,0.0667,4,
Tua Tagovailoa,MIA,QB,63,63,63,0.6508,2,36,0.5714,0.7959,0.044,63,412,6.5397,0.6044,6.7778,343,No,Yes,29,0.4603,33.5634,-0.0724,Yes,0.127,5,0.0794,0.3968,0.0317,0.4762,3.6635,2.5207,6.86,86.2,No,Yes,23,27.48,27.48,27.48,27.48,27.48,30.48,30.48,26.48,26.48,26.48,26.48,31.6,30.6,14,12,1,15,0.0476,1,0.0317,0.0317,3,0.0952
Gardner Minshew,KC,QB,2,2,2,,,,,,,2,,,,,,Yes,Yes,2,1,1.5611,0.2194,Yes,,,,,,,5.1,2.6,,39.6,No,No,,,,,,,,,,,,,,,4,2,,,,,,,,
Caleb Williams,CHI,QB,138,135,135,0.5259,14,56,0.4148,0.6058,-0.0512,135,671,4.9704,0.3621,4.8593,1289,No,Yes,100,0.7407,99.078,0.0068,No,0.2444,25,0.1852,0.237,0.0667,0.3556,4.8296,2.909,12.2762,62.9,No,No,38,56.04,58.04,57.04,58.04,58.04,61.04,60.04,55.04,55.04,55.04,54.04,64.75,61.75,17,30,1,94,0.0519,3,0.0519,0.0815,6,
Jared Goff,DET,QB,54,54,54,0.6111,3,29,0.537,0.7381,-0.0756,54,263,4.8704,0.7224,5.2407,165,Yes,No,29,0.537,26.2625,0.0507,No,0.1481,1,0.0185,0.4815,0.0556,0.5,3.3944,2.7,3.9286,73.3,No,Yes,12,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,17.15,17.15,17,11,1,6,0.037,,,0.0185,1,
Cam Ward,TEN,QB,100,100,100,0.55,6,49,0.49,0.7397,0.0396,100,594,5.94,0.3737,6.44,640,No,No,73,0.73,71.8795,0.0112,No,0.17,10,0.1,0.24,0.14,0.39,4.742,2.889,8.6486,82.7,No,No,35,49.76,49.76,49.76,49.76,49.76,52.76,52.76,47.76,47.76,47.76,47.76,55.7,53.7,17,24,2,29,0.05,2,0.01,0.06,7,0.01
Kyler Murray,ARZ,QB,21,21,21,0.6667,2,11,0.5238,0.7647,0.019,21,120,5.7143,0.45,5.4762,137,No,Yes,13,0.619,12.3895,0.0291,No,0.1429,2,0.0952,0.381,0.0952,0.4762,3.9952,2.4308,7.2105,81.4,No,Yes,5,11.8,11.8,11.8,11.8,11.8,11.8,11.8,10.8,10.8,10.8,10.8,13,12,5,2,,23,0.0952,1,0.0952,,2,
Tanner McKee,PHI,QB,10,10,10,0.1,1,1,0.1,0.25,-0.32,10,12,1.2,,1.2,73,No,Yes,10,1,6.529,0.3471,No,0.3,1,0.1,,,0.1,4.36,2.79,18.25,39.6,No,No,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,6,,,,,,,,0.2
Jake Browning,CIN,QB,24,24,24,0.5417,1,12,0.5,0.6667,-0.036,24,132,5.5,0.2348,2.5833,176,No,Yes,20,0.8333,16.0077,0.1663,No,0.2083,4,0.1667,0.1667,0.2083,0.375,4.4417,2.535,9.7778,45.8,No,Yes,6,7.28,7.28,7.28,7.28,7.28,7.28,7.28,5.28,5.28,5.28,5.28,8.6,6.6,5,6,,,,2,0.0833,0.0417,1,
Josh Johnson,WAS,QB,5,5,5,0.6,1,3,0.6,1,0.298,5,25,5,0.28,9,27,Yes,No,3,0.6,2.9885,0.0023,No,,,,0.2,0.2,0.6,4.04,3.2,9,112.5,No,Yes,2,5,5,5,5,5,5,5,5,5,5,5,5.25,5.25,5,1,1,,,,,,1,
Joe Flacco,CIN,QB,34,34,34,0.2353,1,7,0.2059,0.4211,-0.2747,34,85,2.5,0.6235,-1.4706,203,No,No,29,0.8529,21.5879,0.218,No,0.3235,5,0.1471,0.1765,0.1176,0.1765,4.2559,2.6345,10.6842,2.8,No,No,4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-2.6,-2.6,-2.6,-2.6,1.25,-1.75,13,14,1,-2,0.0294,3,0.0882,,,
Daniel Jones,IND,QB,48,47,47,0.8511,2,36,0.766,0.881,0.049,47,369,7.8511,0.7995,8.5957,120,Yes,No,14,0.2979,19.9706,-0.127,No,0.0426,1,0.0213,0.6809,0.0851,0.7234,3.0383,2.4857,2.7907,118.1,No,Yes,21,29.76,29.76,29.76,29.76,29.76,32.76,32.76,28.76,28.76,28.76,28.76,33.45,32.45,13,4,,-2,0.0213,1,0.0213,0.0213,4,
Kyle Allen,DET,QB,1,1,1,1,,,,,-0.8798,1,,,,,1,Yes,No,,,0.1768,-0.1768,No,,,,1,,,1.6,,1,39.6,Yes,Yes,,,,,,,,,,,,,,,3,,,,,,,,,
Jacoby Brissett,ARZ,QB,49,49,49,0.449,5,20,0.4082,0.5882,-0.138,49,187,3.8163,0.5615,4.1224,308,Yes,No,38,0.7755,34.3139,0.0752,No,0.2449,4,0.0816,0.2449,0.0612,0.3061,4.6347,2.8684,8.8,63.9,Yes,Yes,10,18.48,18.48,18.48,18.48,18.48,18.48,18.48,17.48,17.48,17.48,17.48,20.35,19.35,14,13,1,,,1,0.0204,,3,
