Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,InterceptionsTotal,IncompletionsThrownAway,RunPassOptionPercentage
Kirk Cousins,ATL,QB,8,8,8,0.375,2,0.25,0.375,-0.0851,8,16,0.125,75,9.375,0.1733,11.875,190,1,No,No,3,0.375,3.5189,-0.0649,No,0.625,5,0.625,0.125,0.125,0.875,0.375,3.125,2.6667,23.75,105.7,No,No,2,7,7,7,7,7,7,7,7,7,7,7,7.75,7.75,10,,,,
Mac Jones,SF,QB,11,11,11,0.9091,9,0.8182,0.9091,0.403,11,42,0.0909,243,22.0909,0.3251,25.7273,252,2,No,No,1,0.0909,4.1356,-0.2851,No,,4,0.3636,,0.2727,0.8182,0.5455,2.7545,2.6,22.9091,158.3,No,No,9,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,17.72,20.15,20.15,11,1,,,
Joe Burrow,CIN,QB,8,8,8,0.75,5,0.625,0.625,0.1418,8,,,121,15.125,0.1983,20.125,168,2,No,No,3,0.375,3.6914,-0.0864,No,0.25,4,0.5,0.125,0.5,0.75,0.5,3.25,2.5667,21,145.8,No,No,5,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,14.05,14.05,8,,,,
Russell Wilson,NYG,QB,5,5,5,0.6,3,0.6,0.75,0.3509,5,,,101,20.2,0.2376,20.2,122,,No,No,2,0.4,1.9535,0.0093,No,0.2,4,0.8,0.2,0.6,0.8,0.4,2.84,3,24.4,104.2,No,No,3,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,5.05,5.05,6,1,,,
Trevor Lawrence,JAX,QB,21,21,21,0.6667,9,0.4286,0.5238,0.0516,21,32,0.0952,238,11.3333,0.1933,11.0952,483,2,No,No,2,0.0952,9.94,-0.3781,Yes,0.3333,14,0.6667,,0.0476,0.7619,0.3333,3.319,2.7,23,96.9,No,Yes,9,16.52,16.52,16.52,16.52,16.52,16.52,16.52,15.52,15.52,15.52,15.52,18.9,17.9,17,1,1,,
Bo Nix,DEN,QB,16,16,16,0.375,5,0.3125,0.375,-0.0656,16,41,0.0625,117,7.3125,0.0598,5.75,464,1,No,No,5,0.3125,7.5208,-0.1576,No,0.5625,8,0.5,0.125,0.125,0.75,0.1875,3.3,2.46,29,53.4,No,No,5,7.68,7.68,7.68,7.68,7.68,7.68,7.68,6.68,6.68,6.68,6.68,8.85,7.85,17,2,1,,
Philip Rivers,IND,QB,5,5,5,0.6,3,0.6,0.6,0.0996,5,,,52,10.4,,9.4,99,2,Yes,No,,,1.7465,-0.3493,Yes,0.4,3,0.6,0.4,0.4,0.8,0.4,2.6,,19.8,95.4,Yes,No,3,9.08,9.08,9.08,9.08,9.08,9.08,9.08,8.08,8.08,8.08,8.08,9.6,8.6,3,2,1,,
Jayden Daniels,WAS,QB,2,2,2,0.5,1,0.5,0.5,0.0643,2,,,50,25,0.04,25,65,,No,No,,,1.0091,-0.5046,No,0.5,1,0.5,,0.5,1,0.5,3.5,,32.5,95.8,No,No,1,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,7,,,,
Sam Darnold,SEA,QB,12,12,12,0.5833,6,0.5,0.5,0.0273,12,,,203,16.9167,0.1379,11.0833,308,1,No,No,3,0.25,5.0369,-0.1697,No,0.3333,7,0.5833,0.1667,0.25,0.75,0.3333,3.0083,2.9667,25.6667,84,No,No,6,10.12,10.12,10.12,10.12,10.12,10.12,10.12,8.12,8.12,8.12,8.12,12.15,10.15,17,,2,,
Chris Oladokun,KC,QB,2,2,2,,,,,-0.2793,2,,,,,,,81,,No,No,,,1.1126,-0.5563,No,1,2,1,0.5,,1,,3.8,,40.5,39.6,No,No,,,,,,,,,,,,,,,3,2,,,
