Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,InterceptionsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage
Kenny Pickett,LV,QB,1,1,1,1,1,1,1,0.6107,1,26,26,0.0385,26,25,No,No,1,1,0.8841,0.1159,No,1,1,5.7,2.4,25,118.8,No,No,1,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,6,,,,,,,,,,,,
Lamar Jackson,BLT,QB,33,33,33,0.5455,14,0.4242,0.4375,-0.0242,33,358,10.8485,0.1453,10.0909,737,No,No,12,0.3636,15.4771,-0.1054,No,21,0.6364,3.2939,2.7833,23.0312,80.1,No,No,14,17.32,17.32,17.32,17.32,17.32,20.32,20.32,16.32,16.32,16.32,16.32,20.9,19.9,13,3,1,1,1,0.3939,0.0909,0.0909,0.6667,0.3333,,,
Chris Oladokun,KC,QB,2,2,2,0.5,1,0.5,0.5,0.0358,2,31,15.5,0.4839,15.5,45,No,No,2,1,1.5783,0.2108,No,1,0.5,5.15,2.8,22.5,95.8,No,No,1,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,3,,,,,0.5,,,0.5,,,,
Brandon Allen,TEN,QB,1,1,1,1,1,1,1,0.4296,1,21,21,0.2381,21,16,Yes,Yes,1,1,0.2975,0.7025,No,,,2.3,2.2,16,118.8,No,Yes,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,1,,,,,,,,1,1,,,
Jayden Daniels,WAS,QB,18,18,18,0.7222,9,0.5,0.6471,0.1512,18,242,13.4444,0.1653,13.4444,360,No,No,5,0.2778,8.7196,-0.2066,Yes,7,0.3889,3.3833,2.82,21.1765,95.8,No,No,9,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,12.1,12.1,7,1,1,,,0.2222,,0.1667,0.5,0.3333,32,0.1111,
Sam Darnold,SEA,QB,39,39,39,0.6923,25,0.641,0.6944,0.2308,39,784,20.1026,0.2589,22.6667,823,Yes,No,14,0.359,17.5902,-0.0921,No,22,0.5641,3.1897,2.95,22.2432,147.2,No,Yes,25,51.36,51.36,51.36,51.36,51.36,54.36,54.36,51.36,51.36,51.36,51.36,59.2,59.2,17,6,2,5,,0.2308,,0.2308,0.7179,0.5128,,,
Andy Dalton,CAR,QB,5,5,5,0.8,3,0.6,0.6,0.1147,5,66,13.2,0.0455,13.2,109,Yes,Yes,3,0.6,2.1087,0.1783,No,2,0.4,3.02,2.3333,21.8,104.2,No,Yes,3,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,3.3,3.3,4,,,,,0.2,,0.2,0.6,0.4,,,
Trevor Lawrence,JAX,QB,39,39,39,0.641,13,0.3333,0.5,0.0301,39,370,9.4872,0.2108,8.7179,871,Yes,Yes,13,0.3333,16.1757,-0.0814,No,22,0.5641,2.9795,2.8615,22.9211,73.7,No,No,13,24.8,24.8,24.8,24.8,24.8,27.8,27.8,22.8,22.8,22.8,22.8,28.5,26.5,17,6,1,3,2,0.3077,0.0513,0.359,0.6923,0.4359,127,0.1538,
Bo Nix,DEN,QB,39,39,39,0.4359,10,0.2564,0.3684,-0.0731,39,273,7,0.2491,6.8718,1049,No,No,18,0.4615,19.5912,-0.0408,No,25,0.641,3.4872,2.5833,27.6053,62.7,No,No,10,17.92,17.92,17.92,17.92,17.92,17.92,17.92,16.92,16.92,16.92,16.92,20.65,19.65,17,5,1,2,1,0.5128,0.0256,0.1026,0.6923,0.2564,97,0.1026,
Anthony Richardson,IND,QB,1,1,1,,,,,-0.3363,1,,,,,36,No,No,,,0.3665,-0.3665,No,1,1,2.7,,36,39.6,No,No,,,,,,,,,,,,,,,2,,,,,,,,1,,,,
Russell Wilson,NYG,QB,10,10,10,0.3,3,0.3,0.3333,-0.0344,10,132,13.2,0.1818,12.7,312,No,No,3,0.3,4.045,-0.1045,No,8,0.8,2.92,2.5,31.2,79.2,No,No,3,12.28,12.28,12.28,12.28,12.28,12.28,12.28,11.28,11.28,11.28,11.28,13.6,12.6,6,4,,2,1,0.6,0.1,0.3,0.6,0.3,,,
Joe Burrow,CIN,QB,16,16,16,0.5625,4,0.25,0.3125,-0.1193,16,114,7.125,0.0789,9.625,414,No,No,4,0.25,6.917,-0.1823,Yes,13,0.8125,3.0812,2.75,25.875,96.4,Yes,Yes,4,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,13.7,13.7,8,3,,2,,0.375,,0.25,0.875,0.375,18,0.0625,
Joshua Dobbs,NE,QB,2,2,2,0.5,,,,-0.2879,2,,,,,81,No,No,,,0.8538,-0.4269,Yes,2,1,3.05,,40.5,39.6,No,No,,,,,,,,,,,,,,,4,,,,,0.5,,0.5,1,0.5,,,
Kirk Cousins,ATL,QB,23,23,23,0.6087,9,0.3913,0.3913,-0.0827,23,217,9.4348,0.1613,10.3043,514,No,No,7,0.3043,8.6549,-0.072,No,11,0.4783,2.7565,2.4286,22.3478,88.5,Yes,No,9,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68,14.85,14.85,10,1,,1,,0.3478,,0.1739,0.8696,0.4348,,,
Mac Jones,SF,QB,11,11,11,0.5455,4,0.3636,0.625,0.1408,11,90,8.1818,0.0889,8.1818,182,No,No,1,0.0909,4.4288,-0.3117,No,3,0.2727,2.9091,2.9,22.75,66.5,No,No,4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.5,4.5,11,1,3,,,0.1818,,0.0909,0.5455,0.3636,39,0.0909,
Jameis Winston,NYG,QB,7,7,7,0.4286,3,0.4286,0.4286,-0.086,7,84,12,0.2857,12,133,No,No,,,2.7039,-0.3863,No,4,0.5714,2.8143,,19,87.8,No,No,3,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,4.2,4.2,3,1,,,,0.4286,,0.1429,0.7143,0.1429,,,
Philip Rivers,IND,QB,7,7,7,0.5714,2,0.2857,0.2857,-0.1548,7,50,7.1429,0.3,7.1429,178,No,No,1,0.1429,2.3416,-0.1917,No,4,0.5714,2.5143,2,25.4286,56.8,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,3,,,,,0.4286,,,1,0.2857,,,
Tyrod Taylor,NYJ,QB,12,12,12,0.5,2,0.1667,0.4545,0.0172,12,37,3.0833,0.0541,-4.4167,289,No,No,6,0.5,6.7618,-0.0635,No,8,0.6667,3.8417,2.8167,26.2727,0.3,No,No,2,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-2.52,-2.52,-2.52,-2.52,-0.15,-2.15,6,1,1,,2,0.4167,0.0833,0.0833,0.75,0.3333,74,0.25,
Michael Penix,ATL,QB,22,22,22,0.2727,5,0.2273,0.3,-0.232,22,101,4.5909,0.1881,5.5,369,Yes,No,8,0.3636,8.9956,-0.0453,Yes,8,0.3636,2.9455,2.575,18.45,61.4,No,No,5,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,9.05,9.05,9,,2,1,,0.5455,,0.0455,0.7273,0.2273,18,0.0455,
Max Brosmer,MIN,QB,5,5,5,0.2,1,0.2,0.2,-0.3175,5,29,5.8,0.2414,-3.2,97,No,No,1,0.2,1.4188,-0.0838,Yes,2,0.4,2.22,2.4,19.4,11.7,No,No,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,-0.84,-0.84,-0.84,-0.84,0.45,-0.55,7,,,,1,0.8,0.4,0.2,0.6,,,,
Josh Allen,BUF,QB,34,34,34,0.4412,10,0.2941,0.3667,-0.1022,34,251,7.3824,0.1116,5.9118,703,No,No,20,0.5882,19.2247,0.0228,No,19,0.5588,3.8529,3.03,23.4333,52.9,No,No,10,16.04,16.04,16.04,16.04,16.04,16.04,16.04,14.04,14.04,14.04,14.04,18.55,16.55,17,2,4,2,2,0.4412,0.0882,0.1765,0.5588,0.3529,29,0.0294,
Shedeur Sanders,CLV,QB,14,14,14,0.5714,4,0.2857,0.2857,-0.0962,14,154,11,0.2532,6,418,No,No,6,0.4286,6.529,-0.0378,Yes,13,0.9286,3.2786,2.8333,29.8571,57.1,No,No,3,8.16,8.16,8.16,8.16,8.16,8.16,8.16,6.16,6.16,6.16,6.16,9.7,7.7,8,1,,1,2,0.4286,0.2143,0.1429,0.7857,0.5,,,
Davis Mills,HST,QB,17,17,17,0.5294,9,0.5294,0.5294,0.0437,17,231,13.5882,0.1082,13.5882,368,No,No,5,0.2941,7.3354,-0.1374,No,12,0.7059,3.0765,2.52,21.6471,98.3,No,No,9,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,11.55,11.55,6,1,,,,0.4118,0.0588,0.1176,0.7647,0.4706,,,
Riley Leonard,IND,QB,4,4,4,0.5,1,0.25,0.25,-0.1164,4,30,7.5,0.0667,-3.75,138,Yes,No,2,0.5,1.8285,0.0429,No,3,0.75,3.225,3.05,34.5,18.8,No,No,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.8,-0.8,-0.8,-0.8,0.5,-0.5,5,1,,,1,0.5,0.25,,1,0.25,,,
Malik Willis,GB,QB,4,4,4,1,4,1,1,0.5279,4,121,30.25,0.2562,30.25,90,No,No,2,0.5,1.8112,0.0472,No,2,0.5,3.2,2.4,22.5,118.8,No,Yes,4,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,6.05,6.05,4,,,,,,,0.25,0.75,1,,,
Jalen Hurts,PHI,QB,32,32,32,0.4375,12,0.375,0.4138,-0.0152,32,377,11.7812,0.1592,9.5938,755,No,No,17,0.5312,16.9391,0.0019,No,22,0.6875,3.6437,2.7,26.0345,66.8,Yes,Yes,12,17.08,17.08,17.08,17.08,17.08,20.08,20.08,15.08,15.08,15.08,15.08,20.85,18.85,16,1,3,1,2,0.4688,0.0938,0.2188,0.6562,0.25,,,0.0312
Cooper Rush,BLT,QB,5,5,5,0.4,2,0.4,0.4,-0.0799,5,73,14.6,0.2466,5.6,122,No,No,1,0.2,1.9363,-0.1872,No,2,0.4,2.82,2.7,24.4,47.9,No,No,2,1.92,1.92,1.92,1.92,1.92,1.92,1.92,0.92,0.92,0.92,0.92,2.65,1.65,4,,,,1,0.4,,0.2,1,0.2,,,
Tyler Shough,NO,QB,27,27,27,0.5926,11,0.4074,0.5556,0.1263,27,322,11.9259,0.1957,13.2222,698,No,Yes,10,0.3704,10.7766,-0.0288,Yes,20,0.7407,2.8889,2.41,25.8519,109.9,No,Yes,11,27.88,27.88,27.88,27.88,27.88,30.88,30.88,26.88,26.88,26.88,26.88,31.1,30.1,11,5,,4,1,0.3333,,0.3704,0.8148,0.4815,120,0.1481,
Trey Lance,LAC,QB,5,5,5,0.2,1,0.2,0.2,-0.2665,5,28,5.6,0.1429,5.6,114,No,No,3,0.6,2.1088,0.1782,Yes,4,0.8,3.02,2.0333,22.8,50.4,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,4,,,,,0.8,,0.2,0.8,,,,
Patrick Mahomes,KC,QB,49,49,49,0.551,18,0.3673,0.4286,-0.0431,49,523,10.6735,0.218,7,1188,No,Yes,29,0.5918,26.3445,0.0542,No,24,0.4898,3.6918,2.9793,24.2449,43.2,Yes,No,17,16.92,16.92,16.92,16.92,16.92,19.92,19.92,12.92,12.92,12.92,12.92,22.15,18.15,14,2,,,4,0.4082,0.0612,0.1633,0.6122,0.3469,55,0.0612,0.0408
J.J. McCarthy,MIN,QB,25,25,25,0.44,9,0.36,0.4545,-0.0438,25,196,7.84,0.0918,3.24,471,Yes,Yes,12,0.48,13.2003,-0.048,No,10,0.4,3.636,3.175,20.2917,38.5,Yes,Yes,9,8.84,8.84,8.84,8.84,8.84,8.84,8.84,5.84,5.84,5.84,5.84,10.8,7.8,10,1,1,1,3,0.44,0.08,0.16,0.64,0.28,22,0.04,
Matthew Stafford,LA,QB,62,62,62,0.5645,25,0.4032,0.4915,0.0206,62,635,10.2419,0.1055,12.1774,1339,Yes,No,19,0.3065,25.4171,-0.1035,Yes,34,0.5484,2.9516,2.7316,22.9667,110.6,No,Yes,25,49.4,49.4,49.4,49.4,49.4,52.4,52.4,49.4,49.4,49.4,49.4,55.75,55.75,17,8,2,6,,0.3387,0.0484,0.2419,0.7903,0.4032,66,0.0645,
Tyson Bagent,CHI,QB,1,1,1,,,,,-0.4661,1,,,,,22,No,No,,,0.4701,-0.4701,No,1,1,3.3,,22,39.6,No,No,,,,,,,,,,,,,,,3,,,,,1,,,1,,,,
Aidan O'Connell,LV,QB,3,3,3,0.3333,1,0.3333,0.3333,-0.1033,3,23,7.6667,0.2174,7.6667,83,No,No,2,0.6667,1.0824,0.3059,No,2,0.6667,2.6667,2.85,27.6667,61.8,No,No,1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,1,1,,,,0.6667,,0.3333,0.6667,0.3333,,,
Drake Maye,NE,QB,43,43,43,0.6977,23,0.5349,0.6098,0.1535,43,676,15.7209,0.2249,14.093,1050,No,Yes,20,0.4651,20.2639,-0.0061,No,29,0.6744,3.307,2.62,25.5,87.1,No,Yes,23,29.04,29.04,29.04,29.04,29.04,32.04,32.04,27.04,27.04,27.04,27.04,35.8,33.8,17,3,1,1,2,0.186,0.0465,0.2326,0.7907,0.5349,62,0.0465,
Geno Smith,LV,QB,34,34,34,0.4706,14,0.4118,0.4118,-0.0531,34,368,10.8235,0.1603,7.4412,802,No,Yes,19,0.5588,16.1025,0.0852,Yes,21,0.6176,3.3206,2.6053,23.5882,54.5,No,No,14,15.72,15.72,15.72,15.72,15.72,18.72,18.72,12.72,12.72,12.72,12.72,19.4,16.4,15,4,,1,3,0.5294,0.1765,0.1176,0.7647,0.2647,,,0.0294
Justin Herbert,LAC,QB,36,36,36,0.5833,16,0.4444,0.5,0.0368,36,439,12.1944,0.2073,14.4167,779,No,No,19,0.5278,16.318,0.0745,No,23,0.6389,3.2028,2.5474,22.9118,127,No,No,15,33.56,33.56,33.56,33.56,33.56,36.56,36.56,33.56,33.56,33.56,33.56,37.95,37.95,16,5,2,4,,0.3333,,0.3056,0.6111,0.4722,22,0.0278,
Tyler Huntley,BLT,QB,4,4,4,0.75,3,0.75,0.75,0.2501,4,76,19,0.1842,19,82,No,Yes,2,0.5,1.4144,0.1464,No,2,0.5,2.625,2.9,20.5,116.7,Yes,No,3,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.8,3.8,5,1,,,,0.25,,0.5,1,0.75,,,
Marcus Mariota,WAS,QB,25,25,25,0.56,7,0.28,0.3333,-0.1429,25,167,6.68,0.0958,4.88,553,No,Yes,8,0.32,12.7863,-0.1915,Yes,13,0.52,3.54,2.6,23.0417,38.3,Yes,Yes,6,5.68,5.68,5.68,5.68,5.68,5.68,5.68,4.68,4.68,4.68,4.68,7.35,6.35,11,4,1,,1,0.36,0.04,0.12,0.64,0.4,19,0.04,
